onset	duration	interstimulus_interval	trial_type	trial_type_2	target_condition	distractor	response	response_time	correct	identifier	database
0.061	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.793	1	M9FS_6104	NIMH-ChEFS
5.152	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.737	1	F13HA_5265	NIMH-ChEFS
8.733	1	3.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.821	1	M4HA_4877	NIMH-ChEFS
13.325	1	2	Incongruent	pII	FEAR	HAPPY	FEAR	0.759	1	F7FS_4016	NIMH-ChEFS
16.401	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.718	1	F30HS_8495	NIMH-ChEFS
20.475	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.654	1	M4FA_4941	NIMH-ChEFS
24.048	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	0.736	1	F32FA_8053	NIMH-ChEFS
27.121	1	4	Incongruent	pII	HAPPY	FEAR	HAPPY	0.848	1	M10HS_6767	NIMH-ChEFS
32.196	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.893	1	F23HA_7156	NIMH-ChEFS
36.271	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.708	1	F13FS_5292	NIMH-ChEFS
40.842	1	2.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.812	1	F4HS_3664	NIMH-ChEFS
44.413	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.881	1	M20HA_9192	NIMH-ChEFS
48.488	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.576	1	F18FA_6243	NIMH-ChEFS
53.068	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.716	1	M18HS_8848	NIMH-ChEFS
56.146	1	4	Incongruent	pCI	FEAR	HAPPY	HAPPY	1.143	0	M14FS_7958	NIMH-ChEFS
61.22	1	4	Incongruent	pII	HAPPY	FEAR	HAPPY	0.774	1	F39HA_9433	NIMH-ChEFS
66.293	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.761	1	M10_FA_6823	NIMH-ChEFS
70.875	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.684	1	F12HS_5000	NIMH-ChEFS
