onset	duration	interstimulus_interval	trial_type	trial_type_2	target_condition	distractor	response	response_time	correct	identifier	database
0.054	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	1.013	1	M9FS_6104	NIMH-ChEFS
4.633	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.398	1	F13HA_5265	NIMH-ChEFS
7.71	1	2.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	1.095	1	M4HA_4877	NIMH-ChEFS
11.291	1	3	Incongruent	pII	FEAR	HAPPY	FEAR	0.405	1	F7FS_4016	NIMH-ChEFS
15.339	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.585	1	F30HS_8495	NIMH-ChEFS
20.384	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.81	1	M4FA_4941	NIMH-ChEFS
24.431	1	4	Incongruent	pCI	FEAR	HAPPY	FEAR	0.945	1	F32FA_8053	NIMH-ChEFS
29.478	1	3.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.579	1	M10HS_6767	NIMH-ChEFS
34.048	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.555	1	F23HA_7156	NIMH-ChEFS
37.616	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.839	1	F13FS_5292	NIMH-ChEFS
40.683	1	2	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.682	1	F4HS_3664	NIMH-ChEFS
43.754	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.814	1	M20HA_9192	NIMH-ChEFS
47.821	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.519	1	F18FA_6243	NIMH-ChEFS
52.891	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.527	1	M18HS_8848	NIMH-ChEFS
56.436	1	3.5	Incongruent	pCI	FEAR	HAPPY	HAPPY	0.68	0	M14FS_7958	NIMH-ChEFS
61.002	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	1.012	1	F39HA_9433	NIMH-ChEFS
65.064	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.669	1	M10_FA_6823	NIMH-ChEFS
70.137	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.496	1	F12HS_5000	NIMH-ChEFS
73.21	1	2.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.959	1	M17FA_8799	NIMH-ChEFS
76.777	1	3.5	Incongruent	pII	FEAR	HAPPY	FEAR	0.868	1	F2FS_3470	NIMH-ChEFS
81.322	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.584	1	M14HA_7913	NIMH-ChEFS
84.368	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.88	1	F7HA_3985	NIMH-ChEFS
88.44	1	2.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.715	1	M2FS_4636	NIMH-ChEFS
92.009	1	4	Incongruent	pII	HAPPY	FEAR	HAPPY	0.959	1	F18HS_6186	NIMH-ChEFS
97.076	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.742	1	F39FA_9489	NIMH-ChEFS
101.644	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.581	1	M2HS_4493	NIMH-ChEFS
106.691	1	2	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.846	1	F1HA_3424	NIMH-ChEFS
109.76	1	2.5	Incongruent	pII	FEAR	HAPPY	FEAR	0.989	1	M6FA__5449	NIMH-ChEFS
113.326	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	1.109	1	M19FS_9117	NIMH-ChEFS
117.894	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.486	1	F35HS_8418	NIMH-ChEFS
121.967	1	3.5	Incongruent	pCI	FEAR	HAPPY	FEAR	1.02	1	F16FS_5978	NIMH-ChEFS
126.535	1	4	Incongruent	pII	FEAR	HAPPY	FEAR	0.648	1	M1FA_4336	NIMH-ChEFS
131.58	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.475	1	M9HA_6057	NIMH-ChEFS
135.138	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.608	1	F4FA_3712	NIMH-ChEFS
138.208	1	3	Incongruent	pCI	HAPPY	FEAR	FEAR	0.822	0	M15HS_8316	NIMH-ChEFS
142.276	1	2.5	Incongruent	pII	FEAR	HAPPY	FEAR	0.713	1	F21FS_6587	NIMH-ChEFS
145.848	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	1.178	1	F19HA_6311	NIMH-ChEFS
150.392	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.667	1	M10_4FS_6817	NIMH-ChEFS
153.438	1	4	Incongruent	pCI	HAPPY	FEAR	FEAR	0.826	0	F2HS_3448	NIMH-ChEFS
158.508	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.675	1	F10HA_4379	NIMH-ChEFS
162.577	1	2	Congruent	n/a	FEAR	FEAR	HAPPY	0.565	0	M14FA_7960	NIMH-ChEFS
165.617	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.634	1	F30FA_8552	NIMH-ChEFS
170.662	1	3.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.703	1	M8HA_5828	NIMH-ChEFS
175.231	1	3	Incongruent	pII	FEAR	HAPPY	FEAR	0.662	1	F35FS_8451	NIMH-ChEFS
179.278	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.583	1	M1HS_4301	NIMH-ChEFS
182.823	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.851	1	F37FA_9020	NIMH-ChEFS
186.892	1	2	Incongruent	pCI	FEAR	HAPPY	HAPPY	0.812	0	M11FS_6953	NIMH-ChEFS
189.961	1	3.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.688	1	F34HA_8219	NIMH-ChEFS
194.53	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.753	1	F10FS_4426	NIMH-ChEFS
199.599	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.733	1	M16HS_8633	NIMH-ChEFS
