onset	duration	interstimulus_interval	trial_type	trial_type_2	target_condition	distractor	response	response_time	correct	identifier	database
0.057	1	3.5	Congruent	n/a	FEAR	FEAR	no_resp	-0.099	0	M9FS_6104	NIMH-ChEFS
4.611	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.621	1	F13HA_5265	NIMH-ChEFS
7.689	1	2.5	Incongruent	pCI	HAPPY	FEAR	FEAR	0.567	0	M4HA_4877	NIMH-ChEFS
11.283	1	3	Incongruent	pII	FEAR	HAPPY	FEAR	1.089	1	F7FS_4016	NIMH-ChEFS
15.347	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.726	1	F30HS_8495	NIMH-ChEFS
20.424	1	3	Congruent	n/a	FEAR	FEAR	FEAR	1.123	1	M4FA_4941	NIMH-ChEFS
24.492	1	4	Incongruent	pCI	FEAR	HAPPY	HAPPY	0.594	0	F32FA_8053	NIMH-ChEFS
29.561	1	3.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.685	1	M10HS_6767	NIMH-ChEFS
34.119	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.808	1	F23HA_7156	NIMH-ChEFS
37.689	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.697	1	F13FS_5292	NIMH-ChEFS
40.761	1	2	Incongruent	pCI	HAPPY	FEAR	FEAR	0.767	0	F4HS_3664	NIMH-ChEFS
43.812	1	3	Incongruent	pII	HAPPY	FEAR	no_resp	-0.099	0	M20HA_9192	NIMH-ChEFS
47.854	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.879	1	F18FA_6243	NIMH-ChEFS
52.927	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.446	1	M18HS_8848	NIMH-ChEFS
56.496	1	3.5	Incongruent	pCI	FEAR	HAPPY	HAPPY	0.735	0	M14FS_7958	NIMH-ChEFS
61.064	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.801	1	F39HA_9433	NIMH-ChEFS
65.133	1	4	Congruent	n/a	FEAR	FEAR	HAPPY	0.68	0	M10_FA_6823	NIMH-ChEFS
70.205	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.857	1	F12HS_5000	NIMH-ChEFS
73.255	1	2.5	Incongruent	pCI	FEAR	HAPPY	no_resp	-0.099	0	M17FA_8799	NIMH-ChEFS
76.809	1	3.5	Incongruent	pII	FEAR	HAPPY	HAPPY	0.525	0	F2FS_3470	NIMH-ChEFS
81.376	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.623	1	M14HA_7913	NIMH-ChEFS
84.443	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.698	1	F7HA_3985	NIMH-ChEFS
88.517	1	2.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.855	1	M2FS_4636	NIMH-ChEFS
92.065	1	4	Incongruent	pII	HAPPY	FEAR	FEAR	0.837	0	F18HS_6186	NIMH-ChEFS
97.122	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.792	1	F39FA_9489	NIMH-ChEFS
101.673	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.697	1	M2HS_4493	NIMH-ChEFS
106.726	1	2	Incongruent	pCI	HAPPY	FEAR	FEAR	0.878	0	F1HA_3424	NIMH-ChEFS
109.798	1	2.5	Incongruent	pII	FEAR	HAPPY	HAPPY	0.69	0	M6FA__5449	NIMH-ChEFS
113.347	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	1.119	1	M19FS_9117	NIMH-ChEFS
117.914	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.44	1	F35HS_8418	NIMH-ChEFS
121.983	1	3.5	Incongruent	pCI	FEAR	HAPPY	HAPPY	0.761	0	F16FS_5978	NIMH-ChEFS
126.557	1	4	Incongruent	pII	FEAR	HAPPY	HAPPY	0.763	0	M1FA_4336	NIMH-ChEFS
131.607	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.907	1	M9HA_6057	NIMH-ChEFS
135.178	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.77	1	F4FA_3712	NIMH-ChEFS
138.247	1	3	Incongruent	pCI	HAPPY	FEAR	HAPPY	1.059	1	M15HS_8316	NIMH-ChEFS
142.315	1	2.5	Incongruent	pII	FEAR	HAPPY	FEAR	0.927	1	F21FS_6587	NIMH-ChEFS
145.874	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	1.011	1	F19HA_6311	NIMH-ChEFS
150.443	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.89	1	M10_4FS_6817	NIMH-ChEFS
153.49	1	4	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.735	1	F2HS_3448	NIMH-ChEFS
158.552	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.722	1	F10HA_4379	NIMH-ChEFS
162.622	1	2	Congruent	n/a	FEAR	FEAR	HAPPY	0.734	0	M14FA_7960	NIMH-ChEFS
165.67	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.927	1	F30FA_8552	NIMH-ChEFS
170.739	1	3.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.612	1	M8HA_5828	NIMH-ChEFS
175.291	1	3	Incongruent	pII	FEAR	HAPPY	FEAR	0.675	1	F35FS_8451	NIMH-ChEFS
179.358	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.609	1	M1HS_4301	NIMH-ChEFS
182.925	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.665	1	F37FA_9020	NIMH-ChEFS
186.996	1	2	Incongruent	pCI	FEAR	HAPPY	HAPPY	1.038	0	M11FS_6953	NIMH-ChEFS
190.053	1	3.5	Incongruent	pII	HAPPY	FEAR	FEAR	0.595	0	F34HA_8219	NIMH-ChEFS
194.6	1	4	Congruent	n/a	FEAR	FEAR	HAPPY	0.749	0	F10FS_4426	NIMH-ChEFS
199.671	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.67	1	M16HS_8633	NIMH-ChEFS
203.239	1	2	Incongruent	pCI	HAPPY	FEAR	FEAR	0.83	0	M5HA_5140	NIMH-ChEFS
206.295	1	4	Incongruent	pII	FEAR	HAPPY	HAPPY	0.927	0	F12FA_5062	NIMH-ChEFS
211.349	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.733	1	F16HS_5924	NIMH-ChEFS
215.922	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.555	1	M2FA_4644	NIMH-ChEFS
219.975	1	2.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.9	1	M16FS_8676	NIMH-ChEFS
223.544	1	3.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.897	1	F6HA_3882	NIMH-ChEFS
228.092	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.565	1	F19FS_6344	NIMH-ChEFS
231.161	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.851	1	M8FA_5885	NIMH-ChEFS
234.727	1	4	Incongruent	pCI	HAPPY	FEAR	FEAR	1.04	0	F32HS_7996	NIMH-ChEFS
239.777	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.998	1	M19HA_9066	NIMH-ChEFS
243.823	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.632	1	M3FS_4775	NIMH-ChEFS
248.873	1	2	Congruent	n/a	HAPPY	HAPPY	FEAR	1.232	0	F3HA_3545	NIMH-ChEFS
251.943	1	2.5	Incongruent	pCI	FEAR	HAPPY	HAPPY	0.356	0	M9FA_6121	NIMH-ChEFS
255.511	1	3.5	Incongruent	pII	FEAR	HAPPY	FEAR	0.533	1	F14FA_5638	NIMH-ChEFS
260.085	1	3	Congruent	n/a	HAPPY	HAPPY	no_resp	-0.099	0	M6HS_5354	NIMH-ChEFS
264.135	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.443	1	F21HS_6544	NIMH-ChEFS
267.205	1	3.5	Incongruent	pCI	FEAR	HAPPY	HAPPY	0.646	0	M17FS_8783	NIMH-ChEFS
271.775	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.483	1	F37HA_8965	NIMH-ChEFS
275.823	1	2.5	Congruent	n/a	HAPPY	HAPPY	FEAR	0.384	0	M12HA_7030	NIMH-ChEFS
279.372	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.275	1	F31FS_7861	NIMH-ChEFS
284.445	1	4	Incongruent	pCI	FEAR	HAPPY	FEAR	0.616	1	F3FA_3605	NIMH-ChEFS
289.511	1	3	Incongruent	pII	HAPPY	FEAR	FEAR	0.838	0	M3HS_4695	NIMH-ChEFS
293.58	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.7	1	M11FA_6969	NIMH-ChEFS
298.135	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.461	1	F14HS_5590	NIMH-ChEFS
301.692	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	0.68	1	M12FS_7070	NIMH-ChEFS
304.762	1	2	Incongruent	pII	FEAR	HAPPY	HAPPY	1.059	0	F6FS_3906	NIMH-ChEFS
307.814	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.753	1	M7HA_5500	NIMH-ChEFS
311.874	1	2.5	Congruent	n/a	FEAR	FEAR	HAPPY	0.715	0	F23FA_7228	NIMH-ChEFS
315.444	1	4	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.616	1	F31HA_8583	NIMH-ChEFS
320.518	1	3.5	Incongruent	pII	HAPPY	FEAR	FEAR	1.019	0	M11HS_6885	NIMH-ChEFS
325.067	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.1	1	M3FA_4789	NIMH-ChEFS
329.616	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.736	1	F34FS_8257	NIMH-ChEFS
332.683	1	2.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.932	1	M17HS_8732	NIMH-ChEFS
336.254	1	3	Incongruent	pII	FEAR	HAPPY	FEAR	0.745	1	F7FA_4040	NIMH-ChEFS
340.323	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.709	1	F10HS_4372	NIMH-ChEFS
345.383	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.595	1	M1FS_4325	NIMH-ChEFS
