onset	duration	interstimulus_interval	trial_type	trial_type_2	target_condition	distractor	response	response_time	correct	identifier	database
0.061	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	1.207	1	M9FS_6104	NIMH-ChEFS
4.625	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.72	1	F13HA_5265	NIMH-ChEFS
9.718	1	2	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.798	1	M4HA_4877	NIMH-ChEFS
12.808	1	2.5	Incongruent	pII	FEAR	HAPPY	FEAR	0.713	1	F7FS_4016	NIMH-ChEFS
16.361	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.556	1	F30HS_8495	NIMH-ChEFS
20.411	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.645	1	M4FA_4941	NIMH-ChEFS
25.468	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	0.794	1	F32FA_8053	NIMH-ChEFS
28.522	1	3.5	Incongruent	pII	HAPPY	FEAR	HAPPY	1.093	1	M10HS_6767	NIMH-ChEFS
33.071	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.6	1	F23HA_7156	NIMH-ChEFS
36.623	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.695	1	F13FS_5292	NIMH-ChEFS
40.704	1	4	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.708	1	F4HS_3664	NIMH-ChEFS
45.757	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.577	1	M20HA_9192	NIMH-ChEFS
49.814	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.508	1	F18FA_6243	NIMH-ChEFS
53.369	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.721	1	M18HS_8848	NIMH-ChEFS
57.925	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	0.918	1	M14FS_7958	NIMH-ChEFS
60.977	1	4	Incongruent	pII	HAPPY	FEAR	HAPPY	0.948	1	F39HA_9433	NIMH-ChEFS
66.036	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.746	1	M10_FA_6823	NIMH-ChEFS
69.59	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.967	1	F12HS_5000	NIMH-ChEFS
74.146	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	0.684	1	M17FA_8799	NIMH-ChEFS
77.2	1	3	Incongruent	pII	FEAR	HAPPY	FEAR	0.802	1	F2FS_3470	NIMH-ChEFS
81.262	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.662	1	M14HA_7913	NIMH-ChEFS
84.815	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.764	1	F7HA_3985	NIMH-ChEFS
87.863	1	4	Incongruent	pCI	FEAR	HAPPY	FEAR	0.734	1	M2FS_4636	NIMH-ChEFS
92.917	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.594	1	F18HS_6186	NIMH-ChEFS
96.971	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.71	1	F39FA_9489	NIMH-ChEFS
101.527	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.628	1	M2HS_4493	NIMH-ChEFS
104.606	1	3	Incongruent	pCI	HAPPY	FEAR	HAPPY	1.034	1	F1HA_3424	NIMH-ChEFS
108.662	1	3.5	Incongruent	pII	FEAR	HAPPY	FEAR	0.741	1	M6FA__5449	NIMH-ChEFS
113.219	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.879	1	M19FS_9117	NIMH-ChEFS
116.774	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.827	1	F35HS_8418	NIMH-ChEFS
121.828	1	3	Incongruent	pCI	FEAR	HAPPY	FEAR	0.73	1	F16FS_5978	NIMH-ChEFS
125.882	1	4	Incongruent	pII	FEAR	HAPPY	FEAR	0.74	1	M1FA_4336	NIMH-ChEFS
130.94	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.793	1	M9HA_6057	NIMH-ChEFS
135.489	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.715	1	F4FA_3712	NIMH-ChEFS
139.041	1	2	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.635	1	M15HS_8316	NIMH-ChEFS
142.094	1	2	Incongruent	pII	FEAR	HAPPY	FEAR	0.815	1	F21FS_6587	NIMH-ChEFS
145.152	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	1.018	1	F19HA_6311	NIMH-ChEFS
150.204	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.68	1	M10_4FS_6817	NIMH-ChEFS
154.754	1	3	Incongruent	pCI	HAPPY	FEAR	HAPPY	1.062	1	F2HS_3448	NIMH-ChEFS
158.808	1	2.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.694	1	F10HA_4379	NIMH-ChEFS
162.364	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.648	1	M14FA_7960	NIMH-ChEFS
167.42	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.743	1	F30FA_8552	NIMH-ChEFS
171.472	1	3.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.721	1	M8HA_5828	NIMH-ChEFS
176.027	1	2	Incongruent	pII	FEAR	HAPPY	FEAR	0.93	1	F35FS_8451	NIMH-ChEFS
179.086	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.668	1	M1HS_4301	NIMH-ChEFS
182.641	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.699	1	F37FA_9020	NIMH-ChEFS
186.194	1	3.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.873	1	M11FS_6953	NIMH-ChEFS
190.748	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.725	1	F34HA_8219	NIMH-ChEFS
194.805	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.756	1	F10FS_4426	NIMH-ChEFS
199.857	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	1.069	1	M16HS_8633	NIMH-ChEFS
202.908	1	3	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.987	1	M5HA_5140	NIMH-ChEFS
206.96	1	2	Incongruent	pII	FEAR	HAPPY	FEAR	1.036	1	F12FA_5062	NIMH-ChEFS
210.013	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.636	1	F16HS_5924	NIMH-ChEFS
214.567	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.921	1	M2FA_4644	NIMH-ChEFS
219.619	1	2.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.878	1	M16FS_8676	NIMH-ChEFS
223.176	1	3.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.674	1	F6HA_3882	NIMH-ChEFS
227.727	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.553	1	F19FS_6344	NIMH-ChEFS
232.781	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.693	1	M8FA_5885	NIMH-ChEFS
236.334	1	2	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.828	1	F32HS_7996	NIMH-ChEFS
239.388	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	1.151	1	M19HA_9066	NIMH-ChEFS
243.436	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.997	1	M3FS_4775	NIMH-ChEFS
246.989	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.584	1	F3HA_3545	NIMH-ChEFS
252.042	1	3	Incongruent	pCI	FEAR	HAPPY	FEAR	0.665	1	M9FA_6121	NIMH-ChEFS
256.096	1	2	Incongruent	pII	FEAR	HAPPY	FEAR	0.714	1	F14FA_5638	NIMH-ChEFS
259.148	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.655	1	M6HS_5354	NIMH-ChEFS
263.704	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.695	1	F21HS_6544	NIMH-ChEFS
267.261	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	0.665	1	M17FS_8783	NIMH-ChEFS
270.311	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.706	1	F37HA_8965	NIMH-ChEFS
274.366	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.858	1	M12HA_7030	NIMH-ChEFS
278.918	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.959	1	F31FS_7861	NIMH-ChEFS
283.976	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	0.892	1	F3FA_3605	NIMH-ChEFS
287.054	1	4	Incongruent	pII	HAPPY	FEAR	HAPPY	0.691	1	M3HS_4695	NIMH-ChEFS
292.109	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.826	1	M11FA_6969	NIMH-ChEFS
296.163	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.747	1	F14HS_5590	NIMH-ChEFS
300.718	1	2.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.753	1	M12FS_7070	NIMH-ChEFS
304.271	1	3.5	Incongruent	pII	FEAR	HAPPY	FEAR	0.986	1	F6FS_3906	NIMH-ChEFS
308.83	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.716	1	M7HA_5500	NIMH-ChEFS
311.884	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.806	1	F23FA_7228	NIMH-ChEFS
316.942	1	3	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.82	1	F31HA_8583	NIMH-ChEFS
320.995	1	2.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.722	1	M11HS_6885	NIMH-ChEFS
324.551	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.761	1	M3FA_4789	NIMH-ChEFS
328.104	1	2	Congruent	n/a	FEAR	FEAR	no_resp	-0.099	0	F34FS_8257	NIMH-ChEFS
331.151	1	3	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.779	1	M17HS_8732	NIMH-ChEFS
335.206	1	3.5	Incongruent	pII	FEAR	HAPPY	FEAR	1.032	1	F7FA_4040	NIMH-ChEFS
339.757	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.765	1	F10HS_4372	NIMH-ChEFS
344.814	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.678	1	M1FS_4325	NIMH-ChEFS
347.868	1	3.5	Incongruent	pCI	FEAR	HAPPY	FEAR	1	1	M6_1FA_5445	NIMH-ChEFS
352.422	1	4	Incongruent	pII	HAPPY	FEAR	HAPPY	0.604	1	F35HA_8422	NIMH-ChEFS
357.477	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.889	1	M16HA_8638	NIMH-ChEFS
361.527	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.723	1	F12FS_5036	NIMH-ChEFS
365.081	1	2	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.883	1	F1HS_3423	NIMH-ChEFS
368.135	1	3.5	Incongruent	pII	FEAR	HAPPY	FEAR	0.669	1	M7FA_5539	NIMH-ChEFS
372.69	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.911	1	F34FA_8267	NIMH-ChEFS
376.744	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.667	1	M8HS_5817	NIMH-ChEFS
380.3	1	4	Incongruent	pCI	FEAR	HAPPY	FEAR	0.943	1	F23FS_7205	NIMH-ChEFS
385.351	1	2.5	Incongruent	pII	HAPPY	FEAR	no_resp	-0.099	0	M1HA_4302	NIMH-ChEFS
