onset	duration	interstimulus_interval	trial_type	trial_type_2	target_condition	distractor	response	response_time	correct	identifier	database
0.049	1	2	Congruent	n/a	FEAR	FEAR	no_resp	-0.099	0	M9FS_6104	NIMH-ChEFS
3.1	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.591	1	F13HA_5265	NIMH-ChEFS
7.156	1	4	Incongruent	pCI	HAPPY	FEAR	FEAR	0.865	0	M4HA_4877	NIMH-ChEFS
12.224	1	2.5	Incongruent	pII	FEAR	HAPPY	FEAR	1	1	F7FS_4016	NIMH-ChEFS
15.77	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.605	1	F30HS_8495	NIMH-ChEFS
20.312	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.547	1	M4FA_4941	NIMH-ChEFS
24.357	1	4	Incongruent	pCI	FEAR	HAPPY	FEAR	0.875	1	F32FA_8053	NIMH-ChEFS
29.404	1	2	Incongruent	pII	HAPPY	FEAR	HAPPY	0.516	1	M10HS_6767	NIMH-ChEFS
32.45	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.951	1	F23HA_7156	NIMH-ChEFS
35.996	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.507	1	F13FS_5292	NIMH-ChEFS
40.539	1	2	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.866	1	F4HS_3664	NIMH-ChEFS
43.584	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.817	1	M20HA_9192	NIMH-ChEFS
47.625	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	1.119	1	F18FA_6243	NIMH-ChEFS
51.17	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.433	1	M18HS_8848	NIMH-ChEFS
56.216	1	3.5	Incongruent	pCI	FEAR	HAPPY	FEAR	1.005	1	M14FS_7958	NIMH-ChEFS
60.761	1	4	Incongruent	pII	HAPPY	FEAR	HAPPY	0.438	1	F39HA_9433	NIMH-ChEFS
65.806	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.564	1	M10_FA_6823	NIMH-ChEFS
68.853	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.664	1	F12HS_5000	NIMH-ChEFS
72.401	1	3.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.663	1	M17FA_8799	NIMH-ChEFS
76.95	1	3	Incongruent	pII	FEAR	HAPPY	FEAR	0.857	1	F2FS_3470	NIMH-ChEFS
80.994	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.676	1	M14HA_7913	NIMH-ChEFS
85.54	1	4	Congruent	n/a	HAPPY	HAPPY	FEAR	0.685	0	F7HA_3985	NIMH-ChEFS
90.589	1	2.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.997	1	M2FS_4636	NIMH-ChEFS
94.133	1	2	Incongruent	pII	HAPPY	FEAR	HAPPY	0.756	1	F18HS_6186	NIMH-ChEFS
97.185	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.539	1	F39FA_9489	NIMH-ChEFS
101.234	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.658	1	M2HS_4493	NIMH-ChEFS
104.777	1	3.5	Incongruent	pCI	HAPPY	FEAR	FEAR	0.597	0	F1HA_3424	NIMH-ChEFS
109.323	1	2	Incongruent	pII	FEAR	HAPPY	FEAR	0.922	1	M6FA__5449	NIMH-ChEFS
112.368	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.663	1	M19FS_9117	NIMH-ChEFS
117.414	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.498	1	F35HS_8418	NIMH-ChEFS
121.462	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	0.811	1	F16FS_5978	NIMH-ChEFS
124.508	1	4	Incongruent	pII	FEAR	HAPPY	FEAR	0.916	1	M1FA_4336	NIMH-ChEFS
129.556	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.688	1	M9HA_6057	NIMH-ChEFS
134.102	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.731	1	F4FA_3712	NIMH-ChEFS
138.146	1	2.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.501	1	M15HS_8316	NIMH-ChEFS
141.693	1	3	Incongruent	pII	FEAR	HAPPY	FEAR	0.734	1	F21FS_6587	NIMH-ChEFS
145.741	1	2	Congruent	n/a	HAPPY	HAPPY	FEAR	0.992	0	F19HA_6311	NIMH-ChEFS
148.788	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.829	1	M10_4FS_6817	NIMH-ChEFS
153.333	1	4	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.443	1	F2HS_3448	NIMH-ChEFS
158.379	1	2.5	Incongruent	pII	HAPPY	FEAR	HAPPY	1.057	1	F10HA_4379	NIMH-ChEFS
161.926	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.825	1	M14FA_7960	NIMH-ChEFS
164.971	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.805	1	F30FA_8552	NIMH-ChEFS
170.017	1	3.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.594	1	M8HA_5828	NIMH-ChEFS
174.563	1	3	Incongruent	pII	FEAR	HAPPY	FEAR	0.902	1	F35FS_8451	NIMH-ChEFS
178.615	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.728	1	M1HS_4301	NIMH-ChEFS
182.16	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.639	1	F37FA_9020	NIMH-ChEFS
186.707	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	0.964	1	M11FS_6953	NIMH-ChEFS
189.753	1	2.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.509	1	F34HA_8219	NIMH-ChEFS
193.295	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.572	1	F10FS_4426	NIMH-ChEFS
198.342	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.614	1	M16HS_8633	NIMH-ChEFS
202.392	1	4	Incongruent	pCI	HAPPY	FEAR	FEAR	0.801	0	M5HA_5140	NIMH-ChEFS
207.439	1	2	Incongruent	pII	FEAR	HAPPY	FEAR	1.123	1	F12FA_5062	NIMH-ChEFS
210.485	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.524	1	F16HS_5924	NIMH-ChEFS
214.029	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.762	1	M2FA_4644	NIMH-ChEFS
218.577	1	3	Incongruent	pCI	FEAR	HAPPY	HAPPY	0.581	0	M16FS_8676	NIMH-ChEFS
222.619	1	2	Incongruent	pII	HAPPY	FEAR	HAPPY	0.813	1	F6HA_3882	NIMH-ChEFS
225.666	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.733	1	F19FS_6344	NIMH-ChEFS
230.212	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.71	1	M8FA_5885	NIMH-ChEFS
234.263	1	2.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.67	1	F32HS_7996	NIMH-ChEFS
237.813	1	4	Incongruent	pII	HAPPY	FEAR	FEAR	0.615	0	M19HA_9066	NIMH-ChEFS
242.86	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.781	1	M3FS_4775	NIMH-ChEFS
247.908	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.535	1	F3HA_3545	NIMH-ChEFS
251.955	1	3.5	Incongruent	pCI	FEAR	HAPPY	HAPPY	1.201	0	M9FA_6121	NIMH-ChEFS
256.505	1	2.5	Incongruent	pII	FEAR	HAPPY	FEAR	1.053	1	F14FA_5638	NIMH-ChEFS
260.052	1	2	Congruent	n/a	HAPPY	HAPPY	FEAR	0.7	0	M6HS_5354	NIMH-ChEFS
263.1	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.768	1	F21HS_6544	NIMH-ChEFS
266.148	1	3	Incongruent	pCI	FEAR	HAPPY	FEAR	1.014	1	M17FS_8783	NIMH-ChEFS
270.191	1	2.5	Incongruent	pII	HAPPY	FEAR	FEAR	0.909	0	F37HA_8965	NIMH-ChEFS
273.736	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.996	1	M12HA_7030	NIMH-ChEFS
278.778	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.585	1	F31FS_7861	NIMH-ChEFS
283.323	1	3.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.788	1	F3FA_3605	NIMH-ChEFS
287.871	1	2	Incongruent	pII	HAPPY	FEAR	FEAR	0.776	0	M3HS_4695	NIMH-ChEFS
290.918	1	2.5	Congruent	n/a	FEAR	FEAR	HAPPY	0.74	0	M11FA_6969	NIMH-ChEFS
294.466	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.508	1	F14HS_5590	NIMH-ChEFS
298.514	1	4	Incongruent	pCI	FEAR	HAPPY	FEAR	0.567	1	M12FS_7070	NIMH-ChEFS
303.589	1	2	Incongruent	pII	FEAR	HAPPY	FEAR	0.903	1	F6FS_3906	NIMH-ChEFS
306.633	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.975	1	M7HA_5500	NIMH-ChEFS
311.674	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.676	1	F23FA_7228	NIMH-ChEFS
316.221	1	2.5	Incongruent	pCI	HAPPY	FEAR	FEAR	0.742	0	F31HA_8583	NIMH-ChEFS
319.767	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.84	1	M11HS_6885	NIMH-ChEFS
323.813	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.869	1	M3FA_4789	NIMH-ChEFS
328.358	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.869	1	F34FS_8257	NIMH-ChEFS
332.404	1	2	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.815	1	M17HS_8732	NIMH-ChEFS
335.452	1	2.5	Incongruent	pII	FEAR	HAPPY	FEAR	0.849	1	F7FA_4040	NIMH-ChEFS
339.002	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.707	1	F10HS_4372	NIMH-ChEFS
344.075	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.661	1	M1FS_4325	NIMH-ChEFS
348.623	1	4	Incongruent	pCI	FEAR	HAPPY	FEAR	1.102	1	M6_1FA_5445	NIMH-ChEFS
353.669	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.689	1	F35HA_8422	NIMH-ChEFS
357.718	1	2.5	Congruent	n/a	HAPPY	HAPPY	no_resp	-0.099	0	M16HA_8638	NIMH-ChEFS
361.258	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.8	1	F12FS_5036	NIMH-ChEFS
364.301	1	3.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.536	1	F1HS_3423	NIMH-ChEFS
368.847	1	4	Incongruent	pII	FEAR	HAPPY	FEAR	0.829	1	M7FA_5539	NIMH-ChEFS
373.893	1	2.5	Congruent	n/a	FEAR	FEAR	HAPPY	0.487	0	F34FA_8267	NIMH-ChEFS
377.44	1	3	Congruent	n/a	HAPPY	HAPPY	FEAR	0.688	0	M8HS_5817	NIMH-ChEFS
381.489	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	0.983	1	F23FS_7205	NIMH-ChEFS
384.535	1	3.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.537	1	M1HA_4302	NIMH-ChEFS
389.077	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.688	1	M5FS_5188	NIMH-ChEFS
392.125	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.67	1	F18HA_6193	NIMH-ChEFS
395.672	1	3	Incongruent	pCI	FEAR	HAPPY	FEAR	0.682	1	M20FA_9277	NIMH-ChEFS
399.72	1	4	Incongruent	pII	FEAR	HAPPY	HAPPY	0.582	0	F10FA_4434	NIMH-ChEFS
404.767	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.75	1	F7HS_3986	NIMH-ChEFS
407.814	1	2.5	Congruent	n/a	HAPPY	HAPPY	FEAR	0.641	0	M12HS_7022	NIMH-ChEFS
411.367	1	3	Incongruent	pCI	FEAR	HAPPY	FEAR	0.842	1	M7FS_5530	NIMH-ChEFS
415.409	1	3.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.488	1	F21HA_6550	NIMH-ChEFS
419.956	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.768	1	M17HA_8742	NIMH-ChEFS
425	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.796	1	F39FS_9475	NIMH-ChEFS
430.046	1	2.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.848	1	M11HA_6890	NIMH-ChEFS
433.593	1	2	Incongruent	pII	FEAR	HAPPY	FEAR	0.556	1	F19FA_6353	NIMH-ChEFS
436.638	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.915	1	M15FA_8374	NIMH-ChEFS
440.685	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.714	1	F13HS_5255	NIMH-ChEFS
445.231	1	3	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.864	1	M20HS_9191	NIMH-ChEFS
