onset	duration	interstimulus_interval	trial_type	trial_type_2	target_condition	distractor	response	response_time	correct	identifier	database
0.055	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.95	1	M9FS_6104	NIMH-ChEFS
4.608	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.774	1	F13HA_5265	NIMH-ChEFS
9.66	1	2	Incongruent	pCI	HAPPY	FEAR	FEAR	0.835	0	M4HA_4877	NIMH-ChEFS
12.727	1	2.5	Incongruent	pII	FEAR	HAPPY	FEAR	1.023	1	F7FS_4016	NIMH-ChEFS
16.278	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.816	1	F30HS_8495	NIMH-ChEFS
20.325	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.763	1	M4FA_4941	NIMH-ChEFS
25.373	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	1.056	1	F32FA_8053	NIMH-ChEFS
28.419	1	3.5	Incongruent	pII	HAPPY	FEAR	no_resp	-0.099	0	M10HS_6767	NIMH-ChEFS
32.962	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	1.029	1	F23HA_7156	NIMH-ChEFS
36.51	1	3	Congruent	n/a	FEAR	FEAR	FEAR	1.215	1	F13FS_5292	NIMH-ChEFS
40.555	1	4	Incongruent	pCI	HAPPY	FEAR	HAPPY	1.101	1	F4HS_3664	NIMH-ChEFS
45.601	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	1.034	1	M20HA_9192	NIMH-ChEFS
49.649	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.882	1	F18FA_6243	NIMH-ChEFS
53.192	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.846	1	M18HS_8848	NIMH-ChEFS
57.738	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	1.311	1	M14FS_7958	NIMH-ChEFS
60.784	1	4	Incongruent	pII	HAPPY	FEAR	HAPPY	0.743	1	F39HA_9433	NIMH-ChEFS
65.831	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.689	1	M10_FA_6823	NIMH-ChEFS
69.375	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	1.101	1	F12HS_5000	NIMH-ChEFS
73.922	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	0.717	1	M17FA_8799	NIMH-ChEFS
76.969	1	3	Incongruent	pII	FEAR	HAPPY	FEAR	0.869	1	F2FS_3470	NIMH-ChEFS
81.015	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.746	1	M14HA_7913	NIMH-ChEFS
84.562	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	1.374	1	F7HA_3985	NIMH-ChEFS
87.608	1	4	Incongruent	pCI	FEAR	HAPPY	no_resp	-0.099	0	M2FS_4636	NIMH-ChEFS
92.648	1	3	Incongruent	pII	HAPPY	FEAR	FEAR	0.766	0	F18HS_6186	NIMH-ChEFS
96.694	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	1.128	1	F39FA_9489	NIMH-ChEFS
101.245	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.681	1	M2HS_4493	NIMH-ChEFS
104.288	1	3	Incongruent	pCI	HAPPY	FEAR	FEAR	1.025	0	F1HA_3424	NIMH-ChEFS
108.332	1	3.5	Incongruent	pII	FEAR	HAPPY	HAPPY	1.217	0	M6FA__5449	NIMH-ChEFS
