onset	duration	trial_type	trial_type_2	response_time	identifier	database
0.064	3.5	Congruent	-	1.551	M9FS_6104	DEFSS
4.632	2.5	Congruent	-	0.874	F13HA_5265	DEFSS
8.221	2	Incongruent	pCI	1.014	M4HA_4877	DEFSS
11.286	4	Incongruent	pII	1.515	F7FS_4016	DEFSS
16.341	3	Congruent	-	1.007	F30HS_8495	DEFSS
20.395	2	Congruent	-	0.505	M4FA_4941	DEFSS
23.448	4	Incongruent	pCI	0.8	F32FA_8053	DEFSS
28.5	3.5	Incongruent	pII	0.926	M10HS_6767	DEFSS
33.062	2.5	Congruent	-	1.049	F23HA_7156	DEFSS
36.621	3	Congruent	-	1.368	F13FS_5292	DEFSS
40.699	3.5	Incongruent	pCI	0.753	F4HS_3664	DEFSS
45.26	4	Incongruent	pII	0.828	M20HA_9192	DEFSS
50.311	2	Congruent	-	0.826	F18FA_6243	DEFSS
53.393	2.5	Congruent	-	0.738	M18HS_8848	DEFSS
56.974	3	Incongruent	pCI	0.835	M14FS_7958	DEFSS
61.029	4	Incongruent	pII	1.092	F39HA_9433	DEFSS
66.083	2	Congruent	-	0.577	M10_FA_6823	DEFSS
69.166	3.5	Congruent	-	0.59	F12HS_5000	DEFSS
73.735	2.5	Incongruent	pCI	0.94	M17FA_8799	DEFSS
77.306	3	Incongruent	pII	1.013	F2FS_3470	DEFSS
81.359	4	Congruent	-	0.751	M14HA_7913	DEFSS
86.419	3	Congruent	-	0.579	F7HA_3985	DEFSS
90.476	2.5	Incongruent	pCI	1.124	M2FS_4636	DEFSS
94.026	3.5	Incongruent	pII	-0.099	F18HS_6186	DEFSS
98.573	2	Congruent	-	0.764	F39FA_9489	DEFSS
101.63	4	Congruent	-	0.775	M2HS_4493	DEFSS
106.711	2.5	Incongruent	pCI	1.166	F1HA_3424	DEFSS
110.265	3.5	Incongruent	pII	0.759	M6FA__5449	DEFSS
114.818	2	Congruent	-	0.663	M19FS_9117	DEFSS
117.874	3	Congruent	-	0.732	F35HS_8418	DEFSS
121.927	2.5	Incongruent	pCI	0.578	F16FS_5978	DEFSS
125.488	2	Incongruent	pII	-0.099	M1FA_4336	DEFSS
128.535	4	Congruent	-	1.175	M9HA_6057	DEFSS
133.614	3	Congruent	-	0.79	F4FA_3712	DEFSS
137.668	3.5	Incongruent	pCI	0.821	M15HS_8316	DEFSS
142.222	2	Incongruent	pII	1.136	F21FS_6587	DEFSS
145.304	3	Congruent	-	0.749	F19HA_6311	DEFSS
149.353	3.5	Congruent	-	0.59	M10_4FS_6817	DEFSS
153.904	2.5	Incongruent	pCI	0.528	F2HS_3448	DEFSS
157.455	4	Incongruent	pII	1.49	F10HA_4379	DEFSS
162.532	3	Congruent	-	0.657	M14FA_7960	DEFSS
166.586	4	Congruent	-	0.734	F30FA_8552	DEFSS
171.64	3.5	Incongruent	pCI	0.307	M8HA_5828	DEFSS
176.196	2.5	Incongruent	pII	1.021	F35FS_8451	DEFSS
179.774	2	Congruent	-	0.604	M1HS_4301	DEFSS
182.829	2	Congruent	-	0.575	F37FA_9020	DEFSS
185.91	4	Incongruent	pCI	1.202	M11FS_6953	DEFSS
190.963	3.5	Incongruent	pII	0.774	F34HA_8219	DEFSS
195.522	3	Congruent	-	0.706	F10FS_4426	DEFSS
199.604	2.5	Congruent	-	0.504	M16HS_8633	DEFSS
203.16	4	Incongruent	pCI	1.374	M5HA_5140	DEFSS
208.221	3	Incongruent	pII	0.599	F12FA_5062	DEFSS
212.279	3.5	Congruent	-	0.624	F16HS_5924	DEFSS
216.858	2	Congruent	-	0.526	M2FA_4644	DEFSS
219.911	2.5	Incongruent	pCI	0.632	M16FS_8676	DEFSS
223.456	2.5	Incongruent	pII	0.784	F6HA_3882	DEFSS
227.009	3.5	Congruent	-	0.839	F19FS_6344	DEFSS
231.564	3	Congruent	-	0.611	M8FA_5885	DEFSS
235.642	4	Incongruent	pCI	0.698	F32HS_7996	DEFSS
240.699	2	Incongruent	pII	0.471	M19HA_9066	DEFSS
243.756	3	Congruent	-	0.779	M3FS_4775	DEFSS
247.836	2	Congruent	-	0.823	F3HA_3545	DEFSS
250.897	3.5	Incongruent	pCI	0.856	M9FA_6121	DEFSS
255.457	4	Incongruent	pII	0.847	F14FA_5638	DEFSS
260.507	2.5	Congruent	-	0.865	M6HS_5354	DEFSS
264.065	3.5	Congruent	-	0.682	F21HS_6544	DEFSS
268.615	4	Incongruent	pCI	0.946	M17FS_8783	DEFSS
273.666	2.5	Incongruent	pII	0.89	F37HA_8965	DEFSS
277.22	2	Congruent	-	1.045	M12HA_7030	DEFSS
280.276	3	Congruent	-	0.982	F31FS_7861	DEFSS
284.334	2.5	Incongruent	pCI	1.242	F3FA_3605	DEFSS
287.912	4	Incongruent	pII	1.075	M3HS_4695	DEFSS
292.959	3	Congruent	-	1.118	M11FA_6969	DEFSS
297.019	2	Congruent	-	1.129	F14HS_5590	DEFSS
300.078	3.5	Incongruent	pCI	1.068	M12FS_7070	DEFSS
304.639	2.5	Incongruent	pII	0.865	F6FS_3906	DEFSS
308.22	2	Congruent	-	0.67	M7HA_5500	DEFSS
311.297	3	Congruent	-	0.815	F23FA_7228	DEFSS
315.35	3.5	Incongruent	pCI	0.869	F31HA_8583	DEFSS
319.905	4	Incongruent	pII	1.162	M11HS_6885	DEFSS
324.959	2	Congruent	-	0.444	M3FA_4789	DEFSS
328.04	4	Congruent	-	0.972	F34FS_8257	DEFSS
333.093	3	Incongruent	pCI	0.71	M17HS_8732	DEFSS
337.149	3.5	Incongruent	pII	1.101	F7FA_4040	DEFSS
341.7	2.5	Congruent	-	0.797	F10HS_4372	DEFSS
345.26	3.5	Congruent	-	0.886	M1FS_4325	DEFSS
349.819	2	Incongruent	pCI	1.25	M6_1FA_5445	DEFSS
352.871	4	Incongruent	pII	0.668	F35HA_8422	DEFSS
357.928	3	Congruent	-	0.523	M16HA_8638	DEFSS
361.982	2.5	Congruent	-	0.907	F12FS_5036	DEFSS
365.558	2.5	Incongruent	pCI	1.265	F1HS_3423	DEFSS
369.112	2	Incongruent	pII	0.656	M7FA_5539	DEFSS
372.187	3	Congruent	-	0.614	F34FA_8267	DEFSS
376.244	3.5	Congruent	-	0.74	M8HS_5817	DEFSS
380.794	4	Incongruent	pCI	0.856	F23FS_7205	DEFSS
385.875	2	Incongruent	pII	0.975	M1HA_4302	DEFSS
388.951	3.5	Congruent	-	0.704	M5FS_5188	DEFSS
393.511	4	Congruent	-	0.746	F18HA_6193	DEFSS
398.571	3	Incongruent	pCI	0.928	M20FA_9277	DEFSS
402.624	2.5	Incongruent	pII	1.477	F10FA_4434	DEFSS
406.2	2	Congruent	-	1.035	F7HS_3986	DEFSS
409.254	3.5	Congruent	-	1.396	M12HS_7022	DEFSS
413.808	3	Incongruent	pCI	-0.099	M7FS_5530	DEFSS
417.853	2.5	Incongruent	pII	0.65	F21HA_6550	DEFSS
421.429	4	Congruent	-	0.764	M17HA_8742	DEFSS
426.482	2.5	Congruent	-	1.275	F39FS_9475	DEFSS
430.06	3	Incongruent	pCI	0.728	M11HA_6890	DEFSS
434.143	2	Incongruent	pII	1.131	F19FA_6353	DEFSS
437.196	4	Congruent	-	0.661	M15FA_8374	DEFSS
442.255	3.5	Congruent	-	0.767	F13HS_5255	DEFSS
446.807	3.5	Incongruent	pCI	0.858	M20HS_9191	DEFSS
451.362	2.5	Incongruent	pII	0.805	M6FS_5422	DEFSS
454.919	3	Congruent	-	1.041	F16HA_5934	DEFSS
458.999	2	Congruent	-	0.71	M18FA_8913	DEFSS
462.054	4	Incongruent	pCI	0.637	F39HS_9426	DEFSS
467.11	3	Incongruent	pII	0.527	F3FS_3596	DEFSS
471.187	3.5	Congruent	-	0.659	M8FS_5869	DEFSS
475.739	4	Congruent	-	0.558	M4HS_4862	DEFSS
480.794	2.5	Incongruent	pCI	1.024	F2HA_3451	DEFSS
484.35	2	Incongruent	pII	0.759	M10HA_6772	DEFSS
487.404	2.5	Congruent	-	0.808	F18FS_6229	DEFSS
490.97	3	Congruent	-	0.853	F31HS_8581	DEFSS
495.027	3.5	Incongruent	pCI	1.733	M12FA_7082	DEFSS
499.602	2	Incongruent	pII	1.368	F12HA_5004	DEFSS
502.657	4	Congruent	-	0.722	F6FA_3922	DEFSS
507.738	4	Congruent	-	0.68	M5HS_5134	DEFSS
512.785	3	Incongruent	pCI	0.872	M14HS_7912	DEFSS
516.839	2	Incongruent	pII	1.026	F32FS_8041	DEFSS
519.896	3.5	Congruent	-	1.19	M19FA_9129	DEFSS
524.455	2.5	Congruent	-	0.629	F34HS_8209	DEFSS
528.007	4	Incongruent	pCI	1.584	M18HA_8854	DEFSS
533.057	3.5	Incongruent	pII	0.593	F16FA_5992	DEFSS
537.61	2	Congruent	-	0.795	F37FS_9007	DEFSS
540.691	3	Congruent	-	0.873	M3HA_4707	DEFSS
544.773	2.5	Incongruent	pCI	0.981	M15FS_8364	DEFSS
548.328	2.5	Incongruent	pII	0.752	F13FA_5314	DEFSS
551.883	2	Congruent	-	1.109	F14HA_5595	DEFSS
554.937	3	Congruent	-	1.453	M5FA_5198	DEFSS
559.018	3.5	Incongruent	pCI	0.848	F2FA_3491	DEFSS
563.597	4	Incongruent	pII	1.345	F23HS_7148	DEFSS
568.655	4	Congruent	-	1.155	M18FS_8888	DEFSS
573.714	2.5	Congruent	-	0.762	F30HA_8500	DEFSS
577.265	2	Incongruent	pCI	0.701	M7HS_5497	DEFSS
580.322	3	Incongruent	pII	0.738	F14FS_5632	DEFSS
584.376	3.5	Congruent	-	0.651	M2HA_4506	DEFSS
588.928	4	Congruent	-	0.755	F21FA_6608	DEFSS
593.981	3	Incongruent	pCI	0.629	F6HS_3875	DEFSS
598.033	2.5	Incongruent	pII	1.172	M19HS_9059	DEFSS
601.612	2	Congruent	-	0.878	F4FS_3704	DEFSS
604.695	3.5	Congruent	-	0.519	F32HA_7998	DEFSS
609.275	2.5	Incongruent	pCI	0.784	M6HA_5360	DEFSS
612.831	3.5	Incongruent	pII	0.968	M16FA_8681	DEFSS
617.389	4	Congruent	-	0.981	F19HS_6297	DEFSS
622.448	3	Congruent	-	-0.099	F35FA_8465	DEFSS
626.494	2	Incongruent	pCI	0.987	M4FS_4935	DEFSS
629.546	4	Incongruent	pII	1.147	F37HS_8954	DEFSS
634.6	3	Congruent	-	0.912	F30FS_8546	DEFSS
638.655	3.5	Congruent	-	1.145	M9HS_6054	DEFSS
643.207	2.5	Incongruent	pCI	1.106	F31FA_7873	DEFSS
646.789	2	Incongruent	pII	1.097	F4HA_3668	DEFSS
649.855	2.5	Congruent	-	0.641	M15HA_8321	DEFSS
653.407	2	Incongruent	pCI	1.184	F3HS_3540	DEFSS
656.464	4	Incongruent	pII	1.022	M20FS_9236	DEFSS
