onset	duration	trial_type	trial_type_2	response_time	identifier	database
0.054	4	Congruent	-	1.463	M9FS_6104	DEFSS
5.132	3	Congruent	-	1.369	F13HA_5265	DEFSS
9.209	2	Incongruent	pCI	1.286	M4HA_4877	DEFSS
12.268	2.5	Incongruent	pII	1.025	F7FS_4016	DEFSS
15.835	3.5	Congruent	-	0.612	F30HS_8495	DEFSS
20.399	2	Congruent	-	0.982	M4FA_4941	DEFSS
23.467	3.5	Incongruent	pCI	1.113	F32FA_8053	DEFSS
28.034	4	Incongruent	pII	0.589	M10HS_6767	DEFSS
33.101	3	Congruent	-	1.175	F23HA_7156	DEFSS
37.146	2.5	Congruent	-	0.983	F13FS_5292	DEFSS
40.714	3.5	Incongruent	pCI	1.096	F4HS_3664	DEFSS
45.256	4	Incongruent	pII	0.887	M20HA_9192	DEFSS
50.299	2.5	Congruent	-	0.617	F18FA_6243	DEFSS
53.865	2	Congruent	-	0.963	M18HS_8848	DEFSS
56.931	3	Incongruent	pCI	1.131	M14FS_7958	DEFSS
60.996	3.5	Incongruent	pII	0.552	F39HA_9433	DEFSS
65.542	2	Congruent	-	0.793	M10_FA_6823	DEFSS
68.586	4	Congruent	-	0.932	F12HS_5000	DEFSS
73.631	3	Incongruent	pCI	1.128	M17FA_8799	DEFSS
77.672	2.5	Incongruent	pII	0.979	F2FS_3470	DEFSS
81.243	3.5	Congruent	-	0.918	M14HA_7913	DEFSS
85.81	2	Congruent	-	0.783	F7HA_3985	DEFSS
88.876	2.5	Incongruent	pCI	1.168	M2FS_4636	DEFSS
92.442	4	Incongruent	pII	0.779	F18HS_6186	DEFSS
97.51	3	Congruent	-	0.892	F39FA_9489	DEFSS
101.554	3	Congruent	-	1.426	M2HS_4493	DEFSS
105.594	2.5	Incongruent	pCI	1.003	F1HA_3424	DEFSS
109.162	4	Incongruent	pII	2.639	M6FA__5449	DEFSS
114.227	3.5	Congruent	-	1.872	M19FS_9117	DEFSS
118.797	2	Congruent	-	0.488	F35HS_8418	DEFSS
