onset	duration	interstimulus_interval	trial_type	trial_type_2	target_condition	distractor	response	response_time	correct	identifier	database
0.058	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.984	1	M9FS_6104	NIMH-ChEFS
4.647	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.587	1	F13HA_5265	NIMH-ChEFS
9.712	1	2	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.899	1	M4HA_4877	NIMH-ChEFS
12.804	1	2.5	Incongruent	pII	FEAR	HAPPY	FEAR	0.67	1	F7FS_4016	NIMH-ChEFS
16.378	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.837	1	F30HS_8495	NIMH-ChEFS
20.454	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.678	1	M4FA_4941	NIMH-ChEFS
25.506	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	0.845	1	F32FA_8053	NIMH-ChEFS
28.558	1	3.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.707	1	M10HS_6767	NIMH-ChEFS
33.133	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.872	1	F23HA_7156	NIMH-ChEFS
36.705	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.825	1	F13FS_5292	NIMH-ChEFS
40.776	1	4	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.798	1	F4HS_3664	NIMH-ChEFS
45.852	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.875	1	M20HA_9192	NIMH-ChEFS
49.901	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.756	1	F18FA_6243	NIMH-ChEFS
53.475	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.918	1	M18HS_8848	NIMH-ChEFS
58.03	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	0.847	1	M14FS_7958	NIMH-ChEFS
61.079	1	4	Incongruent	pII	HAPPY	FEAR	HAPPY	0.862	1	F39HA_9433	NIMH-ChEFS
66.155	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.681	1	M10_FA_6823	NIMH-ChEFS
69.707	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.807	1	F12HS_5000	NIMH-ChEFS
74.283	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	0.853	1	M17FA_8799	NIMH-ChEFS
77.335	1	3	Incongruent	pII	FEAR	HAPPY	FEAR	0.941	1	F2FS_3470	NIMH-ChEFS
81.385	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.805	1	M14HA_7913	NIMH-ChEFS
84.958	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.904	1	F7HA_3985	NIMH-ChEFS
88.028	1	4	Incongruent	pCI	FEAR	HAPPY	FEAR	0.725	1	M2FS_4636	NIMH-ChEFS
93.1	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.657	1	F18HS_6186	NIMH-ChEFS
97.155	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.785	1	F39FA_9489	NIMH-ChEFS
101.702	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	1.323	1	M2HS_4493	NIMH-ChEFS
104.757	1	3	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.782	1	F1HA_3424	NIMH-ChEFS
108.81	1	3.5	Incongruent	pII	FEAR	HAPPY	FEAR	0.595	1	M6FA__5449	NIMH-ChEFS
113.386	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.679	1	M19FS_9117	NIMH-ChEFS
116.938	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.537	1	F35HS_8418	NIMH-ChEFS
121.989	1	3	Incongruent	pCI	FEAR	HAPPY	FEAR	1.176	1	F16FS_5978	NIMH-ChEFS
126.062	1	4	Incongruent	pII	FEAR	HAPPY	FEAR	0.703	1	M1FA_4336	NIMH-ChEFS
131.113	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.538	1	M9HA_6057	NIMH-ChEFS
135.662	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.519	1	F4FA_3712	NIMH-ChEFS
