onset	duration	trial_type	trial_type_2	response_time	identifier	database
0.066	3.5	Congruent	-	1.268	M9FS_6104	DEFSS
4.665	4	Congruent	-	0.729	F13HA_5265	DEFSS
9.753	2	Incongruent	pCI	0.711	M4HA_4877	DEFSS
12.86	2.5	Incongruent	pII	0.654	F7FS_4016	DEFSS
16.45	3	Congruent	-	0.454	F30HS_8495	DEFSS
20.533	4	Congruent	-	0.686	M4FA_4941	DEFSS
25.61	2	Incongruent	pCI	0.499	F32FA_8053	DEFSS
28.687	3.5	Incongruent	pII	1.112	M10HS_6767	DEFSS
33.265	2.5	Congruent	-	0.619	F23HA_7156	DEFSS
36.841	3	Congruent	-	0.918	F13FS_5292	DEFSS
40.92	4	Incongruent	pCI	0.744	F4HS_3664	DEFSS
45.997	3	Incongruent	pII	0.762	M20HA_9192	DEFSS
50.072	2.5	Congruent	-	0.622	F18FA_6243	DEFSS
53.649	3.5	Congruent	-	0.615	M18HS_8848	DEFSS
58.224	2	Incongruent	pCI	0.725	M14FS_7958	DEFSS
61.305	4	Incongruent	pII	0.844	F39HA_9433	DEFSS
66.381	2.5	Congruent	-	0.988	M10_FA_6823	DEFSS
69.955	3.5	Congruent	-	0.944	F12HS_5000	DEFSS
74.546	2	Incongruent	pCI	0.718	M17FA_8799	DEFSS
77.627	3	Incongruent	pII	0.867	F2FS_3470	DEFSS
81.707	2.5	Congruent	-	1.167	M14HA_7913	DEFSS
85.285	2	Congruent	-	0.709	F7HA_3985	DEFSS
88.366	4	Incongruent	pCI	0.843	M2FS_4636	DEFSS
93.441	3	Incongruent	pII	1.488	F18HS_6186	DEFSS
97.514	3.5	Congruent	-	1.06	F39FA_9489	DEFSS
102.093	2	Congruent	-	0.761	M2HS_4493	DEFSS
105.17	3	Incongruent	pCI	1.029	F1HA_3424	DEFSS
109.249	3.5	Incongruent	pII	1.12	M6FA__5449	DEFSS
113.825	2.5	Congruent	-	0.814	M19FS_9117	DEFSS
117.406	4	Congruent	-	0.938	F35HS_8418	DEFSS
122.484	3	Incongruent	pCI	1.3	F16FS_5978	DEFSS
126.562	4	Incongruent	pII	1.022	M1FA_4336	DEFSS
131.641	3.5	Congruent	-	0.963	M9HA_6057	DEFSS
136.188	2.5	Congruent	-	0.841	F4FA_3712	DEFSS
139.766	2	Incongruent	pCI	0.773	M15HS_8316	DEFSS
142.844	2	Incongruent	pII	0.915	F21FS_6587	DEFSS
145.924	4	Congruent	-	0.965	F19HA_6311	DEFSS
151.005	3.5	Congruent	-	0.699	M10_4FS_6817	DEFSS
155.583	3	Incongruent	pCI	0.801	F2HS_3448	DEFSS
159.662	2.5	Incongruent	pII	1.007	F10HA_4379	DEFSS
163.24	4	Congruent	-	0.844	M14FA_7960	DEFSS
168.318	3	Congruent	-	0.996	F30FA_8552	DEFSS
172.397	3.5	Incongruent	pCI	1.072	M8HA_5828	DEFSS
176.973	2	Incongruent	pII	1.026	F35FS_8451	DEFSS
180.037	2.5	Congruent	-	0.697	M1HS_4301	DEFSS
183.619	2.5	Congruent	-	0.66	F37FA_9020	DEFSS
187.197	3.5	Incongruent	pCI	0.802	M11FS_6953	DEFSS
191.778	3	Incongruent	pII	0.826	F34HA_8219	DEFSS
195.858	4	Congruent	-	1.001	F10FS_4426	DEFSS
200.938	2	Congruent	-	1.171	M16HS_8633	DEFSS
204.019	3	Incongruent	pCI	2.19	M5HA_5140	DEFSS
208.099	2	Incongruent	pII	1.825	F12FA_5062	DEFSS
211.176	3.5	Congruent	-	0.928	F16HS_5924	DEFSS
215.753	4	Congruent	-	0.786	M2FA_4644	DEFSS
220.832	2.5	Incongruent	pCI	0.922	M16FS_8676	DEFSS
224.412	3.5	Incongruent	pII	0.862	F6HA_3882	DEFSS
228.99	4	Congruent	-	0.734	F19FS_6344	DEFSS
234.04	2.5	Congruent	-	1.329	M8FA_5885	DEFSS
237.619	2	Incongruent	pCI	0.67	F32HS_7996	DEFSS
240.693	3	Incongruent	pII	0.806	M19HA_9066	DEFSS
244.771	2.5	Congruent	-	0.703	M3FS_4775	DEFSS
248.35	4	Congruent	-	0.874	F3HA_3545	DEFSS
253.423	3	Incongruent	pCI	1.046	M9FA_6121	DEFSS
257.506	2	Incongruent	pII	0.693	F14FA_5638	DEFSS
260.585	3.5	Congruent	-	0.964	M6HS_5354	DEFSS
