onset	duration	interstimulus_interval	trial_type	trial_type_2	target_condition	distractor	response	response_time	correct	identifier	database
0.059	1	3	Congruent	n/a	FEAR	FEAR	no_resp	-0.099	0	M9FS_6104	NIMH-ChEFS
4.116	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.438	1	F13HA_5265	NIMH-ChEFS
9.196	1	2.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.853	1	M4HA_4877	NIMH-ChEFS
12.786	1	2	Incongruent	pII	FEAR	HAPPY	HAPPY	0.798	0	F7FS_4016	NIMH-ChEFS
15.861	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	1.033	1	F30HS_8495	NIMH-ChEFS
20.434	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.615	1	M4FA_4941	NIMH-ChEFS
23.507	1	3.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.717	1	F32FA_8053	NIMH-ChEFS
28.081	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.613	1	M10HS_6767	NIMH-ChEFS
32.152	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.817	1	F23HA_7156	NIMH-ChEFS
37.228	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.661	1	F13FS_5292	NIMH-ChEFS
40.797	1	3.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.807	1	F4HS_3664	NIMH-ChEFS
45.368	1	2	Incongruent	pII	HAPPY	FEAR	HAPPY	0.581	1	M20HA_9192	NIMH-ChEFS
48.436	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.678	1	F18FA_6243	NIMH-ChEFS
52.01	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.699	1	M18HS_8848	NIMH-ChEFS
56.084	1	4	Incongruent	pCI	FEAR	HAPPY	FEAR	0.745	1	M14FS_7958	NIMH-ChEFS
61.155	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.534	1	F39HA_9433	NIMH-ChEFS
65.227	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.527	1	M10_FA_6823	NIMH-ChEFS
70.293	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.491	1	F12HS_5000	NIMH-ChEFS
74.866	1	2.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.798	1	M17FA_8799	NIMH-ChEFS
78.437	1	2	Incongruent	pII	FEAR	HAPPY	FEAR	0.892	1	F2FS_3470	NIMH-ChEFS
81.513	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.631	1	M14HA_7913	NIMH-ChEFS
84.579	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.76	1	F7HA_3985	NIMH-ChEFS
88.654	1	4	Incongruent	pCI	FEAR	HAPPY	FEAR	0.53	1	M2FS_4636	NIMH-ChEFS
93.726	1	2.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.473	1	F18HS_6186	NIMH-ChEFS
97.295	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.709	1	F39FA_9489	NIMH-ChEFS
101.878	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.816	1	M2HS_4493	NIMH-ChEFS
105.948	1	4	Incongruent	pCI	HAPPY	FEAR	HAPPY	1.016	1	F1HA_3424	NIMH-ChEFS
111.022	1	2	Incongruent	pII	FEAR	HAPPY	FEAR	0.582	1	M6FA__5449	NIMH-ChEFS
114.094	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.905	1	M19FS_9117	NIMH-ChEFS
117.668	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.691	1	F35HS_8418	NIMH-ChEFS
122.239	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	0.675	1	F16FS_5978	NIMH-ChEFS
125.314	1	3	Incongruent	pII	FEAR	HAPPY	FEAR	0.89	1	M1FA_4336	NIMH-ChEFS
129.393	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.696	1	M9HA_6057	NIMH-ChEFS
132.965	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.839	1	F4FA_3712	NIMH-ChEFS
138.036	1	3.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	1.018	1	M15HS_8316	NIMH-ChEFS
142.609	1	4	Incongruent	pII	FEAR	HAPPY	FEAR	0.445	1	F21FS_6587	NIMH-ChEFS
147.678	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	1.041	1	F19HA_6311	NIMH-ChEFS
150.752	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.657	1	M10_4FS_6817	NIMH-ChEFS
154.324	1	3.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.835	1	F2HS_3448	NIMH-ChEFS
158.896	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.838	1	F10HA_4379	NIMH-ChEFS
162.963	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.696	1	M14FA_7960	NIMH-ChEFS
167.528	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.736	1	F30FA_8552	NIMH-ChEFS
172.602	1	2.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.882	1	M8HA_5828	NIMH-ChEFS
176.176	1	2	Incongruent	pII	FEAR	HAPPY	FEAR	0.823	1	F35FS_8451	NIMH-ChEFS
179.256	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.733	1	M1HS_4301	NIMH-ChEFS
183.337	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.667	1	F37FA_9020	NIMH-ChEFS
186.915	1	3.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.759	1	M11FS_6953	NIMH-ChEFS
191.492	1	2	Incongruent	pII	HAPPY	FEAR	HAPPY	0.677	1	F34HA_8219	NIMH-ChEFS
194.567	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.757	1	F10FS_4426	NIMH-ChEFS
199.641	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.583	1	M16HS_8633	NIMH-ChEFS
203.715	1	2	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.964	1	M5HA_5140	NIMH-ChEFS
206.788	1	4	Incongruent	pII	FEAR	HAPPY	FEAR	0.741	1	F12FA_5062	NIMH-ChEFS
211.874	1	3.5	Congruent	n/a	HAPPY	HAPPY	no_resp	-0.099	0	F16HS_5924	NIMH-ChEFS
216.415	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.669	1	M2FA_4644	NIMH-ChEFS
220.486	1	2.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.828	1	M16FS_8676	NIMH-ChEFS
224.058	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.996	1	F6HA_3882	NIMH-ChEFS
228.131	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.723	1	F19FS_6344	NIMH-ChEFS
231.201	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.553	1	M8FA_5885	NIMH-ChEFS
235.77	1	4	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.464	1	F32HS_7996	NIMH-ChEFS
240.843	1	2.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.681	1	M19HA_9066	NIMH-ChEFS
244.415	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.559	1	M3FS_4775	NIMH-ChEFS
247.488	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.661	1	F3HA_3545	NIMH-ChEFS
252.558	1	3.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.641	1	M9FA_6121	NIMH-ChEFS
257.134	1	3	Incongruent	pII	FEAR	HAPPY	FEAR	0.94	1	F14FA_5638	NIMH-ChEFS
261.206	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	1.083	1	M6HS_5354	NIMH-ChEFS
264.779	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.66	1	F21HS_6544	NIMH-ChEFS
269.352	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	0.642	1	M17FS_8783	NIMH-ChEFS
272.423	1	2.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.866	1	F37HA_8965	NIMH-ChEFS
275.996	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.973	1	M12HA_7030	NIMH-ChEFS
281.072	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.502	1	F31FS_7861	NIMH-ChEFS
285.146	1	4	Incongruent	pCI	FEAR	HAPPY	FEAR	0.833	1	F3FA_3605	NIMH-ChEFS
290.222	1	2	Incongruent	pII	HAPPY	FEAR	HAPPY	0.547	1	M3HS_4695	NIMH-ChEFS
293.293	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	1.236	1	M11FA_6969	NIMH-ChEFS
296.866	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.668	1	F14HS_5590	NIMH-ChEFS
301.443	1	3	Incongruent	pCI	FEAR	HAPPY	FEAR	0.711	1	M12FS_7070	NIMH-ChEFS
305.516	1	2	Incongruent	pII	FEAR	HAPPY	FEAR	0.758	1	F6FS_3906	NIMH-ChEFS
308.591	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.588	1	M7HA_5500	NIMH-ChEFS
313.158	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.781	1	F23FA_7228	NIMH-ChEFS
317.232	1	2.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.742	1	F31HA_8583	NIMH-ChEFS
320.805	1	4	Incongruent	pII	HAPPY	FEAR	HAPPY	0.874	1	M11HS_6885	NIMH-ChEFS
325.883	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.721	1	M3FA_4789	NIMH-ChEFS
330.958	1	3	Congruent	n/a	FEAR	FEAR	no_resp	-0.099	0	F34FS_8257	NIMH-ChEFS
335.003	1	3.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.751	1	M17HS_8732	NIMH-ChEFS
339.581	1	2.5	Incongruent	pII	FEAR	HAPPY	FEAR	0.633	1	F7FA_4040	NIMH-ChEFS
343.154	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.935	1	F10HS_4372	NIMH-ChEFS
346.234	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.67	1	M1FS_4325	NIMH-ChEFS
349.311	1	3	Incongruent	pCI	FEAR	HAPPY	FEAR	0.733	1	M6_1FA_5445	NIMH-ChEFS
353.389	1	2.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.415	1	F35HA_8422	NIMH-ChEFS
356.968	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	1.226	1	M16HA_8638	NIMH-ChEFS
362.048	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.721	1	F12FS_5036	NIMH-ChEFS
366.623	1	3.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.801	1	F1HS_3423	NIMH-ChEFS
371.201	1	2	Incongruent	pII	FEAR	HAPPY	FEAR	0.748	1	M7FA_5539	NIMH-ChEFS
374.274	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.74	1	F34FA_8267	NIMH-ChEFS
377.854	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.905	1	M8HS_5817	NIMH-ChEFS
381.933	1	4	Incongruent	pCI	FEAR	HAPPY	FEAR	0.681	1	F23FS_7205	NIMH-ChEFS
387.002	1	2	Incongruent	pII	HAPPY	FEAR	HAPPY	0.507	1	M1HA_4302	NIMH-ChEFS
