onset	duration	trial_type	trial_type_2	response_time	identifier	database
0.061	3.5	Congruent	-	0.95	M9FS_6104	DEFSS
4.618	2	Congruent	-	0.705	F13HA_5265	DEFSS
7.682	2.5	Incongruent	pCI	0.867	M4HA_4877	DEFSS
11.274	3	Incongruent	pII	0.791	F7FS_4016	DEFSS
15.333	4	Congruent	-	0.73	F30HS_8495	DEFSS
20.407	2.5	Congruent	-	0.58	M4FA_4941	DEFSS
23.988	2	Incongruent	pCI	0.618	F32FA_8053	DEFSS
27.058	4	Incongruent	pII	0.416	M10HS_6767	DEFSS
32.139	3.5	Congruent	-	0.497	F23HA_7156	DEFSS
36.693	3	Congruent	-	0.351	F13FS_5292	DEFSS
40.773	3.5	Incongruent	pCI	0.896	F4HS_3664	DEFSS
45.328	4	Incongruent	pII	0.719	M20HA_9192	DEFSS
50.382	3	Congruent	-	0.543	F18FA_6243	DEFSS
54.435	2.5	Congruent	-	0.603	M18HS_8848	DEFSS
58.014	2	Incongruent	pCI	0.796	M14FS_7958	DEFSS
61.069	2.5	Incongruent	pII	0.66	F39HA_9433	DEFSS
64.623	2	Congruent	-	0.668	M10_FA_6823	DEFSS
67.701	3	Congruent	-	0.608	F12HS_5000	DEFSS
71.781	3.5	Incongruent	pCI	0.636	M17FA_8799	DEFSS
76.335	4	Incongruent	pII	0.718	F2FS_3470	DEFSS
81.389	3	Congruent	-	0.531	M14HA_7913	DEFSS
85.466	2.5	Congruent	-	0.707	F7HA_3985	DEFSS
89.018	2	Incongruent	pCI	0.71	M2FS_4636	DEFSS
92.072	4	Incongruent	pII	0.714	F18HS_6186	DEFSS
97.148	3.5	Congruent	-	1.05	F39FA_9489	DEFSS
101.73	2.5	Congruent	-	0.77	M2HS_4493	DEFSS
105.284	3	Incongruent	pCI	0.806	F1HA_3424	DEFSS
109.341	3.5	Incongruent	pII	0.591	M6FA__5449	DEFSS
113.896	4	Congruent	-	0.706	M19FS_9117	DEFSS
118.979	2	Congruent	-	0.588	F35HS_8418	DEFSS
