onset	duration	trial_type	trial_type_2	response_time	identifier	database
0.06	3.5	Congruent	-	0.934	M9FS_6104	DEFSS
4.661	4	Congruent	-	0.768	F13HA_5265	DEFSS
9.747	2	Incongruent	pCI	0.712	M4HA_4877	DEFSS
12.85	2.5	Incongruent	pII	0.804	F7FS_4016	DEFSS
16.431	3	Congruent	-	0.673	F30HS_8495	DEFSS
20.508	4	Congruent	-	0.656	M4FA_4941	DEFSS
25.585	2	Incongruent	pCI	0.729	F32FA_8053	DEFSS
28.663	3.5	Incongruent	pII	0.881	M10HS_6767	DEFSS
33.24	2.5	Congruent	-	0.764	F23HA_7156	DEFSS
36.816	3	Congruent	-	0.673	F13FS_5292	DEFSS
40.893	4	Incongruent	pCI	0.605	F4HS_3664	DEFSS
45.973	3	Incongruent	pII	0.641	M20HA_9192	DEFSS
50.052	2.5	Congruent	-	0.612	F18FA_6243	DEFSS
53.629	3.5	Congruent	-	0.645	M18HS_8848	DEFSS
58.208	2	Incongruent	pCI	0.721	M14FS_7958	DEFSS
61.283	4	Incongruent	pII	0.916	F39HA_9433	DEFSS
66.359	2.5	Congruent	-	0.69	M10_FA_6823	DEFSS
69.935	3.5	Congruent	-	0.559	F12HS_5000	DEFSS
74.514	2	Incongruent	pCI	0.545	M17FA_8799	DEFSS
77.595	3	Incongruent	pII	0.824	F2FS_3470	DEFSS
81.67	2.5	Congruent	-	0.619	M14HA_7913	DEFSS
85.248	2	Congruent	-	0.671	F7HA_3985	DEFSS
88.324	4	Incongruent	pCI	0.565	M2FS_4636	DEFSS
93.404	3	Incongruent	pII	0.62	F18HS_6186	DEFSS
97.485	3.5	Congruent	-	0.649	F39FA_9489	DEFSS
102.062	2	Congruent	-	0.582	M2HS_4493	DEFSS
105.128	3	Incongruent	pCI	0.651	F1HA_3424	DEFSS
109.207	3.5	Incongruent	pII	0.772	M6FA__5449	DEFSS
113.784	2.5	Congruent	-	0.625	M19FS_9117	DEFSS
117.362	4	Congruent	-	0.587	F35HS_8418	DEFSS
122.445	3	Incongruent	pCI	0.784	F16FS_5978	DEFSS
126.526	4	Incongruent	pII	0.578	M1FA_4336	DEFSS
131.605	3.5	Congruent	-	0.704	M9HA_6057	DEFSS
136.194	2.5	Congruent	-	0.645	F4FA_3712	DEFSS
139.769	2	Incongruent	pCI	0.605	M15HS_8316	DEFSS
142.847	2	Incongruent	pII	0.712	F21FS_6587	DEFSS
145.924	4	Congruent	-	0.6	F19HA_6311	DEFSS
151.005	3.5	Congruent	-	0.694	M10_4FS_6817	DEFSS
155.582	3	Incongruent	pCI	0.677	F2HS_3448	DEFSS
159.659	2.5	Incongruent	pII	0.745	F10HA_4379	DEFSS
163.237	4	Congruent	-	1.112	M14FA_7960	DEFSS
168.316	3	Congruent	-	0.618	F30FA_8552	DEFSS
172.361	3.5	Incongruent	pCI	0.718	M8HA_5828	DEFSS
176.94	2	Incongruent	pII	0.719	F35FS_8451	DEFSS
180.019	2.5	Congruent	-	0.62	M1HS_4301	DEFSS
183.598	2.5	Congruent	-	0.631	F37FA_9020	DEFSS
187.179	3.5	Incongruent	pCI	0.725	M11FS_6953	DEFSS
191.755	3	Incongruent	pII	0.554	F34HA_8219	DEFSS
195.833	4	Congruent	-	0.631	F10FS_4426	DEFSS
