onset	duration	interstimulus_interval	trial_type	trial_type_2	target_condition	distractor	response	response_time	correct	identifier	database
0.07	1	3.5	Congruent	n/a	FEAR	FEAR	no_resp	-0.099	0	M9FS_6104	NIMH-ChEFS
4.625	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.408	1	F13HA_5265	NIMH-ChEFS
9.687	1	3	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.781	1	M4HA_4877	NIMH-ChEFS
13.75	1	2.5	Incongruent	pII	FEAR	HAPPY	FEAR	0.441	1	F7FS_4016	NIMH-ChEFS
17.33	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.621	1	F30HS_8495	NIMH-ChEFS
20.383	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.528	1	M4FA_4941	NIMH-ChEFS
25.463	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	0.69	1	F32FA_8053	NIMH-ChEFS
28.513	1	2.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.853	1	M10HS_6767	NIMH-ChEFS
32.064	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.601	1	F23HA_7156	NIMH-ChEFS
36.118	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.794	1	F13FS_5292	NIMH-ChEFS
40.69	1	3.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.484	1	F4HS_3664	NIMH-ChEFS
45.265	1	2.5	Incongruent	pII	HAPPY	FEAR	HAPPY	1.065	1	M20HA_9192	NIMH-ChEFS
48.815	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.75	1	F18FA_6243	NIMH-ChEFS
51.867	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.728	1	M18HS_8848	NIMH-ChEFS
56.914	1	3	Incongruent	pCI	FEAR	HAPPY	FEAR	0.793	1	M14FS_7958	NIMH-ChEFS
60.966	1	2	Incongruent	pII	HAPPY	FEAR	HAPPY	0.582	1	F39HA_9433	NIMH-ChEFS
64.012	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.521	1	M10_FA_6823	NIMH-ChEFS
