onset	duration	interstimulus_interval	trial_type	trial_type_2	target_condition	distractor	response	response_time	correct	identifier	database
0.069	1	3	Congruent	n/a	FEAR	FEAR	FEAR	1.137	1	M9FS_6104	NIMH-ChEFS
4.149	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.729	1	F13HA_5265	NIMH-ChEFS
7.225	1	2.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.917	1	M4HA_4877	NIMH-ChEFS
10.784	1	4	Incongruent	pII	FEAR	HAPPY	FEAR	1.082	1	F7FS_4016	NIMH-ChEFS
15.829	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.826	1	F30HS_8495	NIMH-ChEFS
20.398	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.636	1	M4FA_4941	NIMH-ChEFS
25.467	1	3	Incongruent	pCI	FEAR	HAPPY	FEAR	0.97	1	F32FA_8053	NIMH-ChEFS
29.535	1	3.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.949	1	M10HS_6767	NIMH-ChEFS
34.103	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.671	1	F23HA_7156	NIMH-ChEFS
37.67	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.596	1	F13FS_5292	NIMH-ChEFS
40.739	1	4	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.456	1	F4HS_3664	NIMH-ChEFS
45.782	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.87	1	M20HA_9192	NIMH-ChEFS
49.848	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.714	1	F18FA_6243	NIMH-ChEFS
52.917	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.767	1	M18HS_8848	NIMH-ChEFS
56.486	1	3.5	Incongruent	pCI	FEAR	HAPPY	FEAR	1.233	1	M14FS_7958	NIMH-ChEFS
61.031	1	2	Incongruent	pII	HAPPY	FEAR	HAPPY	0.612	1	F39HA_9433	NIMH-ChEFS
64.097	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.821	1	M10_FA_6823	NIMH-ChEFS
68.666	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.726	1	F12HS_5000	NIMH-ChEFS
73.737	1	3	Incongruent	pCI	FEAR	HAPPY	FEAR	0.982	1	M17FA_8799	NIMH-ChEFS
77.807	1	2.5	Incongruent	pII	FEAR	HAPPY	HAPPY	0.8	0	F2FS_3470	NIMH-ChEFS
81.353	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	1.23	1	M14HA_7913	NIMH-ChEFS
85.924	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	1.177	1	F7HA_3985	NIMH-ChEFS
90.983	1	2.5	Incongruent	pCI	FEAR	HAPPY	HAPPY	0.673	0	M2FS_4636	NIMH-ChEFS
94.552	1	2	Incongruent	pII	HAPPY	FEAR	HAPPY	1.19	1	F18HS_6186	NIMH-ChEFS
97.618	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.621	1	F39FA_9489	NIMH-ChEFS
101.685	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.933	1	M2HS_4493	NIMH-ChEFS
106.23	1	2	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.637	1	F1HA_3424	NIMH-ChEFS
109.276	1	4	Incongruent	pII	FEAR	HAPPY	FEAR	0.718	1	M6FA__5449	NIMH-ChEFS
114.326	1	3	Congruent	n/a	FEAR	FEAR	FEAR	1	1	M19FS_9117	NIMH-ChEFS
118.374	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.92	1	F35HS_8418	NIMH-ChEFS
121.942	1	3.5	Incongruent	pCI	FEAR	HAPPY	HAPPY	1.367	0	F16FS_5978	NIMH-ChEFS
126.488	1	2	Incongruent	pII	FEAR	HAPPY	FEAR	1.029	1	M1FA_4336	NIMH-ChEFS
129.557	1	2.5	Congruent	n/a	HAPPY	HAPPY	no_resp	-0.099	0	M9HA_6057	NIMH-ChEFS
133.099	1	4	Congruent	n/a	FEAR	FEAR	HAPPY	0.868	0	F4FA_3712	NIMH-ChEFS
138.166	1	3	Incongruent	pCI	HAPPY	FEAR	FEAR	1.073	0	M15HS_8316	NIMH-ChEFS
142.213	1	3	Incongruent	pII	FEAR	HAPPY	HAPPY	0.885	0	F21FS_6587	NIMH-ChEFS
146.258	1	2.5	Congruent	n/a	HAPPY	HAPPY	FEAR	0.871	0	F19HA_6311	NIMH-ChEFS
149.825	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.671	1	M10_4FS_6817	NIMH-ChEFS
154.893	1	3.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.622	1	F2HS_3448	NIMH-ChEFS
159.437	1	2	Incongruent	pII	HAPPY	FEAR	FEAR	0.756	0	F10HA_4379	NIMH-ChEFS
162.483	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.799	1	M14FA_7960	NIMH-ChEFS
167.55	1	3	Congruent	n/a	FEAR	FEAR	FEAR	1.161	1	F30FA_8552	NIMH-ChEFS
171.594	1	2	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.878	1	M8HA_5828	NIMH-ChEFS
174.665	1	2.5	Incongruent	pII	FEAR	HAPPY	FEAR	1.119	1	F35FS_8451	NIMH-ChEFS
