onset	duration	interstimulus_interval	trial_type	trial_type_2	target_condition	distractor	response	response_time	correct	identifier	database
0.053	1	2	Congruent	n/a	FEAR	FEAR	HAPPY	1.023	0	M9FS_6104	NIMH-ChEFS
3.11	1	3	Congruent	n/a	HAPPY	HAPPY	FEAR	0.924	0	F13HA_5265	NIMH-ChEFS
7.185	1	3.5	Incongruent	pCI	HAPPY	FEAR	FEAR	1.187	0	M4HA_4877	NIMH-ChEFS
11.744	1	4	Incongruent	pII	FEAR	HAPPY	HAPPY	0.756	0	F7FS_4016	NIMH-ChEFS
16.792	1	2.5	Congruent	n/a	HAPPY	HAPPY	FEAR	0.81	0	F30HS_8495	NIMH-ChEFS
20.359	1	3	Congruent	n/a	FEAR	FEAR	HAPPY	0.792	0	M4FA_4941	NIMH-ChEFS
24.428	1	2.5	Incongruent	pCI	FEAR	HAPPY	HAPPY	0.835	0	F32FA_8053	NIMH-ChEFS
27.997	1	3.5	Incongruent	pII	HAPPY	FEAR	FEAR	0.867	0	M10HS_6767	NIMH-ChEFS
32.563	1	4	Congruent	n/a	HAPPY	HAPPY	FEAR	1.213	0	F23HA_7156	NIMH-ChEFS
37.617	1	2	Congruent	n/a	FEAR	FEAR	HAPPY	0.772	0	F13FS_5292	NIMH-ChEFS
40.66	1	3.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.937	1	F4HS_3664	NIMH-ChEFS
45.229	1	2	Incongruent	pII	HAPPY	FEAR	FEAR	0.645	0	M20HA_9192	NIMH-ChEFS
48.296	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	1.026	1	F18FA_6243	NIMH-ChEFS
51.865	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	1.068	1	M18HS_8848	NIMH-ChEFS
56.933	1	3	Incongruent	pCI	FEAR	HAPPY	HAPPY	0.818	0	M14FS_7958	NIMH-ChEFS
61.002	1	2	Incongruent	pII	HAPPY	FEAR	FEAR	0.897	0	F39HA_9433	NIMH-ChEFS
64.048	1	4	Congruent	n/a	FEAR	FEAR	HAPPY	1.277	0	M10_FA_6823	NIMH-ChEFS
69.119	1	2.5	Congruent	n/a	HAPPY	HAPPY	FEAR	1.117	0	F12HS_5000	NIMH-ChEFS
72.662	1	3.5	Incongruent	pCI	FEAR	HAPPY	HAPPY	0.646	0	M17FA_8799	NIMH-ChEFS
77.23	1	3	Incongruent	pII	FEAR	HAPPY	HAPPY	0.901	0	F2FS_3470	NIMH-ChEFS
81.297	1	3	Congruent	n/a	HAPPY	HAPPY	FEAR	0.602	0	M14HA_7913	NIMH-ChEFS
85.367	1	4	Congruent	n/a	HAPPY	HAPPY	FEAR	0.986	0	F7HA_3985	NIMH-ChEFS
90.436	1	2.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.956	1	M2FS_4636	NIMH-ChEFS
93.98	1	2	Incongruent	pII	HAPPY	FEAR	FEAR	0.616	0	F18HS_6186	NIMH-ChEFS
97.049	1	3.5	Congruent	n/a	FEAR	FEAR	HAPPY	1.051	0	F39FA_9489	NIMH-ChEFS
101.619	1	2	Congruent	n/a	HAPPY	HAPPY	FEAR	0.899	0	M2HS_4493	NIMH-ChEFS
104.687	1	3.5	Incongruent	pCI	HAPPY	FEAR	FEAR	1.067	0	F1HA_3424	NIMH-ChEFS
109.254	1	3	Incongruent	pII	FEAR	HAPPY	no_resp	-0.099	0	M6FA__5449	NIMH-ChEFS
