onset	duration	interstimulus_interval	trial_type	trial_type_2	target_condition	distractor	response	response_time	correct	identifier	database
0.063	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	1.036	1	M9FS_6104	NIMH-ChEFS
3.664	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.745	1	F13HA_5265	NIMH-ChEFS
7.75	1	3.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.889	1	M4HA_4877	NIMH-ChEFS
12.346	1	2	Incongruent	pII	FEAR	HAPPY	FEAR	0.738	1	F7FS_4016	NIMH-ChEFS
15.426	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.813	1	F30HS_8495	NIMH-ChEFS
20.511	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.718	1	M4FA_4941	NIMH-ChEFS
25.564	1	3.5	Incongruent	pCI	FEAR	HAPPY	HAPPY	0.55	0	F32FA_8053	NIMH-ChEFS
30.14	1	2	Incongruent	pII	HAPPY	FEAR	HAPPY	1.064	1	M10HS_6767	NIMH-ChEFS
33.218	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.881	1	F23HA_7156	NIMH-ChEFS
36.797	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.762	1	F13FS_5292	NIMH-ChEFS
40.875	1	3	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.859	1	F4HS_3664	NIMH-ChEFS
44.957	1	2	Incongruent	pII	HAPPY	FEAR	HAPPY	0.702	1	M20HA_9192	NIMH-ChEFS
48.031	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	1.193	1	F18FA_6243	NIMH-ChEFS
51.59	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.694	1	M18HS_8848	NIMH-ChEFS
56.667	1	3.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.872	1	M14FS_7958	NIMH-ChEFS
61.246	1	4	Incongruent	pII	HAPPY	FEAR	HAPPY	1.043	1	F39HA_9433	NIMH-ChEFS
66.321	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.733	1	M10_FA_6823	NIMH-ChEFS
