onset	duration	trial_type	trial_type_2	response_time	identifier	database
0.053	3.5	Congruent	-	0.879	M9FS_6104	DEFSS
4.609	2	Congruent	-	0.657	F13HA_5265	DEFSS
7.685	2.5	Incongruent	pCI	0.902	M4HA_4877	DEFSS
11.243	3	Incongruent	pII	0.856	F7FS_4016	DEFSS
15.293	4	Congruent	-	0.62	F30HS_8495	DEFSS
20.347	3	Congruent	-	0.875	M4FA_4941	DEFSS
24.394	4	Incongruent	pCI	0.933	F32FA_8053	DEFSS
29.461	3.5	Incongruent	pII	0.661	M10HS_6767	DEFSS
34.004	2.5	Congruent	-	0.892	F23HA_7156	DEFSS
37.55	2	Congruent	-	0.941	F13FS_5292	DEFSS
40.62	2	Incongruent	pCI	1.053	F4HS_3664	DEFSS
43.684	3	Incongruent	pII	1.007	M20HA_9192	DEFSS
47.756	4	Congruent	-	1.087	F18FA_6243	DEFSS
52.827	2.5	Congruent	-	0.787	M18HS_8848	DEFSS
56.38	3.5	Incongruent	pCI	0.935	M14FS_7958	DEFSS
60.946	3	Incongruent	pII	1.406	F39HA_9433	DEFSS
65.015	4	Congruent	-	1.099	M10_FA_6823	DEFSS
70.085	2	Congruent	-	0.561	F12HS_5000	DEFSS
73.13	2.5	Incongruent	pCI	0.965	M17FA_8799	DEFSS
76.699	3.5	Incongruent	pII	1.173	F2FS_3470	DEFSS
81.246	2	Congruent	-	0.659	M14HA_7913	DEFSS
84.289	3	Congruent	-	0.888	F7HA_3985	DEFSS
88.358	2.5	Incongruent	pCI	0.852	M2FS_4636	DEFSS
91.924	4	Incongruent	pII	0.653	F18HS_6186	DEFSS
96.993	3.5	Congruent	-	0.981	F39FA_9489	DEFSS
101.563	4	Congruent	-	0.861	M2HS_4493	DEFSS
106.63	2	Incongruent	pCI	0.868	F1HA_3424	DEFSS
109.699	2.5	Incongruent	pII	0.898	M6FA__5449	DEFSS
113.243	3.5	Congruent	-	1.036	M19FS_9117	DEFSS
117.813	3	Congruent	-	0.843	F35HS_8418	DEFSS
121.88	3.5	Incongruent	pCI	0.964	F16FS_5978	DEFSS
126.426	4	Incongruent	pII	1.252	M1FA_4336	DEFSS
131.495	2.5	Congruent	-	0.677	M9HA_6057	DEFSS
135.063	2	Congruent	-	1.491	F4FA_3712	DEFSS
138.13	3	Incongruent	pCI	1.028	M15HS_8316	DEFSS
142.197	2.5	Incongruent	pII	0.889	F21FS_6587	DEFSS
145.765	3.5	Congruent	-	0.742	F19HA_6311	DEFSS
150.31	2	Congruent	-	0.811	M10_4FS_6817	DEFSS
153.353	4	Incongruent	pCI	1.347	F2HS_3448	DEFSS
158.419	3	Incongruent	pII	1.153	F10HA_4379	DEFSS
162.486	2	Congruent	-	0.763	M14FA_7960	DEFSS
165.553	4	Congruent	-	0.922	F30FA_8552	DEFSS
170.619	3.5	Incongruent	pCI	0.82	M8HA_5828	DEFSS
175.167	3	Incongruent	pII	0.854	F35FS_8451	DEFSS
179.233	2.5	Congruent	-	0.987	M1HS_4301	DEFSS
182.798	3	Congruent	-	1.138	F37FA_9020	DEFSS
186.865	2	Incongruent	pCI	0.989	M11FS_6953	DEFSS
189.932	3.5	Incongruent	pII	1.345	F34HA_8219	DEFSS
194.474	4	Congruent	-	1.033	F10FS_4426	DEFSS
199.519	2.5	Congruent	-	0.861	M16HS_8633	DEFSS
203.084	2	Incongruent	pCI	1.488	M5HA_5140	DEFSS
206.153	4	Incongruent	pII	1.032	F12FA_5062	DEFSS
211.222	3.5	Congruent	-	0.62	F16HS_5924	DEFSS
215.788	3	Congruent	-	1.11	M2FA_4644	DEFSS
219.834	2.5	Incongruent	pCI	0.81	M16FS_8676	DEFSS
223.401	3.5	Incongruent	pII	1.016	F6HA_3882	DEFSS
227.968	2	Congruent	-	1.186	F19FS_6344	DEFSS
231.015	2.5	Congruent	-	0.894	M8FA_5885	DEFSS
234.558	4	Incongruent	pCI	1.325	F32HS_7996	DEFSS
239.599	3	Incongruent	pII	0.946	M19HA_9066	DEFSS
243.644	4	Congruent	-	1.337	M3FS_4775	DEFSS
248.713	2	Congruent	-	0.953	F3HA_3545	DEFSS
251.781	2.5	Incongruent	pCI	1.165	M9FA_6121	DEFSS
255.326	3.5	Incongruent	pII	0.855	F14FA_5638	DEFSS
259.896	3	Congruent	-	0.745	M6HS_5354	DEFSS
263.966	2	Congruent	-	0.767	F21HS_6544	DEFSS
267.033	3.5	Incongruent	pCI	1.101	M17FS_8783	DEFSS
271.602	3	Incongruent	pII	0.878	F37HA_8965	DEFSS
275.669	2.5	Congruent	-	1.099	M12HA_7030	DEFSS
279.234	4	Congruent	-	0.951	F31FS_7861	DEFSS
284.286	4	Incongruent	pCI	1.364	F3FA_3605	DEFSS
289.328	3	Incongruent	pII	1.229	M3HS_4695	DEFSS
293.374	3.5	Congruent	-	0.831	M11FA_6969	DEFSS
297.945	2.5	Congruent	-	0.778	F14HS_5590	DEFSS
301.512	2	Incongruent	pCI	0.784	M12FS_7070	DEFSS
