onset	duration	interstimulus_interval	trial_type	trial_type_2	target_condition	distractor	response	response_time	correct	identifier	database
0.073	1	4	Congruent	n/a	FEAR	FEAR	no_resp	-0.099	0	M9FS_6104	NIMH-ChEFS
5.125	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.876	1	F13HA_5265	NIMH-ChEFS
8.203	1	2.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.922	1	M4HA_4877	NIMH-ChEFS
11.785	1	3	Incongruent	pII	FEAR	HAPPY	FEAR	1.325	1	F7FS_4016	NIMH-ChEFS
15.833	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.718	1	F30HS_8495	NIMH-ChEFS
20.376	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.806	1	M4FA_4941	NIMH-ChEFS
25.423	1	2.5	Incongruent	pCI	FEAR	HAPPY	FEAR	1.121	1	F32FA_8053	NIMH-ChEFS
28.995	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.792	1	M10HS_6767	NIMH-ChEFS
33.062	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	1.159	1	F23HA_7156	NIMH-ChEFS
36.107	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.965	1	F13FS_5292	NIMH-ChEFS
40.673	1	4	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.601	1	F4HS_3664	NIMH-ChEFS
45.718	1	2	Incongruent	pII	HAPPY	FEAR	HAPPY	0.775	1	M20HA_9192	NIMH-ChEFS
48.785	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.853	1	F18FA_6243	NIMH-ChEFS
52.852	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.645	1	M18HS_8848	NIMH-ChEFS
56.398	1	3.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.979	1	M14FS_7958	NIMH-ChEFS
60.942	1	4	Incongruent	pII	HAPPY	FEAR	HAPPY	0.663	1	F39HA_9433	NIMH-ChEFS
65.986	1	3	Congruent	n/a	FEAR	FEAR	FEAR	1.225	1	M10_FA_6823	NIMH-ChEFS
70.053	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.617	1	F12HS_5000	NIMH-ChEFS
74.623	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	0.938	1	M17FA_8799	NIMH-ChEFS
77.692	1	2.5	Incongruent	pII	FEAR	HAPPY	FEAR	1.183	1	F2FS_3470	NIMH-ChEFS
81.261	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.596	1	M14HA_7913	NIMH-ChEFS
85.829	1	2	Congruent	n/a	HAPPY	HAPPY	FEAR	0.684	0	F7HA_3985	NIMH-ChEFS
88.877	1	2.5	Incongruent	pCI	FEAR	HAPPY	FEAR	1.249	1	M2FS_4636	NIMH-ChEFS
92.444	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.53	1	F18HS_6186	NIMH-ChEFS
96.513	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.742	1	F39FA_9489	NIMH-ChEFS
101.584	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.563	1	M2HS_4493	NIMH-ChEFS
105.149	1	2	Incongruent	pCI	HAPPY	FEAR	no_resp	-0.099	0	F1HA_3424	NIMH-ChEFS
108.192	1	4	Incongruent	pII	FEAR	HAPPY	HAPPY	1.138	0	M6FA__5449	NIMH-ChEFS
113.261	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	1.042	1	M19FS_9117	NIMH-ChEFS
117.829	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.82	1	F35HS_8418	NIMH-ChEFS
121.899	1	3.5	Incongruent	pCI	FEAR	HAPPY	FEAR	1.159	1	F16FS_5978	NIMH-ChEFS
126.446	1	4	Incongruent	pII	FEAR	HAPPY	FEAR	0.878	1	M1FA_4336	NIMH-ChEFS
131.494	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.676	1	M9HA_6057	NIMH-ChEFS
