onset	duration	trial_type	trial_type_2	response_time	identifier	database
0.053	4	Congruent	-	0.937	M9FS_6104	DEFSS
5.133	2.5	Congruent	-	0.756	F13HA_5265	DEFSS
8.685	3.5	Incongruent	pCI	0.769	M4HA_4877	DEFSS
13.243	2	Incongruent	pII	0.529	F7FS_4016	DEFSS
16.29	3	Congruent	-	0.594	F30HS_8495	DEFSS
20.334	2	Congruent	-	0.83	M4FA_4941	DEFSS
23.402	2.5	Incongruent	pCI	0.542	F32FA_8053	DEFSS
26.97	3	Incongruent	pII	0.879	M10HS_6767	DEFSS
31.036	4	Congruent	-	0.812	F23HA_7156	DEFSS
36.077	3.5	Congruent	-	0.76	F13FS_5292	DEFSS
40.619	3.5	Incongruent	pCI	0.775	F4HS_3664	DEFSS
45.164	4	Incongruent	pII	0.803	M20HA_9192	DEFSS
50.229	3	Congruent	-	0.96	F18FA_6243	DEFSS
54.275	2.5	Congruent	-	0.751	M18HS_8848	DEFSS
57.82	2	Incongruent	pCI	0.638	M14FS_7958	DEFSS
60.86	4	Incongruent	pII	0.704	F39HA_9433	DEFSS
65.925	2	Congruent	-	0.728	M10_FA_6823	DEFSS
68.993	2.5	Congruent	-	0.68	F12HS_5000	DEFSS
72.564	3	Incongruent	pCI	0.756	M17FA_8799	DEFSS
76.605	3.5	Incongruent	pII	0.858	F2FS_3470	DEFSS
81.149	3.5	Congruent	-	0.815	M14HA_7913	DEFSS
85.693	2.5	Congruent	-	0.915	F7HA_3985	DEFSS
89.238	2	Incongruent	pCI	1.381	M2FS_4636	DEFSS
92.279	4	Incongruent	pII	1.306	F18HS_6186	DEFSS
97.343	3	Congruent	-	0.729	F39FA_9489	DEFSS
101.411	2	Congruent	-	0.699	M2HS_4493	DEFSS
104.453	4	Incongruent	pCI	1.328	F1HA_3424	DEFSS
109.523	3.5	Incongruent	pII	0.859	M6FA__5449	DEFSS
114.066	2.5	Congruent	-	1.385	M19FS_9117	DEFSS
117.613	3	Congruent	-	0.933	F35HS_8418	DEFSS
121.656	3.5	Incongruent	pCI	0.537	F16FS_5978	DEFSS
126.223	4	Incongruent	pII	0.937	M1FA_4336	DEFSS
131.265	2	Congruent	-	0.697	M9HA_6057	DEFSS
134.309	2.5	Congruent	-	0.734	F4FA_3712	DEFSS
137.852	3	Incongruent	pCI	0.561	M15HS_8316	DEFSS
141.897	4	Incongruent	pII	0.824	F21FS_6587	DEFSS
146.942	2	Congruent	-	0.82	F19HA_6311	DEFSS
149.986	3.5	Congruent	-	0.843	M10_4FS_6817	DEFSS
154.53	2.5	Incongruent	pCI	0.627	F2HS_3448	DEFSS
158.073	3	Incongruent	pII	0.733	F10HA_4379	DEFSS
162.139	4	Congruent	-	0.758	M14FA_7960	DEFSS
167.208	3	Congruent	-	0.977	F30FA_8552	DEFSS
171.248	2.5	Incongruent	pCI	0.763	M8HA_5828	DEFSS
174.792	3.5	Incongruent	pII	1.248	F35FS_8451	DEFSS
179.338	2	Congruent	-	0.633	M1HS_4301	DEFSS
182.405	4	Congruent	-	0.707	F37FA_9020	DEFSS
187.448	2.5	Incongruent	pCI	0.849	M11FS_6953	DEFSS
190.992	3.5	Incongruent	pII	0.725	F34HA_8219	DEFSS
195.536	2	Congruent	-	0.868	F10FS_4426	DEFSS
198.579	3	Congruent	-	1.346	M16HS_8633	DEFSS
202.623	2.5	Incongruent	pCI	0.991	M5HA_5140	DEFSS
206.17	2	Incongruent	pII	0.913	F12FA_5062	DEFSS
