onset	duration	trial_type	trial_type_2	response_time	identifier	database
0.068	3.5	Congruent	-	1.05	M9FS_6104	DEFSS
4.665	2.5	Congruent	-	0.983	F13HA_5265	DEFSS
8.263	2	Incongruent	pCI	0.93	M4HA_4877	DEFSS
11.365	4	Incongruent	pII	0.983	F7FS_4016	DEFSS
16.443	3	Congruent	-	1.26	F30HS_8495	DEFSS
20.519	2	Congruent	-	1.379	M4FA_4941	DEFSS
23.599	4	Incongruent	pCI	0.524	F32FA_8053	DEFSS
28.67	3.5	Incongruent	pII	1.193	M10HS_6767	DEFSS
33.249	2.5	Congruent	-	0.969	F23HA_7156	DEFSS
36.825	3	Congruent	-	0.843	F13FS_5292	DEFSS
40.903	3.5	Incongruent	pCI	0.865	F4HS_3664	DEFSS
45.475	4	Incongruent	pII	1.653	M20HA_9192	DEFSS
50.554	2	Congruent	-	0.634	F18FA_6243	DEFSS
53.637	2.5	Congruent	-	0.681	M18HS_8848	DEFSS
57.218	3	Incongruent	pCI	1.12	M14FS_7958	DEFSS
61.298	4	Incongruent	pII	0.84	F39HA_9433	DEFSS
66.373	2	Congruent	-	0.91	M10_FA_6823	DEFSS
69.452	3.5	Congruent	-	1.281	F12HS_5000	DEFSS
74.032	2.5	Incongruent	pCI	1.081	M17FA_8799	DEFSS
77.611	3	Incongruent	pII	1.037	F2FS_3470	DEFSS
81.689	4	Congruent	-	0.934	M14HA_7913	DEFSS
86.769	3	Congruent	-	0.729	F7HA_3985	DEFSS
90.849	2.5	Incongruent	pCI	0.974	M2FS_4636	DEFSS
94.426	3.5	Incongruent	pII	0.977	F18HS_6186	DEFSS
99.004	2	Congruent	-	0.759	F39FA_9489	DEFSS
102.086	4	Congruent	-	0.977	M2HS_4493	DEFSS
107.165	2.5	Incongruent	pCI	1.422	F1HA_3424	DEFSS
110.741	3.5	Incongruent	pII	0.897	M6FA__5449	DEFSS
115.318	2	Congruent	-	1.03	M19FS_9117	DEFSS
118.392	3	Congruent	-	0.741	F35HS_8418	DEFSS
122.472	2.5	Incongruent	pCI	1.146	F16FS_5978	DEFSS
126.048	2	Incongruent	pII	1.085	M1FA_4336	DEFSS
129.127	4	Congruent	-	0.566	M9HA_6057	DEFSS
134.201	3	Congruent	-	0.812	F4FA_3712	DEFSS
138.278	3.5	Incongruent	pCI	1.23	M15HS_8316	DEFSS
142.859	2	Incongruent	pII	0.899	F21FS_6587	DEFSS
145.936	3	Congruent	-	0.607	F19HA_6311	DEFSS
150.013	3.5	Congruent	-	0.9	M10_4FS_6817	DEFSS
154.588	2.5	Incongruent	pCI	1.715	F2HS_3448	DEFSS
158.165	4	Incongruent	pII	0.773	F10HA_4379	DEFSS
163.24	3	Congruent	-	0.643	M14FA_7960	DEFSS
167.325	4	Congruent	-	0.873	F30FA_8552	DEFSS
172.407	3.5	Incongruent	pCI	1.141	M8HA_5828	DEFSS
176.987	2.5	Incongruent	pII	0.926	F35FS_8451	DEFSS
180.573	2	Congruent	-	1.06	M1HS_4301	DEFSS
183.654	2	Congruent	-	0.704	F37FA_9020	DEFSS
186.733	4	Incongruent	pCI	1.325	M11FS_6953	DEFSS
191.815	3.5	Incongruent	pII	0.763	F34HA_8219	DEFSS
196.384	3	Congruent	-	0.924	F10FS_4426	DEFSS
