onset	duration	interstimulus_interval	trial_type	trial_type_2	target_condition	distractor	response	response_time	correct	identifier	database
0.055	1	4	Congruent	n/a	FEAR	FEAR	HAPPY	0.328	0	M9FS_6104	NIMH-ChEFS
5.132	1	2.5	Congruent	n/a	HAPPY	HAPPY	FEAR	0.308	0	F13HA_5265	NIMH-ChEFS
8.685	1	3	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.273	1	M4HA_4877	NIMH-ChEFS
12.746	1	3.5	Incongruent	pII	FEAR	HAPPY	no_resp	-0.099	0	F7FS_4016	NIMH-ChEFS
17.293	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.322	1	F30HS_8495	NIMH-ChEFS
20.363	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.375	1	M4FA_4941	NIMH-ChEFS
25.408	1	3.5	Incongruent	pCI	FEAR	HAPPY	HAPPY	0.331	0	F32FA_8053	NIMH-ChEFS
29.974	1	3	Incongruent	pII	HAPPY	FEAR	FEAR	0.438	0	M10HS_6767	NIMH-ChEFS
34.042	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.344	1	F23HA_7156	NIMH-ChEFS
37.11	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.4	1	F13FS_5292	NIMH-ChEFS
40.655	1	2	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.167	1	F4HS_3664	NIMH-ChEFS
43.7	1	3	Incongruent	pII	HAPPY	FEAR	FEAR	0.116	0	M20HA_9192	NIMH-ChEFS
47.746	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	2.583	1	F18FA_6243	NIMH-ChEFS
52.313	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.329	1	M18HS_8848	NIMH-ChEFS
57.385	1	2.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.395	1	M14FS_7958	NIMH-ChEFS
60.955	1	2	Incongruent	pII	HAPPY	FEAR	HAPPY	0.403	1	F39HA_9433	NIMH-ChEFS
64.024	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.542	1	M10_FA_6823	NIMH-ChEFS
68.58	1	4	Congruent	n/a	HAPPY	HAPPY	FEAR	0.364	0	F12HS_5000	NIMH-ChEFS
73.626	1	2.5	Incongruent	pCI	FEAR	HAPPY	HAPPY	0.334	0	M17FA_8799	NIMH-ChEFS
77.174	1	3	Incongruent	pII	FEAR	HAPPY	FEAR	0.466	1	F2FS_3470	NIMH-ChEFS
81.241	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.34	1	M14HA_7913	NIMH-ChEFS
84.285	1	3	Congruent	n/a	HAPPY	HAPPY	FEAR	0.518	0	F7HA_3985	NIMH-ChEFS
88.333	1	3.5	Incongruent	pCI	FEAR	HAPPY	HAPPY	0.59	0	M2FS_4636	NIMH-ChEFS
92.878	1	2.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.577	1	F18HS_6186	NIMH-ChEFS
96.446	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.72	1	F39FA_9489	NIMH-ChEFS
101.519	1	3	Congruent	n/a	HAPPY	HAPPY	FEAR	0.678	0	M2HS_4493	NIMH-ChEFS
105.566	1	4	Incongruent	pCI	HAPPY	FEAR	FEAR	0.688	0	F1HA_3424	NIMH-ChEFS
110.637	1	2	Incongruent	pII	FEAR	HAPPY	HAPPY	0.553	0	M6FA__5449	NIMH-ChEFS
113.678	1	3.5	Congruent	n/a	FEAR	FEAR	HAPPY	0.726	0	M19FS_9117	NIMH-ChEFS
118.248	1	2.5	Congruent	n/a	HAPPY	HAPPY	FEAR	0.819	0	F35HS_8418	NIMH-ChEFS
121.794	1	3.5	Incongruent	pCI	FEAR	HAPPY	FEAR	1.448	1	F16FS_5978	NIMH-ChEFS
126.365	1	2.5	Incongruent	pII	FEAR	HAPPY	HAPPY	0.699	0	M1FA_4336	NIMH-ChEFS
129.934	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.667	1	M9HA_6057	NIMH-ChEFS
135.001	1	2	Congruent	n/a	FEAR	FEAR	HAPPY	0.998	0	F4FA_3712	NIMH-ChEFS
138.069	1	3	Incongruent	pCI	HAPPY	FEAR	FEAR	0.694	0	M15HS_8316	NIMH-ChEFS
142.139	1	2	Incongruent	pII	FEAR	HAPPY	HAPPY	0.572	0	F21FS_6587	NIMH-ChEFS
145.209	1	3.5	Congruent	n/a	HAPPY	HAPPY	FEAR	0.386	0	F19HA_6311	NIMH-ChEFS
149.753	1	2.5	Congruent	n/a	FEAR	FEAR	HAPPY	0.365	0	M10_4FS_6817	NIMH-ChEFS
153.32	1	3	Incongruent	pCI	HAPPY	FEAR	FEAR	0.517	0	F2HS_3448	NIMH-ChEFS
157.389	1	4	Incongruent	pII	HAPPY	FEAR	HAPPY	0.923	1	F10HA_4379	NIMH-ChEFS
162.455	1	3.5	Congruent	n/a	FEAR	FEAR	HAPPY	0.542	0	M14FA_7960	NIMH-ChEFS
167.022	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.392	1	F30FA_8552	NIMH-ChEFS
171.075	1	2.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.498	1	M8HA_5828	NIMH-ChEFS
174.62	1	4	Incongruent	pII	FEAR	HAPPY	FEAR	0.64	1	F35FS_8451	NIMH-ChEFS
