onset	duration	trial_type	trial_type_2	response_time	identifier	database
0.054	4	Congruent	-	0.869	M9FS_6104	DEFSS
5.136	2	Congruent	-	0.536	F13HA_5265	DEFSS
8.212	3	Incongruent	pCI	0.81	M4HA_4877	DEFSS
12.27	2.5	Incongruent	pII	0.816	F7FS_4016	DEFSS
15.819	3.5	Congruent	-	0.643	F30HS_8495	DEFSS
20.368	4	Congruent	-	0.638	M4FA_4941	DEFSS
25.415	3	Incongruent	pCI	0.428	F32FA_8053	DEFSS
29.461	3.5	Incongruent	pII	0.712	M10HS_6767	DEFSS
34.031	2	Congruent	-	0.712	F23HA_7156	DEFSS
37.101	2.5	Congruent	-	0.621	F13FS_5292	DEFSS
40.647	3.5	Incongruent	pCI	0.678	F4HS_3664	DEFSS
45.192	2	Incongruent	pII	0.669	M20HA_9192	DEFSS
48.239	2.5	Congruent	-	0.79	F18FA_6243	DEFSS
51.808	3	Congruent	-	0.507	M18HS_8848	DEFSS
55.854	4	Incongruent	pCI	0.632	M14FS_7958	DEFSS
60.9	2.5	Incongruent	pII	0.55	F39HA_9433	DEFSS
64.445	2	Congruent	-	1.073	M10_FA_6823	DEFSS
67.49	4	Congruent	-	0.765	F12HS_5000	DEFSS
72.539	3.5	Incongruent	pCI	0.749	M17FA_8799	DEFSS
77.107	3	Incongruent	pII	0.707	F2FS_3470	DEFSS
81.175	3.5	Congruent	-	0.865	M14HA_7913	DEFSS
85.743	4	Congruent	-	0.702	F7HA_3985	DEFSS
90.789	3	Incongruent	pCI	0.632	M2FS_4636	DEFSS
94.834	2.5	Incongruent	pII	0.832	F18HS_6186	DEFSS
98.377	2	Congruent	-	0.691	F39FA_9489	DEFSS
101.423	2.5	Congruent	-	0.884	M2HS_4493	DEFSS
104.99	2	Incongruent	pCI	0.854	F1HA_3424	DEFSS
108.038	3	Incongruent	pII	0.853	M6FA__5449	DEFSS
112.107	3.5	Congruent	-	0.688	M19FS_9117	DEFSS
116.653	4	Congruent	-	0.625	F35HS_8418	DEFSS
121.701	3	Incongruent	pCI	0.67	F16FS_5978	DEFSS
125.773	2.5	Incongruent	pII	0.75	M1FA_4336	DEFSS
129.34	2	Congruent	-	0.532	M9HA_6057	DEFSS
132.383	4	Congruent	-	0.598	F4FA_3712	DEFSS
137.427	3.5	Incongruent	pCI	0.777	M15HS_8316	DEFSS
141.995	2.5	Incongruent	pII	0.616	F21FS_6587	DEFSS
145.542	3	Congruent	-	0.532	F19HA_6311	DEFSS
149.587	3.5	Congruent	-	0.797	M10_4FS_6817	DEFSS
154.135	4	Incongruent	pCI	0.668	F2HS_3448	DEFSS
159.204	2	Incongruent	pII	0.678	F10HA_4379	DEFSS
162.275	4	Congruent	-	0.844	M14FA_7960	DEFSS
167.343	2	Congruent	-	0.611	F30FA_8552	DEFSS
170.386	3.5	Incongruent	pCI	0.649	M8HA_5828	DEFSS
174.954	2.5	Incongruent	pII	0.535	F35FS_8451	DEFSS
178.501	3	Congruent	-	0.619	M1HS_4301	DEFSS
182.547	2	Congruent	-	0.594	F37FA_9020	DEFSS
185.594	4	Incongruent	pCI	0.981	M11FS_6953	DEFSS
190.639	2.5	Incongruent	pII	0.62	F34HA_8219	DEFSS
194.185	3	Congruent	-	0.768	F10FS_4426	DEFSS
198.258	3.5	Congruent	-	0.688	M16HS_8633	DEFSS
202.804	4	Incongruent	pCI	0.551	M5HA_5140	DEFSS
207.853	3	Incongruent	pII	0.899	F12FA_5062	DEFSS
211.923	3.5	Congruent	-	0.56	F16HS_5924	DEFSS
216.466	2	Congruent	-	0.829	M2FA_4644	DEFSS
219.514	2.5	Incongruent	pCI	0.812	M16FS_8676	DEFSS
223.061	3	Incongruent	pII	0.623	F6HA_3882	DEFSS
227.129	2	Congruent	-	0.707	F19FS_6344	DEFSS
230.174	2.5	Congruent	-	1.011	M8FA_5885	DEFSS
233.717	4	Incongruent	pCI	0.721	F32HS_7996	DEFSS
238.762	3.5	Incongruent	pII	0.774	M19HA_9066	DEFSS
243.327	2	Congruent	-	1.062	M3FS_4775	DEFSS
246.372	3.5	Congruent	-	0.714	F3HA_3545	DEFSS
250.92	3	Incongruent	pCI	0.678	M9FA_6121	DEFSS
254.968	4	Incongruent	pII	0.811	F14FA_5638	DEFSS
260.016	2.5	Congruent	-	0.753	M6HS_5354	DEFSS
263.561	3	Congruent	-	0.745	F21HS_6544	DEFSS
267.608	4	Incongruent	pCI	0.714	M17FS_8783	DEFSS
272.679	2	Incongruent	pII	0.938	F37HA_8965	DEFSS
275.739	3.5	Congruent	-	1.034	M12HA_7030	DEFSS
280.284	2.5	Congruent	-	0.7	F31FS_7861	DEFSS
283.831	2	Incongruent	pCI	0.57	F3FA_3605	DEFSS
286.878	4	Incongruent	pII	0.524	M3HS_4695	DEFSS
291.927	3	Congruent	-	0.455	M11FA_6969	DEFSS
295.975	3.5	Congruent	-	0.513	F14HS_5590	DEFSS
300.546	2.5	Incongruent	pCI	0.632	M12FS_7070	DEFSS
304.116	4	Incongruent	pII	0.66	F6FS_3906	DEFSS
309.183	3.5	Congruent	-	0.71	M7HA_5500	DEFSS
313.728	2.5	Congruent	-	0.926	F23FA_7228	DEFSS
317.296	2	Incongruent	pCI	0.748	F31HA_8583	DEFSS
320.344	3	Incongruent	pII	0.955	M11HS_6885	DEFSS
324.414	2	Congruent	-	0.723	M3FA_4789	DEFSS
327.459	2.5	Congruent	-	0.716	F34FS_8257	DEFSS
331.005	3	Incongruent	pCI	0.703	M17HS_8732	DEFSS
335.056	3.5	Incongruent	pII	0.819	F7FA_4040	DEFSS
339.601	4	Congruent	-	0.967	F10HS_4372	DEFSS
344.646	4	Congruent	-	0.638	M1FS_4325	DEFSS
349.692	3	Incongruent	pCI	0.908	M6_1FA_5445	DEFSS
353.737	2.5	Incongruent	pII	0.585	F35HA_8422	DEFSS
357.282	3.5	Congruent	-	0.717	M16HA_8638	DEFSS
361.849	2	Congruent	-	0.995	F12FS_5036	DEFSS
364.896	2	Incongruent	pCI	0.985	F1HS_3423	DEFSS
367.943	2.5	Incongruent	pII	0.656	M7FA_5539	DEFSS
371.489	3.5	Congruent	-	0.647	F34FA_8267	DEFSS
376.06	4	Congruent	-	0.833	M8HS_5817	DEFSS
381.106	3	Incongruent	pCI	0.879	F23FS_7205	DEFSS
385.178	3.5	Incongruent	pII	0.692	M1HA_4302	DEFSS
389.724	3	Congruent	-	1.012	M5FS_5188	DEFSS
393.771	2	Congruent	-	0.677	F18HA_6193	DEFSS
396.819	4	Incongruent	pCI	1.187	M20FA_9277	DEFSS
401.867	2.5	Incongruent	pII	0.689	F10FA_4434	DEFSS
405.416	3.5	Congruent	-	0.4	F7HS_3986	DEFSS
409.984	2	Congruent	-	0.628	M12HS_7022	DEFSS
413.037	4	Incongruent	pCI	0.866	M7FS_5530	DEFSS
418.105	2.5	Incongruent	pII	0.935	F21HA_6550	DEFSS
421.651	3	Congruent	-	0.514	M17HA_8742	DEFSS
425.694	2.5	Congruent	-	0.712	F39FS_9475	DEFSS
429.264	4	Incongruent	pCI	0.827	M11HA_6890	DEFSS
434.313	3.5	Incongruent	pII	0.629	F19FA_6353	DEFSS
438.859	2	Congruent	-	0.711	M15FA_8374	DEFSS
441.908	3	Congruent	-	0.818	F13HS_5255	DEFSS
445.955	4	Incongruent	pCI	0.927	M20HS_9191	DEFSS
451.003	3.5	Incongruent	pII	1.044	M6FS_5422	DEFSS
455.55	2.5	Congruent	-	0.709	F16HA_5934	DEFSS
459.096	3	Congruent	-	0.533	M18FA_8913	DEFSS
463.142	2	Incongruent	pCI	0.707	F39HS_9426	DEFSS
466.188	2.5	Incongruent	pII	0.632	F3FS_3596	DEFSS
469.735	3	Congruent	-	0.588	M8FS_5869	DEFSS
473.782	3.5	Congruent	-	0.657	M4HS_4862	DEFSS
478.328	2	Incongruent	pCI	0.741	F2HA_3451	DEFSS
481.373	4	Incongruent	pII	0.63	M10HA_6772	DEFSS
486.419	4	Congruent	-	0.675	F18FS_6229	DEFSS
491.489	2	Congruent	-	0.583	F31HS_8581	DEFSS
494.561	2.5	Incongruent	pCI	0.513	M12FA_7082	DEFSS
498.127	3.5	Incongruent	pII	0.589	F12HA_5004	DEFSS
502.697	3	Congruent	-	0.685	F6FA_3922	DEFSS
506.755	3.5	Congruent	-	0.775	M5HS_5134	DEFSS
511.302	4	Incongruent	pCI	-0.099	M14HS_7912	DEFSS
516.347	2	Incongruent	pII	0.876	F32FS_8041	DEFSS
519.416	3	Congruent	-	1.712	M19FA_9129	DEFSS
523.485	2.5	Congruent	-	0.824	F34HS_8209	DEFSS
527.03	3	Incongruent	pCI	0.73	M18HA_8854	DEFSS
531.076	2.5	Incongruent	pII	0.631	F16FA_5992	DEFSS
534.643	2	Congruent	-	1.028	F37FS_9007	DEFSS
537.711	3.5	Congruent	-	1.141	M3HA_4707	DEFSS
542.257	4	Incongruent	pCI	0.608	M15FS_8364	DEFSS
547.327	3	Incongruent	pII	0.639	F13FA_5314	DEFSS
551.398	4	Congruent	-	0.657	F14HA_5595	DEFSS
556.468	3.5	Congruent	-	0.509	M5FA_5198	DEFSS
561.015	2	Incongruent	pCI	0.926	F2FA_3491	DEFSS
564.086	2.5	Incongruent	pII	0.588	F23HS_7148	DEFSS
567.631	4	Congruent	-	0.574	M18FS_8888	DEFSS
572.678	3.5	Congruent	-	0.724	F30HA_8500	DEFSS
577.246	2	Incongruent	pCI	0.661	M7HS_5497	DEFSS
580.314	3	Incongruent	pII	0.664	F14FS_5632	DEFSS
584.386	2.5	Congruent	-	0.559	M2HA_4506	DEFSS
587.934	3.5	Congruent	-	0.477	F21FA_6608	DEFSS
592.479	2.5	Incongruent	pCI	0.385	F6HS_3875	DEFSS
596.02	4	Incongruent	pII	0.432	M19HS_9059	DEFSS
601.069	2	Congruent	-	0.435	F4FS_3704	DEFSS
604.117	3	Congruent	-	0.733	F32HA_7998	DEFSS
608.185	2	Incongruent	pCI	0.607	M6HA_5360	DEFSS
611.233	4	Incongruent	pII	0.706	M16FA_8681	DEFSS
616.282	3.5	Congruent	-	0.61	F19HS_6297	DEFSS
620.824	2.5	Congruent	-	0.689	F35FA_8465	DEFSS
624.37	3	Incongruent	pCI	0.753	M4FS_4935	DEFSS
628.416	2.5	Incongruent	pII	0.718	F37HS_8954	DEFSS
631.962	4	Congruent	-	0.846	F30FS_8546	DEFSS
637.008	3	Congruent	-	0.578	M9HS_6054	DEFSS
641.053	3.5	Incongruent	pCI	1.218	F31FA_7873	DEFSS
645.599	2	Incongruent	pII	-0.099	F4HA_3668	DEFSS
648.642	2.5	Congruent	-	0.595	M15HA_8321	DEFSS
652.187	4	Incongruent	pCI	0.691	F3HS_3540	DEFSS
657.236	3	Incongruent	pII	0.729	M20FS_9236	DEFSS
