participant_id	family_id	age	age_ses02	sex	handedness	ses01_protocol	ses02_protocol	group
sub-0001	fam-0001	12	14	M	Right	1b	2b	n/a
sub-0002	fam-0154	9	n/a	F	Right	1d	n/a	n/a
sub-0003	fam-0116	12	14	M	Right	1d	2c	n/a
sub-0004	fam-0002	10	11	M	Right	1d	2c	n/a
sub-0005	fam-0088	10	12	F	Right	1d	2c	n/a
sub-0006	fam-0178	13	15	M	Right	1b	2a	n/a
sub-0007	fam-0003	9	10	F	Right	1d	2c	n/a
sub-0008	fam-0004	11	n/a	F	Left	1d	n/a	n/a
sub-0009	fam-0187	9	n/a	M	Right	1d	n/a	n/a
sub-0010	fam-0014	14	16	F	Right	1d	2c	n/a
sub-0011	fam-0139	11	n/a	M	Right	1d	n/a	n/a
sub-0012	fam-0070	10	n/a	M	Right	1d	n/a	n/a
sub-0013	fam-0137	9	10	F	Right	1d	2c	n/a
sub-0014	fam-0005	9	10	M	Right	1d	2c	n/a
sub-0015	fam-0082	11	12	M	Right	1d	2c	n/a
sub-0016	fam-0093	9	11	F	Right	1d	2c	n/a
sub-0017	fam-0007	13	15	M	Right	1b	2b	n/a
sub-0018	fam-0001	12	14	M	Right	1b	2b	n/a
sub-0019	fam-0008	9	11	F	Right	1d	2c	n/a
sub-0020	fam-0009	11	12	M	Right	1d	2c	n/a
sub-0021	fam-0202	11	13	F	Right	1d	2c	n/a
sub-0022	fam-0168	12	14	M	Left	1d	2c	n/a
sub-0023	fam-0184	11	n/a	M	Right	1d	n/a	n/a
sub-0024	fam-0029	13	15	M	Right	1b	2a	n/a
sub-0025	fam-0039	12	13	M	Left	1d	2b	n/a
sub-0026	fam-0169	10	n/a	M	Left	1d	n/a	n/a
sub-0027	fam-0010	13	n/a	M	Right	1d	n/a	n/a
sub-0028	fam-0011	11	13	M	Right	1d	2b	n/a
sub-0029	fam-0119	10	12	F	Left	1d	2c	n/a
sub-0030	fam-0047	10	11	M	Right	1d	2c	n/a
sub-0031	fam-0012	10	12	M	Right	1d	2c	n/a
sub-0032	fam-0110	14	15	F	Right	1d	2b	n/a
