onset	duration	interstimulus_interval	trial_type	trial_type_2	target_condition	distractor	response	response_time	correct	identifier	database
0.054	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.648	1	M9FS_6104	NIMH-ChEFS
4.116	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.571	1	F13HA_5265	NIMH-ChEFS
7.171	1	2.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.755	1	M4HA_4877	NIMH-ChEFS
10.74	1	4	Incongruent	pII	FEAR	HAPPY	FEAR	0.737	1	F7FS_4016	NIMH-ChEFS
15.793	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.73	1	F30HS_8495	NIMH-ChEFS
20.343	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.639	1	M4FA_4941	NIMH-ChEFS
25.389	1	3	Incongruent	pCI	FEAR	HAPPY	FEAR	0.715	1	F32FA_8053	NIMH-ChEFS
29.435	1	3.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.615	1	M10HS_6767	NIMH-ChEFS
33.985	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.667	1	F23HA_7156	NIMH-ChEFS
37.532	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.662	1	F13FS_5292	NIMH-ChEFS
40.58	1	4	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.659	1	F4HS_3664	NIMH-ChEFS
45.627	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.586	1	M20HA_9192	NIMH-ChEFS
49.676	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.614	1	F18FA_6243	NIMH-ChEFS
52.726	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.59	1	M18HS_8848	NIMH-ChEFS
56.276	1	3.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.73	1	M14FS_7958	NIMH-ChEFS
60.824	1	2	Incongruent	pII	HAPPY	FEAR	HAPPY	0.958	1	F39HA_9433	NIMH-ChEFS
63.873	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.553	1	M10_FA_6823	NIMH-ChEFS
68.42	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.566	1	F12HS_5000	NIMH-ChEFS
73.468	1	3	Incongruent	pCI	FEAR	HAPPY	FEAR	0.762	1	M17FA_8799	NIMH-ChEFS
77.516	1	2.5	Incongruent	pII	FEAR	HAPPY	FEAR	0.91	1	F2FS_3470	NIMH-ChEFS
81.065	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.6	1	M14HA_7913	NIMH-ChEFS
85.618	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.761	1	F7HA_3985	NIMH-ChEFS
90.667	1	2.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.554	1	M2FS_4636	NIMH-ChEFS
94.215	1	2	Incongruent	pII	HAPPY	FEAR	HAPPY	0.722	1	F18HS_6186	NIMH-ChEFS
97.262	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.644	1	F39FA_9489	NIMH-ChEFS
101.312	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.662	1	M2HS_4493	NIMH-ChEFS
105.861	1	2	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.739	1	F1HA_3424	NIMH-ChEFS
108.911	1	4	Incongruent	pII	FEAR	HAPPY	HAPPY	0.954	0	M6FA__5449	NIMH-ChEFS
113.96	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.601	1	M19FS_9117	NIMH-ChEFS
118.011	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.608	1	F35HS_8418	NIMH-ChEFS
121.562	1	3.5	Incongruent	pCI	FEAR	HAPPY	HAPPY	1.064	0	F16FS_5978	NIMH-ChEFS
126.113	1	2	Incongruent	pII	FEAR	HAPPY	FEAR	0.626	1	M1FA_4336	NIMH-ChEFS
129.163	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.738	1	M9HA_6057	NIMH-ChEFS
132.712	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.804	1	F4FA_3712	NIMH-ChEFS
137.759	1	3	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.597	1	M15HS_8316	NIMH-ChEFS
141.808	1	3	Incongruent	pII	FEAR	HAPPY	FEAR	0.647	1	F21FS_6587	NIMH-ChEFS
