onset	duration	trial_type	trial_type_2	response_time	identifier	database
0.054	3.5	Congruent	-	1.034	M9FS_6104	DEFSS
4.608	2	Congruent	-	0.488	F13HA_5265	DEFSS
7.659	2.5	Incongruent	pCI	0.512	M4HA_4877	DEFSS
11.22	3	Incongruent	pII	0.498	F7FS_4016	DEFSS
15.268	4	Congruent	-	0.448	F30HS_8495	DEFSS
20.313	3	Congruent	-	0.493	M4FA_4941	DEFSS
24.359	4	Incongruent	pCI	0.514	F32FA_8053	DEFSS
29.402	3.5	Incongruent	pII	0.643	M10HS_6767	DEFSS
33.948	2.5	Congruent	-	0.57	F23HA_7156	DEFSS
37.493	2	Congruent	-	0.721	F13FS_5292	DEFSS
40.54	2	Incongruent	pCI	0.832	F4HS_3664	DEFSS
43.586	3	Incongruent	pII	0.557	M20HA_9192	DEFSS
47.632	4	Congruent	-	0.465	F18FA_6243	DEFSS
52.678	2.5	Congruent	-	0.538	M18HS_8848	DEFSS
56.224	3.5	Incongruent	pCI	0.616	M14FS_7958	DEFSS
60.77	3	Incongruent	pII	0.513	F39HA_9433	DEFSS
64.816	4	Congruent	-	0.637	M10_FA_6823	DEFSS
69.864	2	Congruent	-	0.451	F12HS_5000	DEFSS
72.911	2.5	Incongruent	pCI	0.64	M17FA_8799	DEFSS
76.456	3.5	Incongruent	pII	0.583	F2FS_3470	DEFSS
81.002	2	Congruent	-	0.545	M14HA_7913	DEFSS
84.045	3	Congruent	-	0.622	F7HA_3985	DEFSS
88.091	2.5	Incongruent	pCI	0.531	M2FS_4636	DEFSS
91.636	4	Incongruent	pII	0.583	F18HS_6186	DEFSS
96.684	3.5	Congruent	-	0.606	F39FA_9489	DEFSS
101.233	4	Congruent	-	0.581	M2HS_4493	DEFSS
106.278	2	Incongruent	pCI	0.617	F1HA_3424	DEFSS
109.325	2.5	Incongruent	pII	0.817	M6FA__5449	DEFSS
112.87	3.5	Congruent	-	0.674	M19FS_9117	DEFSS
117.418	3	Congruent	-	0.591	F35HS_8418	DEFSS
121.465	3.5	Incongruent	pCI	0.817	F16FS_5978	DEFSS
126.012	4	Incongruent	pII	0.987	M1FA_4336	DEFSS
131.059	2.5	Congruent	-	0.662	M9HA_6057	DEFSS
134.602	2	Congruent	-	0.668	F4FA_3712	DEFSS
137.646	3	Incongruent	pCI	0.583	M15HS_8316	DEFSS
141.691	2.5	Incongruent	pII	0.535	F21FS_6587	DEFSS
145.238	3.5	Congruent	-	0.723	F19HA_6311	DEFSS
149.784	2	Congruent	-	0.731	M10_4FS_6817	DEFSS
152.829	4	Incongruent	pCI	0.643	F2HS_3448	DEFSS
