onset	duration	trial_type	trial_type_2	response_time	identifier	database
0.058	3.5	Congruent	-	1.045	M9FS_6104	DEFSS
4.621	4	Congruent	-	0.781	F13HA_5265	DEFSS
9.678	2	Incongruent	pCI	1.117	M4HA_4877	DEFSS
12.75	2.5	Incongruent	pII	1.04	F7FS_4016	DEFSS
16.305	3	Congruent	-	1.012	F30HS_8495	DEFSS
20.355	4	Congruent	-	0.915	M4FA_4941	DEFSS
25.405	2	Incongruent	pCI	1.145	F32FA_8053	DEFSS
28.455	3.5	Incongruent	pII	1.362	M10HS_6767	DEFSS
33.005	2.5	Congruent	-	1.304	F23HA_7156	DEFSS
36.549	3	Congruent	-	0.69	F13FS_5292	DEFSS
40.597	4	Incongruent	pCI	0.76	F4HS_3664	DEFSS
45.647	3	Incongruent	pII	0.89	M20HA_9192	DEFSS
49.695	2.5	Congruent	-	1.02	F18FA_6243	DEFSS
53.245	3.5	Congruent	-	1.241	M18HS_8848	DEFSS
57.82	2	Incongruent	pCI	0.795	M14FS_7958	DEFSS
60.868	4	Incongruent	pII	1.094	F39HA_9433	DEFSS
65.916	2.5	Congruent	-	0.815	M10_FA_6823	DEFSS
69.492	3.5	Congruent	-	0.661	F12HS_5000	DEFSS
74.042	2	Incongruent	pCI	1.133	M17FA_8799	DEFSS
77.092	3	Incongruent	pII	0.893	F2FS_3470	DEFSS
81.142	2.5	Congruent	-	0.622	M14HA_7913	DEFSS
84.694	2	Congruent	-	0.863	F7HA_3985	DEFSS
87.742	4	Incongruent	pCI	0.895	M2FS_4636	DEFSS
92.791	3	Incongruent	pII	0.985	F18HS_6186	DEFSS
96.844	3.5	Congruent	-	0.871	F39FA_9489	DEFSS
101.394	2	Congruent	-	1.11	M2HS_4493	DEFSS
104.442	3	Incongruent	pCI	1.112	F1HA_3424	DEFSS
108.49	3.5	Incongruent	pII	0.658	M6FA__5449	DEFSS
113.041	2.5	Congruent	-	0.798	M19FS_9117	DEFSS
116.592	4	Congruent	-	1.004	F35HS_8418	DEFSS
121.643	3	Incongruent	pCI	1.005	F16FS_5978	DEFSS
125.693	4	Incongruent	pII	1.35	M1FA_4336	DEFSS
130.744	3.5	Congruent	-	1.035	M9HA_6057	DEFSS
135.292	2.5	Congruent	-	0.908	F4FA_3712	DEFSS
138.841	2	Incongruent	pCI	1.04	M15HS_8316	DEFSS
141.89	2	Incongruent	pII	0.997	F21FS_6587	DEFSS
144.941	4	Congruent	-	0.784	F19HA_6311	DEFSS
149.988	3.5	Congruent	-	0.871	M10_4FS_6817	DEFSS
154.565	3	Incongruent	pCI	0.992	F2HS_3448	DEFSS
158.615	2.5	Incongruent	pII	1.05	F10HA_4379	DEFSS
162.162	4	Congruent	-	0.888	M14FA_7960	DEFSS
167.211	3	Congruent	-	0.945	F30FA_8552	DEFSS
171.26	3.5	Incongruent	pCI	0.881	M8HA_5828	DEFSS
175.835	2	Incongruent	pII	1.046	F35FS_8451	DEFSS
178.885	2.5	Congruent	-	0.759	M1HS_4301	DEFSS
182.459	2.5	Congruent	-	0.863	F37FA_9020	DEFSS
186.014	3.5	Incongruent	pCI	0.999	M11FS_6953	DEFSS
190.565	3	Incongruent	pII	1.085	F34HA_8219	DEFSS
194.613	4	Congruent	-	1.14	F10FS_4426	DEFSS
199.663	2	Congruent	-	0.998	M16HS_8633	DEFSS
202.71	3	Incongruent	pCI	2.055	M5HA_5140	DEFSS
206.761	2	Incongruent	pII	0.978	F12FA_5062	DEFSS
209.81	3.5	Congruent	-	0.762	F16HS_5924	DEFSS
214.358	4	Congruent	-	0.65	M2FA_4644	DEFSS
219.41	2.5	Incongruent	pCI	0.858	M16FS_8676	DEFSS
222.962	3.5	Incongruent	pII	0.626	F6HA_3882	DEFSS
227.513	4	Congruent	-	0.841	F19FS_6344	DEFSS
232.561	2.5	Congruent	-	0.767	M8FA_5885	DEFSS
236.11	2	Incongruent	pCI	1.099	F32HS_7996	DEFSS
239.158	3	Incongruent	pII	0.886	M19HA_9066	DEFSS
243.206	2.5	Congruent	-	1.188	M3FS_4775	DEFSS
246.756	4	Congruent	-	0.834	F3HA_3545	DEFSS
251.807	3	Incongruent	pCI	0.907	M9FA_6121	DEFSS
255.855	2	Incongruent	pII	1.042	F14FA_5638	DEFSS
258.906	3.5	Congruent	-	1.001	M6HS_5354	DEFSS
263.466	2.5	Congruent	-	1.069	F21HS_6544	DEFSS
267.016	2	Incongruent	pCI	0.854	M17FS_8783	DEFSS
270.065	3	Incongruent	pII	1.023	F37HA_8965	DEFSS
274.11	3.5	Congruent	-	1.149	M12HA_7030	DEFSS
278.658	4	Congruent	-	0.768	F31FS_7861	DEFSS
283.707	2	Incongruent	pCI	0.964	F3FA_3605	DEFSS
286.758	4	Incongruent	pII	0.687	M3HS_4695	DEFSS
291.806	3	Congruent	-	0.854	M11FA_6969	DEFSS
295.857	3.5	Congruent	-	1.14	F14HS_5590	DEFSS
300.407	2.5	Incongruent	pCI	0.755	M12FS_7070	DEFSS
303.957	3.5	Incongruent	pII	1.293	F6FS_3906	DEFSS
308.51	2	Congruent	-	0.854	M7HA_5500	DEFSS
311.564	4	Congruent	-	0.811	F23FA_7228	DEFSS
316.612	3	Incongruent	pCI	0.675	F31HA_8583	DEFSS
320.659	2.5	Incongruent	pII	0.839	M11HS_6885	DEFSS
324.207	2.5	Congruent	-	1.02	M3FA_4789	DEFSS
327.757	2	Congruent	-	0.762	F34FS_8257	DEFSS
330.807	3	Incongruent	pCI	0.789	M17HS_8732	DEFSS
334.859	3.5	Incongruent	pII	1.14	F7FA_4040	DEFSS
339.408	4	Congruent	-	0.78	F10HS_4372	DEFSS
344.458	2	Congruent	-	0.801	M1FS_4325	DEFSS
347.505	3.5	Incongruent	pCI	1.187	M6_1FA_5445	DEFSS
352.053	4	Incongruent	pII	0.819	F35HA_8422	DEFSS
357.104	3	Congruent	-	1.069	M16HA_8638	DEFSS
361.152	2.5	Congruent	-	1.12	F12FS_5036	DEFSS
364.702	2	Incongruent	pCI	1.12	F1HS_3423	DEFSS
367.752	3.5	Incongruent	pII	1.261	M7FA_5539	DEFSS
372.3	3	Congruent	-	0.826	F34FA_8267	DEFSS
376.351	2.5	Congruent	-	0.837	M8HS_5817	DEFSS
379.902	4	Incongruent	pCI	1.053	F23FS_7205	DEFSS
384.95	2.5	Incongruent	pII	0.787	M1HA_4302	DEFSS
388.497	3	Congruent	-	0.875	M5FS_5188	DEFSS
392.547	2	Congruent	-	0.856	F18HA_6193	DEFSS
395.598	4	Incongruent	pCI	1.714	M20FA_9277	DEFSS
400.65	3.5	Incongruent	pII	0.779	F10FA_4434	DEFSS
405.195	3.5	Congruent	-	0.773	F7HS_3986	DEFSS
409.771	2.5	Congruent	-	1.164	M12HS_7022	DEFSS
413.325	3	Incongruent	pCI	1.029	M7FS_5530	DEFSS
417.372	2	Incongruent	pII	0.744	F21HA_6550	DEFSS
420.421	4	Congruent	-	0.784	M17HA_8742	DEFSS
425.47	3	Congruent	-	0.665	F39FS_9475	DEFSS
429.517	3.5	Incongruent	pCI	0.759	M11HA_6890	DEFSS
434.065	4	Incongruent	pII	1.037	F19FA_6353	DEFSS
439.114	2.5	Congruent	-	0.835	M15FA_8374	DEFSS
442.657	2	Congruent	-	0.92	F13HS_5255	DEFSS
445.704	2.5	Incongruent	pCI	1.659	M20HS_9191	DEFSS
449.254	3	Incongruent	pII	1.005	M6FS_5422	DEFSS
453.301	3.5	Congruent	-	0.891	F16HA_5934	DEFSS
457.848	2	Congruent	-	1.159	M18FA_8913	DEFSS
460.9	4	Incongruent	pCI	0.836	F39HS_9426	DEFSS
465.945	4	Incongruent	pII	1.147	F3FS_3596	DEFSS
470.998	3	Congruent	-	0.894	M8FS_5869	DEFSS
475.047	2	Congruent	-	1.498	M4HS_4862	DEFSS
478.097	3.5	Incongruent	pCI	1.474	F2HA_3451	DEFSS
482.641	2.5	Incongruent	pII	1.961	M10HA_6772	DEFSS
486.188	4	Congruent	-	1.037	F18FS_6229	DEFSS
491.238	3.5	Congruent	-	1.272	F31HS_8581	DEFSS
495.787	2	Incongruent	pCI	1.225	M12FA_7082	DEFSS
498.834	3	Incongruent	pII	1.559	F12HA_5004	DEFSS
502.879	2.5	Congruent	-	1.305	F6FA_3922	DEFSS
506.428	2.5	Congruent	-	1.588	M5HS_5134	DEFSS
509.973	2	Incongruent	pCI	-0.099	M14HS_7912	DEFSS
513.017	3	Incongruent	pII	1.046	F32FS_8041	DEFSS
517.064	3.5	Congruent	-	1.367	M19FA_9129	DEFSS
521.613	4	Congruent	-	1.24	F34HS_8209	DEFSS
526.686	4	Incongruent	pCI	1.108	M18HA_8854	DEFSS
531.735	2.5	Incongruent	pII	0.893	F16FA_5992	DEFSS
535.279	2	Congruent	-	1.22	F37FS_9007	DEFSS
538.327	3	Congruent	-	0.888	M3HA_4707	DEFSS
542.375	3.5	Incongruent	pCI	1.396	M15FS_8364	DEFSS
546.925	4	Incongruent	pII	0.911	F13FA_5314	DEFSS
551.972	3	Congruent	-	1.671	F14HA_5595	DEFSS
556.021	2.5	Congruent	-	0.936	M5FA_5198	DEFSS
559.57	2	Incongruent	pCI	0.859	F2FA_3491	DEFSS
562.617	3.5	Incongruent	pII	1.755	F23HS_7148	DEFSS
567.189	2.5	Congruent	-	1.317	M18FS_8888	DEFSS
570.737	3.5	Congruent	-	0.912	F30HA_8500	DEFSS
575.294	4	Incongruent	pCI	1.304	M7HS_5497	DEFSS
580.343	3	Incongruent	pII	1.296	F14FS_5632	DEFSS
584.422	2	Congruent	-	2.428	M2HA_4506	DEFSS
587.469	4	Congruent	-	1.508	F21FA_6608	DEFSS
592.516	3	Incongruent	pCI	1.308	F6HS_3875	DEFSS
596.564	3.5	Incongruent	pII	1.519	M19HS_9059	DEFSS
601.11	2.5	Congruent	-	0.84	F4FS_3704	DEFSS
604.659	2	Congruent	-	0.871	F32HA_7998	DEFSS
607.707	2.5	Incongruent	pCI	1.586	M6HA_5360	DEFSS
611.257	2	Incongruent	pII	1.419	M16FA_8681	DEFSS
614.307	4	Congruent	-	1.019	F19HS_6297	DEFSS
619.357	3	Congruent	-	0.961	F35FA_8465	DEFSS
623.405	3.5	Incongruent	pCI	1.228	M4FS_4935	DEFSS
627.955	2	Incongruent	pII	1.37	F37HS_8954	DEFSS
631.004	2.5	Congruent	-	1.017	F30FS_8546	DEFSS
634.554	3.5	Congruent	-	1.016	M9HS_6054	DEFSS
639.102	3	Incongruent	pCI	1.037	F31FA_7873	DEFSS
643.165	4	Incongruent	pII	0.865	F4HA_3668	DEFSS
648.211	2	Congruent	-	1.327	M15HA_8321	DEFSS
651.254	3.5	Incongruent	pCI	1.01	F3HS_3540	DEFSS
655.803	4	Incongruent	pII	1.114	M20FS_9236	DEFSS
