onset	duration	trial_type	trial_type_2	response_time	identifier	database
0.065	3.5	Congruent	-	1.658	M9FS_6104	DEFSS
4.662	2	Congruent	-	0.681	F13HA_5265	DEFSS
7.745	2.5	Incongruent	pCI	0.778	M4HA_4877	DEFSS
11.342	3	Incongruent	pII	0.946	F7FS_4016	DEFSS
15.421	4	Congruent	-	0.492	F30HS_8495	DEFSS
20.494	3	Congruent	-	0.624	M4FA_4941	DEFSS
24.569	4	Incongruent	pCI	0.899	F32FA_8053	DEFSS
29.639	3.5	Incongruent	pII	0.649	M10HS_6767	DEFSS
34.213	2.5	Congruent	-	1.455	F23HA_7156	DEFSS
37.788	2	Congruent	-	0.98	F13FS_5292	DEFSS
40.861	2	Incongruent	pCI	0.842	F4HS_3664	DEFSS
43.928	3	Incongruent	pII	1.115	M20HA_9192	DEFSS
47.998	4	Congruent	-	0.865	F18FA_6243	DEFSS
53.068	2.5	Congruent	-	0.875	M18HS_8848	DEFSS
56.641	3.5	Incongruent	pCI	0.927	M14FS_7958	DEFSS
61.217	3	Incongruent	pII	1.276	F39HA_9433	DEFSS
65.288	4	Congruent	-	1	M10_FA_6823	DEFSS
70.361	2	Congruent	-	0.772	F12HS_5000	DEFSS
73.434	2.5	Incongruent	pCI	0.839	M17FA_8799	DEFSS
77.009	3.5	Incongruent	pII	1.114	F2FS_3470	DEFSS
81.576	2	Congruent	-	1.142	M14HA_7913	DEFSS
84.65	3	Congruent	-	1.003	F7HA_3985	DEFSS
88.722	2.5	Incongruent	pCI	0.721	M2FS_4636	DEFSS
92.298	4	Incongruent	pII	1.045	F18HS_6186	DEFSS
97.37	3.5	Congruent	-	0.918	F39FA_9489	DEFSS
101.943	4	Congruent	-	0.985	M2HS_4493	DEFSS
106.988	2	Incongruent	pCI	0.78	F1HA_3424	DEFSS
110.061	2.5	Incongruent	pII	0.652	M6FA__5449	DEFSS
113.632	3.5	Congruent	-	1.326	M19FS_9117	DEFSS
118.205	3	Congruent	-	0.708	F35HS_8418	DEFSS
122.279	3.5	Incongruent	pCI	1.144	F16FS_5978	DEFSS
126.851	4	Incongruent	pII	0.812	M1FA_4336	DEFSS
131.929	2.5	Congruent	-	0.989	M9HA_6057	DEFSS
135.499	2	Congruent	-	0.819	F4FA_3712	DEFSS
138.571	3	Incongruent	pCI	0.662	M15HS_8316	DEFSS
142.645	2.5	Incongruent	pII	1.088	F21FS_6587	DEFSS
146.22	3.5	Congruent	-	1.103	F19HA_6311	DEFSS
150.798	2	Congruent	-	0.755	M10_4FS_6817	DEFSS
153.87	4	Incongruent	pCI	1.178	F2HS_3448	DEFSS
158.941	3	Incongruent	pII	0.857	F10HA_4379	DEFSS
163.014	2	Congruent	-	0.959	M14FA_7960	DEFSS
166.084	4	Congruent	-	0.874	F30FA_8552	DEFSS
171.155	3.5	Incongruent	pCI	1.458	M8HA_5828	DEFSS
175.731	3	Incongruent	pII	0.902	F35FS_8451	DEFSS
179.789	2.5	Congruent	-	0.854	M1HS_4301	DEFSS
183.362	3	Congruent	-	0.731	F37FA_9020	DEFSS
187.436	2	Incongruent	pCI	1.497	M11FS_6953	DEFSS
