onset	duration	interstimulus_interval	trial_type	trial_type_2	target_condition	distractor	response	response_time	correct	identifier	database
0.058	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	1.016	1	M9FS_6104	NIMH-ChEFS
4.625	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.689	1	F13HA_5265	NIMH-ChEFS
9.692	1	2	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.749	1	M4HA_4877	NIMH-ChEFS
12.765	1	2.5	Incongruent	pII	FEAR	HAPPY	FEAR	0.738	1	F7FS_4016	NIMH-ChEFS
16.319	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.652	1	F30HS_8495	NIMH-ChEFS
20.365	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.549	1	M4FA_4941	NIMH-ChEFS
25.418	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	0.754	1	F32FA_8053	NIMH-ChEFS
28.476	1	3.5	Incongruent	pII	HAPPY	FEAR	HAPPY	1.001	1	M10HS_6767	NIMH-ChEFS
33.032	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.642	1	F23HA_7156	NIMH-ChEFS
36.583	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.741	1	F13FS_5292	NIMH-ChEFS
40.66	1	4	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.814	1	F4HS_3664	NIMH-ChEFS
45.712	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.932	1	M20HA_9192	NIMH-ChEFS
49.765	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.603	1	F18FA_6243	NIMH-ChEFS
53.342	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.61	1	M18HS_8848	NIMH-ChEFS
57.901	1	2	Incongruent	pCI	FEAR	HAPPY	HAPPY	0.784	0	M14FS_7958	NIMH-ChEFS
60.951	1	4	Incongruent	pII	HAPPY	FEAR	HAPPY	1.019	1	F39HA_9433	NIMH-ChEFS
66.003	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.828	1	M10_FA_6823	NIMH-ChEFS
69.583	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.555	1	F12HS_5000	NIMH-ChEFS
74.135	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	0.837	1	M17FA_8799	NIMH-ChEFS
77.193	1	3	Incongruent	pII	FEAR	HAPPY	FEAR	0.79	1	F2FS_3470	NIMH-ChEFS
81.247	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.684	1	M14HA_7913	NIMH-ChEFS
84.805	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.784	1	F7HA_3985	NIMH-ChEFS
87.858	1	4	Incongruent	pCI	FEAR	HAPPY	FEAR	0.857	1	M2FS_4636	NIMH-ChEFS
92.914	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.827	1	F18HS_6186	NIMH-ChEFS
96.992	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.582	1	F39FA_9489	NIMH-ChEFS
101.549	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.761	1	M2HS_4493	NIMH-ChEFS
104.606	1	3	Incongruent	pCI	HAPPY	FEAR	FEAR	0.738	0	F1HA_3424	NIMH-ChEFS
