onset	duration	trial_type	trial_type_2	response_time	identifier	database
0.054	3.5	Congruent	-	0.991	M9FS_6104	DEFSS
4.619	4	Congruent	-	0.537	F13HA_5265	DEFSS
9.678	2	Incongruent	pCI	0.881	M4HA_4877	DEFSS
12.746	2.5	Incongruent	pII	0.796	F7FS_4016	DEFSS
16.301	3	Congruent	-	0.867	F30HS_8495	DEFSS
20.349	4	Congruent	-	0.57	M4FA_4941	DEFSS
25.401	2	Incongruent	pCI	0.653	F32FA_8053	DEFSS
28.447	3.5	Incongruent	pII	0.862	M10HS_6767	DEFSS
32.998	2.5	Congruent	-	0.816	F23HA_7156	DEFSS
36.548	3	Congruent	-	1.316	F13FS_5292	DEFSS
40.596	4	Incongruent	pCI	0.424	F4HS_3664	DEFSS
45.644	3	Incongruent	pII	0.985	M20HA_9192	DEFSS
49.718	2.5	Congruent	-	0.748	F18FA_6243	DEFSS
53.293	3.5	Congruent	-	1.222	M18HS_8848	DEFSS
57.842	2	Incongruent	pCI	0.698	M14FS_7958	DEFSS
60.89	4	Incongruent	pII	0.911	F39HA_9433	DEFSS
65.939	2.5	Congruent	-	0.727	M10_FA_6823	DEFSS
69.487	3.5	Congruent	-	1.306	F12HS_5000	DEFSS
74.037	2	Incongruent	pCI	0.937	M17FA_8799	DEFSS
77.088	3	Incongruent	pII	-0.099	F2FS_3470	DEFSS
81.132	2.5	Congruent	-	0.692	M14HA_7913	DEFSS
84.681	2	Congruent	-	0.515	F7HA_3985	DEFSS
87.757	4	Incongruent	pCI	0.548	M2FS_4636	DEFSS
92.805	3	Incongruent	pII	0.757	F18HS_6186	DEFSS
96.854	3.5	Congruent	-	0.407	F39FA_9489	DEFSS
101.406	2	Congruent	-	0.423	M2HS_4493	DEFSS
104.453	3	Incongruent	pCI	0.574	F1HA_3424	DEFSS
108.501	3.5	Incongruent	pII	0.69	M6FA__5449	DEFSS
113.049	2.5	Congruent	-	0.673	M19FS_9117	DEFSS
116.599	4	Congruent	-	0.951	F35HS_8418	DEFSS
121.649	3	Incongruent	pCI	0.555	F16FS_5978	DEFSS
125.724	4	Incongruent	pII	0.795	M1FA_4336	DEFSS
130.773	3.5	Congruent	-	0.67	M9HA_6057	DEFSS
135.321	2.5	Congruent	-	0.572	F4FA_3712	DEFSS
138.87	2	Incongruent	pCI	1.013	M15HS_8316	DEFSS
141.918	2	Incongruent	pII	0.842	F21FS_6587	DEFSS
144.968	4	Congruent	-	0.959	F19HA_6311	DEFSS
150.016	3.5	Congruent	-	1.025	M10_4FS_6817	DEFSS
154.562	3	Incongruent	pCI	0.535	F2HS_3448	DEFSS
158.637	2.5	Incongruent	pII	0.866	F10HA_4379	DEFSS
162.185	4	Congruent	-	0.72	M14FA_7960	DEFSS
167.235	3	Congruent	-	1.047	F30FA_8552	DEFSS
171.279	3.5	Incongruent	pCI	0.864	M8HA_5828	DEFSS
175.829	2	Incongruent	pII	1.052	F35FS_8451	DEFSS
178.877	2.5	Congruent	-	0.768	M1HS_4301	DEFSS
182.428	2.5	Congruent	-	0.621	F37FA_9020	DEFSS
185.976	3.5	Incongruent	pCI	0.745	M11FS_6953	DEFSS
190.524	3	Incongruent	pII	0.682	F34HA_8219	DEFSS
194.573	4	Congruent	-	0.681	F10FS_4426	DEFSS
199.624	2	Congruent	-	0.676	M16HS_8633	DEFSS
202.677	3	Incongruent	pCI	0.8	M5HA_5140	DEFSS
206.728	2	Incongruent	pII	0.91	F12FA_5062	DEFSS
209.778	3.5	Congruent	-	0.758	F16HS_5924	DEFSS
