onset	duration	interstimulus_interval	trial_type	trial_type_2	target_condition	distractor	response	response_time	correct	identifier	database
0.055	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.947	1	M9FS_6104	NIMH-ChEFS
4.616	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.828	1	F13HA_5265	NIMH-ChEFS
9.668	1	2	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.81	1	M4HA_4877	NIMH-ChEFS
12.74	1	2.5	Incongruent	pII	FEAR	HAPPY	FEAR	0.79	1	F7FS_4016	NIMH-ChEFS
16.292	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.575	1	F30HS_8495	NIMH-ChEFS
20.365	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.598	1	M4FA_4941	NIMH-ChEFS
25.419	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	0.777	1	F32FA_8053	NIMH-ChEFS
28.467	1	3.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.947	1	M10HS_6767	NIMH-ChEFS
33.017	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.865	1	F23HA_7156	NIMH-ChEFS
36.567	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.718	1	F13FS_5292	NIMH-ChEFS
40.616	1	4	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.593	1	F4HS_3664	NIMH-ChEFS
45.663	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.828	1	M20HA_9192	NIMH-ChEFS
49.715	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.81	1	F18FA_6243	NIMH-ChEFS
53.29	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.838	1	M18HS_8848	NIMH-ChEFS
57.844	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	0.724	1	M14FS_7958	NIMH-ChEFS
60.891	1	4	Incongruent	pII	HAPPY	FEAR	HAPPY	0.766	1	F39HA_9433	NIMH-ChEFS
65.938	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.701	1	M10_FA_6823	NIMH-ChEFS
69.489	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.607	1	F12HS_5000	NIMH-ChEFS
74.037	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	0.673	1	M17FA_8799	NIMH-ChEFS
77.112	1	3	Incongruent	pII	FEAR	HAPPY	FEAR	0.815	1	F2FS_3470	NIMH-ChEFS
81.162	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.654	1	M14HA_7913	NIMH-ChEFS
84.725	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.615	1	F7HA_3985	NIMH-ChEFS
87.775	1	4	Incongruent	pCI	FEAR	HAPPY	FEAR	0.676	1	M2FS_4636	NIMH-ChEFS
92.826	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.599	1	F18HS_6186	NIMH-ChEFS
96.898	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.548	1	F39FA_9489	NIMH-ChEFS
101.449	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.834	1	M2HS_4493	NIMH-ChEFS
104.501	1	3	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.9	1	F1HA_3424	NIMH-ChEFS
108.576	1	3.5	Incongruent	pII	FEAR	HAPPY	FEAR	0.886	1	M6FA__5449	NIMH-ChEFS
113.124	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.855	1	M19FS_9117	NIMH-ChEFS
116.672	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.817	1	F35HS_8418	NIMH-ChEFS
121.724	1	3	Incongruent	pCI	FEAR	HAPPY	FEAR	1.286	1	F16FS_5978	NIMH-ChEFS
125.771	1	4	Incongruent	pII	FEAR	HAPPY	FEAR	0.897	1	M1FA_4336	NIMH-ChEFS
130.82	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.781	1	M9HA_6057	NIMH-ChEFS
135.396	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.675	1	F4FA_3712	NIMH-ChEFS
138.945	1	2	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.818	1	M15HS_8316	NIMH-ChEFS
