onset	duration	trial_type	trial_type_2	response_time	identifier	database
0.058	3.5	Congruent	-	1.514	M9FS_6104	DEFSS
4.627	4	Congruent	-	0.864	F13HA_5265	DEFSS
9.69	3	Incongruent	pCI	1.473	M4HA_4877	DEFSS
13.756	2.5	Incongruent	pII	1.125	F7FS_4016	DEFSS
17.336	2	Congruent	-	1.308	F30HS_8495	DEFSS
20.413	4	Congruent	-	1.078	M4FA_4941	DEFSS
25.469	2	Incongruent	pCI	1.251	F32FA_8053	DEFSS
28.546	2.5	Incongruent	pII	1.412	M10HS_6767	DEFSS
32.098	3	Congruent	-	2.454	F23HA_7156	DEFSS
36.177	3.5	Congruent	-	0.937	F13FS_5292	DEFSS
40.732	3.5	Incongruent	pCI	0.828	F4HS_3664	DEFSS
45.29	2.5	Incongruent	pII	1.74	M20HA_9192	DEFSS
48.867	2	Congruent	-	1.019	F18FA_6243	DEFSS
51.916	4	Congruent	-	0.735	M18HS_8848	DEFSS
56.994	3	Incongruent	pCI	1.012	M14FS_7958	DEFSS
61.045	2	Incongruent	pII	1.529	F39HA_9433	DEFSS
64.096	4	Congruent	-	0.797	M10_FA_6823	DEFSS
69.146	3.5	Congruent	-	0.791	F12HS_5000	DEFSS
73.699	2.5	Incongruent	pCI	0.714	M17FA_8799	DEFSS
77.253	3	Incongruent	pII	0.706	F2FS_3470	DEFSS
81.333	3.5	Congruent	-	0.975	M14HA_7913	DEFSS
85.888	4	Congruent	-	1.326	F7HA_3985	DEFSS
90.969	2	Incongruent	pCI	0.998	M2FS_4636	DEFSS
94.021	2.5	Incongruent	pII	1.935	F18HS_6186	DEFSS
97.574	3	Congruent	-	1.934	F39FA_9489	DEFSS
101.632	4	Congruent	-	2.078	M2HS_4493	DEFSS
106.692	2	Incongruent	pCI	2.675	F1HA_3424	DEFSS
109.763	3.5	Incongruent	pII	1.418	M6FA__5449	DEFSS
114.313	2.5	Congruent	-	1.646	M19FS_9117	DEFSS
117.892	3	Congruent	-	0.987	F35HS_8418	DEFSS
121.94	4	Incongruent	pCI	2.671	F16FS_5978	DEFSS
126.994	3	Incongruent	pII	2.6	M1FA_4336	DEFSS
131.071	2.5	Congruent	-	2.425	M9HA_6057	DEFSS
134.626	3.5	Congruent	-	1.261	F4FA_3712	DEFSS
139.177	2	Incongruent	pCI	2.594	M15HS_8316	DEFSS
142.227	4	Incongruent	pII	0.982	F21FS_6587	DEFSS
147.309	2.5	Congruent	-	0.839	F19HA_6311	DEFSS
150.865	3.5	Congruent	-	1.754	M10_4FS_6817	DEFSS
155.437	2	Incongruent	pCI	1.624	F2HS_3448	DEFSS
