onset	duration	trial_type	trial_type_2	response_time	identifier	database	target_condition	distractor
0.058	3.5	Congruent	n/a	1.016	M9FS_6104	NIMH-ChEFS	FEAR	FEAR
4.625	4	Congruent	n/a	0.689	F13HA_5265	NIMH-ChEFS	HAPPY	HAPPY
9.692	2	Incongruent	pCI	0.749	M4HA_4877	NIMH-ChEFS	HAPPY	FEAR
12.765	2.5	Incongruent	pII	0.738	F7FS_4016	NIMH-ChEFS	FEAR	HAPPY
16.319	3	Congruent	n/a	0.652	F30HS_8495	NIMH-ChEFS	HAPPY	HAPPY
20.365	4	Congruent	n/a	0.549	M4FA_4941	NIMH-ChEFS	FEAR	FEAR
25.418	2	Incongruent	pCI	0.754	F32FA_8053	NIMH-ChEFS	FEAR	HAPPY
28.476	3.5	Incongruent	pII	1.001	M10HS_6767	NIMH-ChEFS	HAPPY	FEAR
33.032	2.5	Congruent	n/a	0.642	F23HA_7156	NIMH-ChEFS	HAPPY	HAPPY
36.583	3	Congruent	n/a	0.741	F13FS_5292	NIMH-ChEFS	FEAR	FEAR
40.66	4	Incongruent	pCI	0.814	F4HS_3664	NIMH-ChEFS	HAPPY	FEAR
45.712	3	Incongruent	pII	0.932	M20HA_9192	NIMH-ChEFS	HAPPY	FEAR
49.765	2.5	Congruent	n/a	0.603	F18FA_6243	NIMH-ChEFS	FEAR	FEAR
53.342	3.5	Congruent	n/a	0.61	M18HS_8848	NIMH-ChEFS	HAPPY	HAPPY
57.901	2	Incongruent	pCI	0.784	M14FS_7958	NIMH-ChEFS	FEAR	HAPPY
60.951	4	Incongruent	pII	1.019	F39HA_9433	NIMH-ChEFS	HAPPY	FEAR
66.003	2.5	Congruent	n/a	0.828	M10_FA_6823	NIMH-ChEFS	FEAR	FEAR
69.583	3.5	Congruent	n/a	0.555	F12HS_5000	NIMH-ChEFS	HAPPY	HAPPY
74.135	2	Incongruent	pCI	0.837	M17FA_8799	NIMH-ChEFS	FEAR	HAPPY
77.193	3	Incongruent	pII	0.79	F2FS_3470	NIMH-ChEFS	FEAR	HAPPY
81.247	2.5	Congruent	n/a	0.684	M14HA_7913	NIMH-ChEFS	HAPPY	HAPPY
84.805	2	Congruent	n/a	0.784	F7HA_3985	NIMH-ChEFS	HAPPY	HAPPY
87.858	4	Incongruent	pCI	0.857	M2FS_4636	NIMH-ChEFS	FEAR	HAPPY
92.914	3	Incongruent	pII	0.827	F18HS_6186	NIMH-ChEFS	HAPPY	FEAR
96.992	3.5	Congruent	n/a	0.582	F39FA_9489	NIMH-ChEFS	FEAR	FEAR
101.549	2	Congruent	n/a	0.761	M2HS_4493	NIMH-ChEFS	HAPPY	HAPPY
104.606	3	Incongruent	pCI	0.738	F1HA_3424	NIMH-ChEFS	HAPPY	FEAR
108.685	3.5	Incongruent	pII	0.738	M6FA__5449	NIMH-ChEFS	FEAR	HAPPY
113.263	2.5	Congruent	n/a	0.576	M19FS_9117	NIMH-ChEFS	FEAR	FEAR
116.816	4	Congruent	n/a	0.585	F35HS_8418	NIMH-ChEFS	HAPPY	HAPPY
121.874	3	Incongruent	pCI	0.804	F16FS_5978	NIMH-ChEFS	FEAR	HAPPY
125.931	4	Incongruent	pII	1.052	M1FA_4336	NIMH-ChEFS	FEAR	HAPPY
130.984	3.5	Congruent	n/a	0.848	M9HA_6057	NIMH-ChEFS	HAPPY	HAPPY
135.536	2.5	Congruent	n/a	0.519	F4FA_3712	NIMH-ChEFS	FEAR	FEAR
139.086	2	Incongruent	pCI	0.61	M15HS_8316	NIMH-ChEFS	HAPPY	FEAR
142.137	2	Incongruent	pII	0.567	F21FS_6587	NIMH-ChEFS	FEAR	HAPPY
145.214	4	Congruent	n/a	1.057	F19HA_6311	NIMH-ChEFS	HAPPY	HAPPY
150.262	3.5	Congruent	n/a	0.696	M10_4FS_6817	NIMH-ChEFS	FEAR	FEAR
154.814	3	Incongruent	pCI	0.609	F2HS_3448	NIMH-ChEFS	HAPPY	FEAR
158.892	2.5	Incongruent	pII	0.761	F10HA_4379	NIMH-ChEFS	HAPPY	FEAR
162.466	4	Congruent	n/a	0.614	M14FA_7960	NIMH-ChEFS	FEAR	FEAR
167.546	3	Congruent	n/a	0.697	F30FA_8552	NIMH-ChEFS	FEAR	FEAR
171.601	3.5	Incongruent	pCI	0.523	M8HA_5828	NIMH-ChEFS	HAPPY	FEAR
176.181	2	Incongruent	pII	0.61	F35FS_8451	NIMH-ChEFS	FEAR	HAPPY
179.234	2.5	Congruent	n/a	1.032	M1HS_4301	NIMH-ChEFS	HAPPY	HAPPY
182.785	2.5	Congruent	n/a	0.59	F37FA_9020	NIMH-ChEFS	FEAR	FEAR
186.362	3.5	Incongruent	pCI	0.463	M11FS_6953	NIMH-ChEFS	FEAR	HAPPY
190.913	3	Incongruent	pII	0.918	F34HA_8219	NIMH-ChEFS	HAPPY	FEAR
194.964	4	Congruent	n/a	0.645	F10FS_4426	NIMH-ChEFS	FEAR	FEAR
200.021	2	Congruent	n/a	0.746	M16HS_8633	NIMH-ChEFS	HAPPY	HAPPY
203.066	3	Incongruent	pCI	0.993	M5HA_5140	NIMH-ChEFS	HAPPY	FEAR
207.119	2	Incongruent	pII	0.687	F12FA_5062	NIMH-ChEFS	FEAR	HAPPY
210.171	3.5	Congruent	n/a	0.71	F16HS_5924	NIMH-ChEFS	HAPPY	HAPPY
214.723	4	Congruent	n/a	0.798	M2FA_4644	NIMH-ChEFS	FEAR	FEAR
219.781	2.5	Incongruent	pCI	0.653	M16FS_8676	NIMH-ChEFS	FEAR	HAPPY
223.334	3.5	Incongruent	pII	0.897	F6HA_3882	NIMH-ChEFS	HAPPY	FEAR
227.884	4	Congruent	n/a	0.877	F19FS_6344	NIMH-ChEFS	FEAR	FEAR
232.959	2.5	Congruent	n/a	0.949	M8FA_5885	NIMH-ChEFS	FEAR	FEAR
236.512	2	Incongruent	pCI	0.61	F32HS_7996	NIMH-ChEFS	HAPPY	FEAR
239.566	3	Incongruent	pII	0.849	M19HA_9066	NIMH-ChEFS	HAPPY	FEAR
243.642	2.5	Congruent	n/a	0.61	M3FS_4775	NIMH-ChEFS	FEAR	FEAR
247.221	4	Congruent	n/a	0.702	F3HA_3545	NIMH-ChEFS	HAPPY	HAPPY
252.275	3	Incongruent	pCI	0.87	M9FA_6121	NIMH-ChEFS	FEAR	HAPPY
256.33	2	Incongruent	pII	0.903	F14FA_5638	NIMH-ChEFS	FEAR	HAPPY
259.385	3.5	Congruent	n/a	0.582	M6HS_5354	NIMH-ChEFS	HAPPY	HAPPY
263.937	2.5	Congruent	n/a	1.069	F21HS_6544	NIMH-ChEFS	HAPPY	HAPPY
267.49	2	Incongruent	pCI	0.692	M17FS_8783	NIMH-ChEFS	FEAR	HAPPY
270.541	3	Incongruent	pII	0.789	F37HA_8965	NIMH-ChEFS	HAPPY	FEAR
274.602	3.5	Congruent	n/a	0.577	M12HA_7030	NIMH-ChEFS	HAPPY	HAPPY
279.157	4	Congruent	n/a	0.59	F31FS_7861	NIMH-ChEFS	FEAR	FEAR
284.233	2	Incongruent	pCI	0.706	F3FA_3605	NIMH-ChEFS	FEAR	HAPPY
287.285	4	Incongruent	pII	0.689	M3HS_4695	NIMH-ChEFS	HAPPY	FEAR
292.337	3	Congruent	n/a	0.592	M11FA_6969	NIMH-ChEFS	FEAR	FEAR
296.39	3.5	Congruent	n/a	0.755	F14HS_5590	NIMH-ChEFS	HAPPY	HAPPY
300.944	2.5	Incongruent	pCI	0.748	M12FS_7070	NIMH-ChEFS	FEAR	HAPPY
304.503	3.5	Incongruent	pII	0.714	F6FS_3906	NIMH-ChEFS	FEAR	HAPPY
309.059	2	Congruent	n/a	0.788	M7HA_5500	NIMH-ChEFS	HAPPY	HAPPY
312.112	4	Congruent	n/a	0.599	F23FA_7228	NIMH-ChEFS	FEAR	FEAR
317.162	3	Incongruent	pCI	0.683	F31HA_8583	NIMH-ChEFS	HAPPY	FEAR
321.238	2.5	Incongruent	pII	0.828	M11HS_6885	NIMH-ChEFS	HAPPY	FEAR
324.791	2.5	Congruent	n/a	0.638	M3FA_4789	NIMH-ChEFS	FEAR	FEAR
328.34	2	Congruent	n/a	0.902	F34FS_8257	NIMH-ChEFS	FEAR	FEAR
331.408	3	Incongruent	pCI	0.732	M17HS_8732	NIMH-ChEFS	HAPPY	FEAR
335.459	3.5	Incongruent	pII	0.708	F7FA_4040	NIMH-ChEFS	FEAR	HAPPY
340.013	4	Congruent	n/a	0.598	F10HS_4372	NIMH-ChEFS	HAPPY	HAPPY
345.088	2	Congruent	n/a	0.579	M1FS_4325	NIMH-ChEFS	FEAR	FEAR
348.145	3.5	Incongruent	pCI	1.016	M6_1FA_5445	NIMH-ChEFS	FEAR	HAPPY
352.69	4	Incongruent	pII	0.684	F35HA_8422	NIMH-ChEFS	HAPPY	FEAR
357.766	3	Congruent	n/a	0.732	M16HA_8638	NIMH-ChEFS	HAPPY	HAPPY
361.847	2.5	Congruent	n/a	0.532	F12FS_5036	NIMH-ChEFS	FEAR	FEAR
365.401	2	Incongruent	pCI	0.934	F1HS_3423	NIMH-ChEFS	HAPPY	FEAR
368.49	3.5	Incongruent	pII	0.931	M7FA_5539	NIMH-ChEFS	FEAR	HAPPY
373.05	3	Congruent	n/a	0.869	F34FA_8267	NIMH-ChEFS	FEAR	FEAR
377.103	2.5	Congruent	n/a	0.63	M8HS_5817	NIMH-ChEFS	HAPPY	HAPPY
380.657	4	Incongruent	pCI	0.68	F23FS_7205	NIMH-ChEFS	FEAR	HAPPY
385.736	2.5	Incongruent	pII	0.983	M1HA_4302	NIMH-ChEFS	HAPPY	FEAR
389.312	3	Congruent	n/a	0.75	M5FS_5188	NIMH-ChEFS	FEAR	FEAR
393.364	2	Congruent	n/a	0.939	F18HA_6193	NIMH-ChEFS	HAPPY	HAPPY
396.416	4	Incongruent	pCI	-0.099	M20FA_9277	NIMH-ChEFS	FEAR	HAPPY
401.463	3.5	Incongruent	pII	0.724	F10FA_4434	NIMH-ChEFS	FEAR	HAPPY
406.009	3.5	Congruent	n/a	0.809	F7HS_3986	NIMH-ChEFS	HAPPY	HAPPY
410.587	2.5	Congruent	n/a	0.781	M12HS_7022	NIMH-ChEFS	HAPPY	HAPPY
414.152	3	Incongruent	pCI	0.662	M7FS_5530	NIMH-ChEFS	FEAR	HAPPY
418.209	2	Incongruent	pII	1.161	F21HA_6550	NIMH-ChEFS	HAPPY	FEAR
421.289	4	Congruent	n/a	0.805	M17HA_8742	NIMH-ChEFS	HAPPY	HAPPY
426.342	3	Congruent	n/a	0.59	F39FS_9475	NIMH-ChEFS	FEAR	FEAR
430.393	3.5	Incongruent	pCI	0.738	M11HA_6890	NIMH-ChEFS	HAPPY	FEAR
434.973	4	Incongruent	pII	0.772	F19FA_6353	NIMH-ChEFS	FEAR	HAPPY
440.03	2.5	Congruent	n/a	0.818	M15FA_8374	NIMH-ChEFS	FEAR	FEAR
443.585	2	Congruent	n/a	0.629	F13HS_5255	NIMH-ChEFS	HAPPY	HAPPY
446.666	2.5	Incongruent	pCI	0.844	M20HS_9191	NIMH-ChEFS	HAPPY	FEAR
450.219	3	Incongruent	pII	0.81	M6FS_5422	NIMH-ChEFS	FEAR	HAPPY
454.299	3.5	Congruent	n/a	0.523	F16HA_5934	NIMH-ChEFS	HAPPY	HAPPY
458.85	2	Congruent	n/a	0.925	M18FA_8913	NIMH-ChEFS	FEAR	FEAR
461.902	4	Incongruent	pCI	0.758	F39HS_9426	NIMH-ChEFS	HAPPY	FEAR
466.983	4	Incongruent	pII	1.253	F3FS_3596	NIMH-ChEFS	FEAR	HAPPY
472.036	3	Congruent	n/a	1.002	M8FS_5869	NIMH-ChEFS	FEAR	FEAR
476.089	2	Congruent	n/a	0.657	M4HS_4862	NIMH-ChEFS	HAPPY	HAPPY
479.168	3.5	Incongruent	pCI	0.75	F2HA_3451	NIMH-ChEFS	HAPPY	FEAR
483.745	2.5	Incongruent	pII	0.742	M10HA_6772	NIMH-ChEFS	HAPPY	FEAR
487.3	4	Congruent	n/a	0.595	F18FS_6229	NIMH-ChEFS	FEAR	FEAR
492.351	3.5	Congruent	n/a	0.877	F31HS_8581	NIMH-ChEFS	HAPPY	HAPPY
496.904	2	Incongruent	pCI	0.675	M12FA_7082	NIMH-ChEFS	FEAR	HAPPY
499.957	3	Incongruent	pII	0.639	F12HA_5004	NIMH-ChEFS	HAPPY	FEAR
504.008	2.5	Congruent	n/a	0.738	F6FA_3922	NIMH-ChEFS	FEAR	FEAR
507.564	2.5	Congruent	n/a	0.603	M5HS_5134	NIMH-ChEFS	HAPPY	HAPPY
511.115	2	Incongruent	pCI	1.2	M14HS_7912	NIMH-ChEFS	HAPPY	FEAR
514.17	3	Incongruent	pII	0.693	F32FS_8041	NIMH-ChEFS	FEAR	HAPPY
518.224	3.5	Congruent	n/a	0.743	M19FA_9129	NIMH-ChEFS	FEAR	FEAR
522.777	4	Congruent	n/a	0.558	F34HS_8209	NIMH-ChEFS	HAPPY	HAPPY
527.83	4	Incongruent	pCI	0.684	M18HA_8854	NIMH-ChEFS	HAPPY	FEAR
532.911	2.5	Incongruent	pII	0.992	F16FA_5992	NIMH-ChEFS	FEAR	HAPPY
536.461	2	Congruent	n/a	0.866	F37FS_9007	NIMH-ChEFS	FEAR	FEAR
539.517	3	Congruent	n/a	0.629	M3HA_4707	NIMH-ChEFS	HAPPY	HAPPY
543.566	3.5	Incongruent	pCI	0.946	M15FS_8364	NIMH-ChEFS	FEAR	HAPPY
