onset	duration	trial_type	trial_type_2	response_time	identifier	database
0.068	3.5	Congruent	-	0.957	M9FS_6104	DEFSS
4.628	4	Congruent	-	0.381	F13HA_5265	DEFSS
9.686	2	Incongruent	pCI	0.757	M4HA_4877	DEFSS
12.757	2.5	Incongruent	pII	0.768	F7FS_4016	DEFSS
16.334	3	Congruent	-	0.707	F30HS_8495	DEFSS
20.384	4	Congruent	-	0.484	M4FA_4941	DEFSS
25.435	2	Incongruent	pCI	0.717	F32FA_8053	DEFSS
28.482	3.5	Incongruent	pII	0.717	M10HS_6767	DEFSS
33.033	2.5	Congruent	-	0.821	F23HA_7156	DEFSS
36.582	3	Congruent	-	0.64	F13FS_5292	DEFSS
40.631	4	Incongruent	pCI	0.643	F4HS_3664	DEFSS
45.681	3	Incongruent	pII	0.729	M20HA_9192	DEFSS
49.726	2.5	Congruent	-	0.576	F18FA_6243	DEFSS
53.277	3.5	Congruent	-	0.532	M18HS_8848	DEFSS
57.827	2	Incongruent	pCI	0.563	M14FS_7958	DEFSS
60.876	4	Incongruent	pII	0.892	F39HA_9433	DEFSS
65.926	2.5	Congruent	-	0.848	M10_FA_6823	DEFSS
69.502	3.5	Congruent	-	0.666	F12HS_5000	DEFSS
74.052	2	Incongruent	pCI	1.92	M17FA_8799	DEFSS
77.102	3	Incongruent	pII	0.576	F2FS_3470	DEFSS
81.177	2.5	Congruent	-	0.62	M14HA_7913	DEFSS
84.728	2	Congruent	-	0.623	F7HA_3985	DEFSS
87.779	4	Incongruent	pCI	0.877	M2FS_4636	DEFSS
92.827	3	Incongruent	pII	0.922	F18HS_6186	DEFSS
96.899	3.5	Congruent	-	0.634	F39FA_9489	DEFSS
101.448	2	Congruent	-	0.607	M2HS_4493	DEFSS
104.498	3	Incongruent	pCI	1.071	F1HA_3424	DEFSS
108.548	3.5	Incongruent	pII	0.825	M6FA__5449	DEFSS
113.097	2.5	Congruent	-	0.748	M19FS_9117	DEFSS
116.65	4	Congruent	-	0.401	F35HS_8418	DEFSS
121.699	3	Incongruent	pCI	0.801	F16FS_5978	DEFSS
125.749	4	Incongruent	pII	0.884	M1FA_4336	DEFSS
130.804	3.5	Congruent	-	0.746	M9HA_6057	DEFSS
135.355	2.5	Congruent	-	0.613	F4FA_3712	DEFSS
138.904	2	Incongruent	pCI	1.081	M15HS_8316	DEFSS
141.954	2	Incongruent	pII	0.698	F21FS_6587	DEFSS
144.999	4	Congruent	-	0.565	F19HA_6311	DEFSS
150.046	3.5	Congruent	-	1.216	M10_4FS_6817	DEFSS
154.596	3	Incongruent	pCI	0.454	F2HS_3448	DEFSS
158.646	2.5	Incongruent	pII	0.775	F10HA_4379	DEFSS
162.194	4	Congruent	-	0.71	M14FA_7960	DEFSS
