onset	duration	interstimulus_interval	trial_type	trial_type_2	target_condition	distractor	response	response_time	correct	identifier	database
0.055	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	1.14	1	M9FS_6104	NIMH-ChEFS
3.634	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.542	1	F13HA_5265	NIMH-ChEFS
8.71	1	2	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.878	1	M4HA_4877	NIMH-ChEFS
11.794	1	3	Incongruent	pII	FEAR	HAPPY	FEAR	0.493	1	F7FS_4016	NIMH-ChEFS
15.863	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.948	1	F30HS_8495	NIMH-ChEFS
20.432	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.901	1	M4FA_4941	NIMH-ChEFS
25.003	1	2.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.924	1	F32FA_8053	NIMH-ChEFS
28.572	1	4	Incongruent	pII	HAPPY	FEAR	HAPPY	1.269	1	M10HS_6767	NIMH-ChEFS
33.639	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.829	1	F23HA_7156	NIMH-ChEFS
37.706	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.659	1	F13FS_5292	NIMH-ChEFS
40.772	1	2.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.943	1	F4HS_3664	NIMH-ChEFS
44.34	1	3.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.699	1	M20HA_9192	NIMH-ChEFS
48.908	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.743	1	F18FA_6243	NIMH-ChEFS
52.978	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.673	1	M18HS_8848	NIMH-ChEFS
58.046	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	1.099	1	M14FS_7958	NIMH-ChEFS
61.113	1	3.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.987	1	F39HA_9433	NIMH-ChEFS
65.68	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.797	1	M10_FA_6823	NIMH-ChEFS
69.247	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	1.056	1	F12HS_5000	NIMH-ChEFS
72.317	1	3	Incongruent	pCI	FEAR	HAPPY	FEAR	0.894	1	M17FA_8799	NIMH-ChEFS
76.388	1	4	Incongruent	pII	FEAR	HAPPY	HAPPY	1.16	0	F2FS_3470	NIMH-ChEFS
81.456	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.647	1	M14HA_7913	NIMH-ChEFS
85.003	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	1.268	1	F7HA_3985	NIMH-ChEFS
90.05	1	3.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.926	1	M2FS_4636	NIMH-ChEFS
94.594	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.938	1	F18HS_6186	NIMH-ChEFS
98.662	1	2	Congruent	n/a	FEAR	FEAR	FEAR	1.012	1	F39FA_9489	NIMH-ChEFS
101.73	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	1.811	1	M2HS_4493	NIMH-ChEFS
105.277	1	2	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.832	1	F1HA_3424	NIMH-ChEFS
108.345	1	4	Incongruent	pII	FEAR	HAPPY	FEAR	1.494	1	M6FA__5449	NIMH-ChEFS
113.411	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.92	1	M19FS_9117	NIMH-ChEFS
117.978	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.613	1	F35HS_8418	NIMH-ChEFS
122.047	1	2	Incongruent	pCI	FEAR	HAPPY	HAPPY	1.435	0	F16FS_5978	NIMH-ChEFS
125.095	1	3	Incongruent	pII	FEAR	HAPPY	HAPPY	0.855	0	M1FA_4336	NIMH-ChEFS
129.166	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.722	1	M9HA_6057	NIMH-ChEFS
134.208	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.706	1	F4FA_3712	NIMH-ChEFS
138.774	1	2.5	Incongruent	pCI	HAPPY	FEAR	FEAR	1.197	0	M15HS_8316	NIMH-ChEFS
142.321	1	3	Incongruent	pII	FEAR	HAPPY	FEAR	0.887	1	F21FS_6587	NIMH-ChEFS
146.391	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.84	1	F19HA_6311	NIMH-ChEFS
151.462	1	2	Congruent	n/a	FEAR	FEAR	FEAR	1.18	1	M10_4FS_6817	NIMH-ChEFS
154.53	1	2.5	Incongruent	pCI	HAPPY	FEAR	FEAR	1.168	0	F2HS_3448	NIMH-ChEFS
158.097	1	3.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.729	1	F10HA_4379	NIMH-ChEFS
162.666	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.675	1	M14FA_7960	NIMH-ChEFS
166.233	1	3.5	Congruent	n/a	FEAR	FEAR	HAPPY	0.79	0	F30FA_8552	NIMH-ChEFS
170.8	1	2	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.877	1	M8HA_5828	NIMH-ChEFS
173.868	1	4	Incongruent	pII	FEAR	HAPPY	FEAR	0.769	1	F35FS_8451	NIMH-ChEFS
178.938	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.83	1	M1HS_4301	NIMH-ChEFS
183.006	1	2	Congruent	n/a	FEAR	FEAR	FEAR	1.226	1	F37FA_9020	NIMH-ChEFS
186.073	1	3	Incongruent	pCI	FEAR	HAPPY	FEAR	2.166	1	M11FS_6953	NIMH-ChEFS
190.143	1	2.5	Incongruent	pII	HAPPY	FEAR	HAPPY	1.76	1	F34HA_8219	NIMH-ChEFS
193.713	1	4	Congruent	n/a	FEAR	FEAR	FEAR	1.162	1	F10FS_4426	NIMH-ChEFS
198.781	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.759	1	M16HS_8633	NIMH-ChEFS
203.325	1	3.5	Incongruent	pCI	HAPPY	FEAR	FEAR	1.088	0	M5HA_5140	NIMH-ChEFS
207.892	1	3	Incongruent	pII	FEAR	HAPPY	FEAR	1.325	1	F12FA_5062	NIMH-ChEFS
211.961	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	1.319	1	F16HS_5924	NIMH-ChEFS
215.508	1	4	Congruent	n/a	FEAR	FEAR	FEAR	1.015	1	M2FA_4644	NIMH-ChEFS
220.576	1	2	Incongruent	pCI	FEAR	HAPPY	HAPPY	0.889	0	M16FS_8676	NIMH-ChEFS
223.641	1	3.5	Incongruent	pII	HAPPY	FEAR	FEAR	1.44	0	F6HA_3882	NIMH-ChEFS
228.207	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	1.111	1	F19FS_6344	NIMH-ChEFS
231.776	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.811	1	M8FA_5885	NIMH-ChEFS
