onset	duration	trial_type	trial_type_2	response_time	identifier	database
0.068	3.5	Congruent	-	0.821	M9FS_6104	DEFSS
4.627	2	Congruent	-	0.601	F13HA_5265	DEFSS
7.684	2.5	Incongruent	pCI	0.791	M4HA_4877	DEFSS
11.248	3	Incongruent	pII	0.716	F7FS_4016	DEFSS
15.323	4	Congruent	-	0.588	F30HS_8495	DEFSS
20.392	3	Congruent	-	0.841	M4FA_4941	DEFSS
24.463	4	Incongruent	pCI	0.878	F32FA_8053	DEFSS
29.532	3.5	Incongruent	pII	0.777	M10HS_6767	DEFSS
34.074	2.5	Congruent	-	0.709	F23HA_7156	DEFSS
37.62	2	Congruent	-	0.664	F13FS_5292	DEFSS
40.667	2	Incongruent	pCI	0.709	F4HS_3664	DEFSS
43.714	3	Incongruent	pII	1.062	M20HA_9192	DEFSS
47.763	4	Congruent	-	0.766	F18FA_6243	DEFSS
52.813	2.5	Congruent	-	0.64	M18HS_8848	DEFSS
56.382	3.5	Incongruent	pCI	0.921	M14FS_7958	DEFSS
60.932	3	Incongruent	pII	0.821	F39HA_9433	DEFSS
65.001	4	Congruent	-	0.764	M10_FA_6823	DEFSS
70.073	2	Congruent	-	0.671	F12HS_5000	DEFSS
73.121	2.5	Incongruent	pCI	0.675	M17FA_8799	DEFSS
76.669	3.5	Incongruent	pII	0.657	F2FS_3470	DEFSS
81.237	2	Congruent	-	0.711	M14HA_7913	DEFSS
84.285	3	Congruent	-	0.774	F7HA_3985	DEFSS
88.359	2.5	Incongruent	pCI	0.689	M2FS_4636	DEFSS
91.906	4	Incongruent	pII	0.662	F18HS_6186	DEFSS
96.978	3.5	Congruent	-	0.833	F39FA_9489	DEFSS
101.549	4	Congruent	-	0.789	M2HS_4493	DEFSS
106.589	2	Incongruent	pCI	0.768	F1HA_3424	DEFSS
109.635	2.5	Incongruent	pII	0.769	M6FA__5449	DEFSS
113.207	3.5	Congruent	-	0.721	M19FS_9117	DEFSS
117.755	3	Congruent	-	0.589	F35HS_8418	DEFSS
121.805	3.5	Incongruent	pCI	0.846	F16FS_5978	DEFSS
126.376	4	Incongruent	pII	0.657	M1FA_4336	DEFSS
131.447	2.5	Congruent	-	0.659	M9HA_6057	DEFSS
135.018	2	Congruent	-	0.843	F4FA_3712	DEFSS
138.065	3	Incongruent	pCI	0.855	M15HS_8316	DEFSS
142.137	2.5	Incongruent	pII	0.749	F21FS_6587	DEFSS
145.685	3.5	Congruent	-	0.671	F19HA_6311	DEFSS
150.253	2	Congruent	-	0.724	M10_4FS_6817	DEFSS
153.296	4	Incongruent	pCI	0.812	F2HS_3448	DEFSS
158.345	3	Incongruent	pII	0.796	F10HA_4379	DEFSS
162.393	2	Congruent	-	0.822	M14FA_7960	DEFSS
165.459	4	Congruent	-	0.971	F30FA_8552	DEFSS
170.529	3.5	Incongruent	pCI	0.794	M8HA_5828	DEFSS
175.099	3	Incongruent	pII	0.586	F35FS_8451	DEFSS
179.168	2.5	Congruent	-	0.724	M1HS_4301	DEFSS
182.715	3	Congruent	-	0.671	F37FA_9020	DEFSS
186.764	2	Incongruent	pCI	0.519	M11FS_6953	DEFSS
189.813	3.5	Incongruent	pII	0.928	F34HA_8219	DEFSS
194.383	4	Congruent	-	0.775	F10FS_4426	DEFSS
199.455	2.5	Congruent	-	0.728	M16HS_8633	DEFSS
203.003	2	Incongruent	pCI	0.865	M5HA_5140	DEFSS
206.073	4	Incongruent	pII	0.866	F12FA_5062	DEFSS
211.121	3.5	Congruent	-	0.58	F16HS_5924	DEFSS
215.666	3	Congruent	-	0.712	M2FA_4644	DEFSS
219.714	2.5	Incongruent	pCI	1.287	M16FS_8676	DEFSS
223.284	3.5	Incongruent	pII	0.778	F6HA_3882	DEFSS
227.831	2	Congruent	-	0.76	F19FS_6344	DEFSS
230.877	2.5	Congruent	-	1.117	M8FA_5885	DEFSS
234.446	4	Incongruent	pCI	0.625	F32HS_7996	DEFSS
239.493	3	Incongruent	pII	0.683	M19HA_9066	DEFSS
243.563	4	Congruent	-	1.255	M3FS_4775	DEFSS
248.633	2	Congruent	-	0.631	F3HA_3545	DEFSS
