onset	duration	interstimulus_interval	trial_type	trial_type_2	target_condition	distractor	response	response_time	correct	identifier	database
0.054	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	1.096	1	M9FS_6104	NIMH-ChEFS
3.634	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.572	1	F13HA_5265	NIMH-ChEFS
7.688	1	3.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.856	1	M4HA_4877	NIMH-ChEFS
12.27	1	2	Incongruent	pII	FEAR	HAPPY	FEAR	0.533	1	F7FS_4016	NIMH-ChEFS
15.342	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.605	1	F30HS_8495	NIMH-ChEFS
20.411	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.768	1	M4FA_4941	NIMH-ChEFS
25.481	1	3.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.831	1	F32FA_8053	NIMH-ChEFS
30.025	1	2	Incongruent	pII	HAPPY	FEAR	HAPPY	0.708	1	M10HS_6767	NIMH-ChEFS
33.074	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.687	1	F23HA_7156	NIMH-ChEFS
36.619	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.871	1	F13FS_5292	NIMH-ChEFS
40.666	1	3	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.634	1	F4HS_3664	NIMH-ChEFS
44.713	1	2	Incongruent	pII	HAPPY	FEAR	HAPPY	1.005	1	M20HA_9192	NIMH-ChEFS
47.755	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.837	1	F18FA_6243	NIMH-ChEFS
51.323	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.673	1	M18HS_8848	NIMH-ChEFS
56.37	1	3.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.726	1	M14FS_7958	NIMH-ChEFS
60.915	1	4	Incongruent	pII	HAPPY	FEAR	HAPPY	0.862	1	F39HA_9433	NIMH-ChEFS
