onset	duration	trial_type	trial_type_2	response_time	identifier	database
0.069	3.5	Congruent	-	1.032	M9FS_6104	DEFSS
4.647	2	Congruent	-	0.684	F13HA_5265	DEFSS
7.7	2.5	Incongruent	pCI	0.904	M4HA_4877	DEFSS
11.285	3	Incongruent	pII	0.725	F7FS_4016	DEFSS
15.357	4	Congruent	-	0.865	F30HS_8495	DEFSS
20.425	3	Congruent	-	0.734	M4FA_4941	DEFSS
24.47	4	Incongruent	pCI	1.165	F32FA_8053	DEFSS
29.537	3.5	Incongruent	pII	1.786	M10HS_6767	DEFSS
34.105	2.5	Congruent	-	1.006	F23HA_7156	DEFSS
37.674	2	Congruent	-	1.214	F13FS_5292	DEFSS
40.717	2	Incongruent	pCI	1.074	F4HS_3664	DEFSS
43.786	3	Incongruent	pII	1.334	M20HA_9192	DEFSS
47.854	4	Congruent	-	2.019	F18FA_6243	DEFSS
52.926	2.5	Congruent	-	1.188	M18HS_8848	DEFSS
56.492	3.5	Incongruent	pCI	1.361	M14FS_7958	DEFSS
61.061	3	Incongruent	pII	1.102	F39HA_9433	DEFSS
65.13	4	Congruent	-	1.335	M10_FA_6823	DEFSS
70.196	2	Congruent	-	0.52	F12HS_5000	DEFSS
73.268	2.5	Incongruent	pCI	0.925	M17FA_8799	DEFSS
76.838	3.5	Incongruent	pII	1.41	F2FS_3470	DEFSS
81.408	2	Congruent	-	0.773	M14HA_7913	DEFSS
84.477	3	Congruent	-	1.709	F7HA_3985	DEFSS
88.545	2.5	Incongruent	pCI	1.693	M2FS_4636	DEFSS
92.114	4	Incongruent	pII	1.202	F18HS_6186	DEFSS
97.181	3.5	Congruent	-	0.919	F39FA_9489	DEFSS
101.749	4	Congruent	-	0.902	M2HS_4493	DEFSS
106.816	2	Incongruent	pCI	1.042	F1HA_3424	DEFSS
109.884	2.5	Incongruent	pII	0.866	M6FA__5449	DEFSS
113.429	3.5	Congruent	-	0.883	M19FS_9117	DEFSS
118.001	3	Congruent	-	0.946	F35HS_8418	DEFSS
122.07	3.5	Incongruent	pCI	4.201	F16FS_5978	DEFSS
126.639	4	Incongruent	pII	1.156	M1FA_4336	DEFSS
131.709	2.5	Congruent	-	0.769	M9HA_6057	DEFSS
135.277	2	Congruent	-	2.847	F4FA_3712	DEFSS
138.345	3	Incongruent	pCI	0.991	M15HS_8316	DEFSS
142.415	2.5	Incongruent	pII	2.482	F21FS_6587	DEFSS
145.961	3.5	Congruent	-	0.842	F19HA_6311	DEFSS
150.528	2	Congruent	-	1.177	M10_4FS_6817	DEFSS
153.598	4	Incongruent	pCI	0.767	F2HS_3448	DEFSS
158.644	3	Incongruent	pII	1.129	F10HA_4379	DEFSS
162.712	2	Congruent	-	1.235	M14FA_7960	DEFSS
165.779	4	Congruent	-	1.55	F30FA_8552	DEFSS
170.848	3.5	Incongruent	pCI	1.371	M8HA_5828	DEFSS
175.415	3	Incongruent	pII	0.917	F35FS_8451	DEFSS
179.481	2.5	Congruent	-	1.211	M1HS_4301	DEFSS
183.049	3	Congruent	-	0.916	F37FA_9020	DEFSS
187.12	2	Incongruent	pCI	-0.099	M11FS_6953	DEFSS
