onset	duration	interstimulus_interval	trial_type	trial_type_2	target_condition	distractor	response	response_time	correct	identifier	database
0.057	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	1.351	1	M9FS_6104	NIMH-ChEFS
4.617	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.65	1	F13HA_5265	NIMH-ChEFS
9.682	1	3	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.917	1	M4HA_4877	NIMH-ChEFS
13.745	1	2.5	Incongruent	pII	FEAR	HAPPY	FEAR	0.455	1	F7FS_4016	NIMH-ChEFS
17.298	1	2	Congruent	n/a	HAPPY	HAPPY	FEAR	0.88	0	F30HS_8495	NIMH-ChEFS
20.35	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.89	1	M4FA_4941	NIMH-ChEFS
25.397	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	1.382	1	F32FA_8053	NIMH-ChEFS
28.473	1	2.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.997	1	M10HS_6767	NIMH-ChEFS
32.03	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	1.214	1	F23HA_7156	NIMH-ChEFS
36.081	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.636	1	F13FS_5292	NIMH-ChEFS
40.632	1	3.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.897	1	F4HS_3664	NIMH-ChEFS
45.181	1	2.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.796	1	M20HA_9192	NIMH-ChEFS
48.734	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.788	1	F18FA_6243	NIMH-ChEFS
51.781	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.642	1	M18HS_8848	NIMH-ChEFS
56.835	1	3	Incongruent	pCI	FEAR	HAPPY	FEAR	0.748	1	M14FS_7958	NIMH-ChEFS
60.884	1	2	Incongruent	pII	HAPPY	FEAR	HAPPY	0.677	1	F39HA_9433	NIMH-ChEFS
63.934	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.621	1	M10_FA_6823	NIMH-ChEFS
68.987	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.689	1	F12HS_5000	NIMH-ChEFS
73.54	1	2.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.873	1	M17FA_8799	NIMH-ChEFS
77.098	1	3	Incongruent	pII	FEAR	HAPPY	FEAR	0.874	1	F2FS_3470	NIMH-ChEFS
81.146	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.613	1	M14HA_7913	NIMH-ChEFS
85.697	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.651	1	F7HA_3985	NIMH-ChEFS
90.749	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	0.861	1	M2FS_4636	NIMH-ChEFS
93.8	1	2.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.838	1	F18HS_6186	NIMH-ChEFS
97.348	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.773	1	F39FA_9489	NIMH-ChEFS
101.402	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.615	1	M2HS_4493	NIMH-ChEFS
106.452	1	2	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.644	1	F1HA_3424	NIMH-ChEFS
109.502	1	3.5	Incongruent	pII	FEAR	HAPPY	FEAR	0.724	1	M6FA__5449	NIMH-ChEFS
114.051	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.768	1	M19FS_9117	NIMH-ChEFS
117.603	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.615	1	F35HS_8418	NIMH-ChEFS
121.655	1	4	Incongruent	pCI	FEAR	HAPPY	FEAR	0.842	1	F16FS_5978	NIMH-ChEFS
126.708	1	3	Incongruent	pII	FEAR	HAPPY	FEAR	0.829	1	M1FA_4336	NIMH-ChEFS
130.759	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.661	1	M9HA_6057	NIMH-ChEFS
134.31	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.551	1	F4FA_3712	NIMH-ChEFS
138.859	1	2	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.628	1	M15HS_8316	NIMH-ChEFS
141.91	1	4	Incongruent	pII	FEAR	HAPPY	FEAR	0.674	1	F21FS_6587	NIMH-ChEFS
146.963	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.677	1	F19HA_6311	NIMH-ChEFS
150.512	1	3.5	Congruent	n/a	FEAR	FEAR	HAPPY	0.693	0	M10_4FS_6817	NIMH-ChEFS
155.062	1	2	Incongruent	pCI	HAPPY	FEAR	FEAR	2.786	0	F2HS_3448	NIMH-ChEFS
158.134	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	1.496	1	F10HA_4379	NIMH-ChEFS
162.184	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.728	1	M14FA_7960	NIMH-ChEFS
165.733	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.829	1	F30FA_8552	NIMH-ChEFS
168.788	1	4	Incongruent	pCI	HAPPY	FEAR	HAPPY	1.069	1	M8HA_5828	NIMH-ChEFS
173.843	1	3	Incongruent	pII	FEAR	HAPPY	FEAR	1.229	1	F35FS_8451	NIMH-ChEFS
177.899	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.823	1	M1HS_4301	NIMH-ChEFS
182.452	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.736	1	F37FA_9020	NIMH-ChEFS
185.499	1	3	Incongruent	pCI	FEAR	HAPPY	FEAR	0.682	1	M11FS_6953	NIMH-ChEFS
189.551	1	3.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.931	1	F34HA_8219	NIMH-ChEFS
194.105	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.631	1	F10FS_4426	NIMH-ChEFS
197.656	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.647	1	M16HS_8633	NIMH-ChEFS
202.709	1	3	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.777	1	M5HA_5140	NIMH-ChEFS
206.765	1	4	Incongruent	pII	FEAR	HAPPY	FEAR	0.882	1	F12FA_5062	NIMH-ChEFS
211.822	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.604	1	F16HS_5924	NIMH-ChEFS
216.372	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.549	1	M2FA_4644	NIMH-ChEFS
219.922	1	2	Incongruent	pCI	FEAR	HAPPY	FEAR	0.926	1	M16FS_8676	NIMH-ChEFS
222.973	1	2	Incongruent	pII	HAPPY	FEAR	HAPPY	0.782	1	F6HA_3882	NIMH-ChEFS
226.022	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.656	1	F19FS_6344	NIMH-ChEFS
231.068	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	1.038	1	M8FA_5885	NIMH-ChEFS
235.621	1	3	Incongruent	pCI	HAPPY	FEAR	HAPPY	1.198	1	F32HS_7996	NIMH-ChEFS
239.67	1	2.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.997	1	M19HA_9066	NIMH-ChEFS
243.219	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.682	1	M3FS_4775	NIMH-ChEFS
248.274	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.837	1	F3HA_3545	NIMH-ChEFS
252.324	1	3.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.682	1	M9FA_6121	NIMH-ChEFS
256.883	1	2	Incongruent	pII	FEAR	HAPPY	FEAR	0.7	1	F14FA_5638	NIMH-ChEFS
259.948	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.669	1	M6HS_5354	NIMH-ChEFS
263.5	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.801	1	F21HS_6544	NIMH-ChEFS
