onset	duration	interstimulus_interval	trial_type	trial_type_2	target_condition	distractor	response	response_time	correct	identifier	database
0.064	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.655	1	M9FS_6104	NIMH-ChEFS
4.151	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.993	1	F13HA_5265	NIMH-ChEFS
9.239	1	2.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.665	1	M4HA_4877	NIMH-ChEFS
12.829	1	2	Incongruent	pII	FEAR	HAPPY	FEAR	0.77	1	F7FS_4016	NIMH-ChEFS
15.906	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.568	1	F30HS_8495	NIMH-ChEFS
20.486	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.763	1	M4FA_4941	NIMH-ChEFS
23.564	1	3.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.91	1	F32FA_8053	NIMH-ChEFS
28.139	1	3	Incongruent	pII	HAPPY	FEAR	FEAR	0.86	0	M10HS_6767	NIMH-ChEFS
32.214	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.53	1	F23HA_7156	NIMH-ChEFS
37.288	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.786	1	F13FS_5292	NIMH-ChEFS
40.863	1	3.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.591	1	F4HS_3664	NIMH-ChEFS
45.44	1	2	Incongruent	pII	HAPPY	FEAR	HAPPY	0.689	1	M20HA_9192	NIMH-ChEFS
48.512	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	1.127	1	F18FA_6243	NIMH-ChEFS
52.085	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.569	1	M18HS_8848	NIMH-ChEFS
56.158	1	4	Incongruent	pCI	FEAR	HAPPY	HAPPY	0.676	0	M14FS_7958	NIMH-ChEFS
61.228	1	3	Incongruent	pII	HAPPY	FEAR	FEAR	0.551	0	F39HA_9433	NIMH-ChEFS
65.299	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.715	1	M10_FA_6823	NIMH-ChEFS
70.371	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.518	1	F12HS_5000	NIMH-ChEFS
74.943	1	2.5	Incongruent	pCI	FEAR	HAPPY	no_resp	-0.099	0	M17FA_8799	NIMH-ChEFS
78.488	1	2	Incongruent	pII	FEAR	HAPPY	FEAR	0.731	1	F2FS_3470	NIMH-ChEFS
81.562	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.717	1	M14HA_7913	NIMH-ChEFS
84.634	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.63	1	F7HA_3985	NIMH-ChEFS
88.711	1	4	Incongruent	pCI	FEAR	HAPPY	HAPPY	0.578	0	M2FS_4636	NIMH-ChEFS
93.784	1	2.5	Incongruent	pII	HAPPY	FEAR	FEAR	0.85	0	F18HS_6186	NIMH-ChEFS
97.327	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.612	1	F39FA_9489	NIMH-ChEFS
101.902	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.482	1	M2HS_4493	NIMH-ChEFS
105.976	1	4	Incongruent	pCI	HAPPY	FEAR	FEAR	0.998	0	F1HA_3424	NIMH-ChEFS
111.051	1	2	Incongruent	pII	FEAR	HAPPY	FEAR	0.883	1	M6FA__5449	NIMH-ChEFS
114.124	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.635	1	M19FS_9117	NIMH-ChEFS
117.699	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.65	1	F35HS_8418	NIMH-ChEFS
