onset	duration	trial_type	trial_type_2	response_time	identifier	database
0.06	3.5	Congruent	-	1.093	M9FS_6104	DEFSS
4.653	4	Congruent	-	0.785	F13HA_5265	DEFSS
9.74	2	Incongruent	pCI	0.703	M4HA_4877	DEFSS
12.837	2.5	Incongruent	pII	0.706	F7FS_4016	DEFSS
16.419	3	Congruent	-	0.609	F30HS_8495	DEFSS
20.495	4	Congruent	-	0.653	M4FA_4941	DEFSS
25.573	2	Incongruent	pCI	0.66	F32FA_8053	DEFSS
28.649	3.5	Incongruent	pII	0.684	M10HS_6767	DEFSS
33.206	2.5	Congruent	-	0.572	F23HA_7156	DEFSS
36.784	3	Congruent	-	0.589	F13FS_5292	DEFSS
40.866	4	Incongruent	pCI	0.547	F4HS_3664	DEFSS
45.943	3	Incongruent	pII	0.67	M20HA_9192	DEFSS
50.02	2.5	Congruent	-	0.673	F18FA_6243	DEFSS
53.598	3.5	Congruent	-	0.625	M18HS_8848	DEFSS
58.176	2	Incongruent	pCI	0.967	M14FS_7958	DEFSS
61.256	4	Incongruent	pII	1.042	F39HA_9433	DEFSS
66.333	2.5	Congruent	-	0.46	M10_FA_6823	DEFSS
69.912	3.5	Congruent	-	0.566	F12HS_5000	DEFSS
74.489	2	Incongruent	pCI	0.609	M17FA_8799	DEFSS
77.565	3	Incongruent	pII	0.668	F2FS_3470	DEFSS
81.642	2.5	Congruent	-	0.556	M14HA_7913	DEFSS
85.224	2	Congruent	-	0.609	F7HA_3985	DEFSS
88.301	4	Incongruent	pCI	0.737	M2FS_4636	DEFSS
93.365	3	Incongruent	pII	0.683	F18HS_6186	DEFSS
97.445	3.5	Congruent	-	0.793	F39FA_9489	DEFSS
102.028	2	Congruent	-	0.68	M2HS_4493	DEFSS
105.106	3	Incongruent	pCI	0.737	F1HA_3424	DEFSS
109.187	3.5	Incongruent	pII	1.241	M6FA__5449	DEFSS
113.767	2.5	Congruent	-	0.901	M19FS_9117	DEFSS
117.318	4	Congruent	-	0.56	F35HS_8418	DEFSS
122.396	3	Incongruent	pCI	0.817	F16FS_5978	DEFSS
126.481	4	Incongruent	pII	0.767	M1FA_4336	DEFSS
131.563	3.5	Congruent	-	0.605	M9HA_6057	DEFSS
136.141	2.5	Congruent	-	0.637	F4FA_3712	DEFSS
139.687	2	Incongruent	pCI	0.686	M15HS_8316	DEFSS
142.768	2	Incongruent	pII	0.665	F21FS_6587	DEFSS
145.846	4	Congruent	-	0.737	F19HA_6311	DEFSS
150.926	3.5	Congruent	-	0.662	M10_4FS_6817	DEFSS
155.502	3	Incongruent	pCI	1.066	F2HS_3448	DEFSS
159.582	2.5	Incongruent	pII	0.686	F10HA_4379	DEFSS
