onset	duration	trial_type	trial_type_2	response_time	identifier	database
0.059	2	Congruent	-	-0.099	M9FS_6104	DEFSS
3.116	2.5	Congruent	-	0.573	F13HA_5265	DEFSS
6.694	3	Incongruent	pCI	0.874	M4HA_4877	DEFSS
10.783	3.5	Incongruent	pII	0.681	F7FS_4016	DEFSS
15.357	4	Congruent	-	0.607	F30HS_8495	DEFSS
20.43	2.5	Congruent	-	0.544	M4FA_4941	DEFSS
24.008	3.5	Incongruent	pCI	0.666	F32FA_8053	DEFSS
28.58	4	Incongruent	pII	0.669	M10HS_6767	DEFSS
33.648	2	Congruent	-	0.686	F23HA_7156	DEFSS
36.719	3	Congruent	-	0.69	F13FS_5292	DEFSS
40.788	2.5	Incongruent	pCI	0.681	F4HS_3664	DEFSS
44.356	2	Incongruent	pII	0.628	M20HA_9192	DEFSS
47.428	3	Congruent	-	0.651	F18FA_6243	DEFSS
51.504	3.5	Congruent	-	0.565	M18HS_8848	DEFSS
56.076	4	Incongruent	pCI	0.793	M14FS_7958	DEFSS
61.148	3.5	Incongruent	pII	0.696	F39HA_9433	DEFSS
65.718	4	Congruent	-	0.646	M10_FA_6823	DEFSS
70.791	2	Congruent	-	0.563	F12HS_5000	DEFSS
73.867	3	Incongruent	pCI	0.687	M17FA_8799	DEFSS
77.936	2.5	Incongruent	pII	0.708	F2FS_3470	DEFSS
81.481	4	Congruent	-	0.593	M14HA_7913	DEFSS
86.557	2.5	Congruent	-	0.792	F7HA_3985	DEFSS
90.131	3	Incongruent	pCI	0.768	M2FS_4636	DEFSS
94.207	3.5	Incongruent	pII	0.617	F18HS_6186	DEFSS
98.777	2	Congruent	-	0.787	F39FA_9489	DEFSS
101.845	4	Congruent	-	0.624	M2HS_4493	DEFSS
106.914	3.5	Incongruent	pCI	0.77	F1HA_3424	DEFSS
111.489	3	Incongruent	pII	0.645	M6FA__5449	DEFSS
115.559	2	Congruent	-	0.8	M19FS_9117	DEFSS
118.633	2.5	Congruent	-	0.886	F35HS_8418	DEFSS
122.208	2	Incongruent	pCI	0.811	F16FS_5978	DEFSS
125.281	3	Incongruent	pII	1.163	M1FA_4336	DEFSS
129.353	3.5	Congruent	-	0.676	M9HA_6057	DEFSS
133.924	4	Congruent	-	1.045	F4FA_3712	DEFSS
138.987	2.5	Incongruent	pCI	0.502	M15HS_8316	DEFSS
142.559	2	Incongruent	pII	0.605	F21FS_6587	DEFSS
145.634	3.5	Congruent	-	0.56	F19HA_6311	DEFSS
150.206	4	Congruent	-	0.768	M10_4FS_6817	DEFSS
155.275	2.5	Incongruent	pCI	0.474	F2HS_3448	DEFSS
158.848	3	Incongruent	pII	0.571	F10HA_4379	DEFSS
162.924	2	Congruent	-	0.615	M14FA_7960	DEFSS
165.997	3	Congruent	-	0.637	F30FA_8552	DEFSS
170.07	3.5	Incongruent	pCI	0.679	M8HA_5828	DEFSS
174.646	2.5	Incongruent	pII	0.683	F35FS_8451	DEFSS
178.214	4	Congruent	-	0.575	M1HS_4301	DEFSS
183.288	3	Congruent	-	0.566	F37FA_9020	DEFSS
187.363	4	Incongruent	pCI	1.206	M11FS_6953	DEFSS
192.437	2	Incongruent	pII	0.737	F34HA_8219	DEFSS
195.506	3.5	Congruent	-	0.618	F10FS_4426	DEFSS
200.076	2.5	Congruent	-	0.558	M16HS_8633	DEFSS
203.65	3.5	Incongruent	pCI	0.689	M5HA_5140	DEFSS
208.222	2.5	Incongruent	pII	0.872	F12FA_5062	DEFSS
211.765	4	Congruent	-	0.689	F16HS_5924	DEFSS
216.83	2	Congruent	-	0.619	M2FA_4644	DEFSS
