onset	duration	interstimulus_interval	trial_type	trial_type_2	target_condition	distractor	response	response_time	correct	identifier	database
0.067	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	1.032	1	M9FS_6104	NIMH-ChEFS
4.661	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.548	1	F13HA_5265	NIMH-ChEFS
8.245	1	2	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.893	1	M4HA_4877	NIMH-ChEFS
11.351	1	4	Incongruent	pII	FEAR	HAPPY	FEAR	0.513	1	F7FS_4016	NIMH-ChEFS
16.437	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.617	1	F30HS_8495	NIMH-ChEFS
20.514	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.605	1	M4FA_4941	NIMH-ChEFS
23.592	1	4	Incongruent	pCI	FEAR	HAPPY	FEAR	0.932	1	F32FA_8053	NIMH-ChEFS
28.669	1	3.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.925	1	M10HS_6767	NIMH-ChEFS
33.249	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.855	1	F23HA_7156	NIMH-ChEFS
36.795	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.699	1	F13FS_5292	NIMH-ChEFS
40.872	1	3.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.832	1	F4HS_3664	NIMH-ChEFS
45.448	1	4	Incongruent	pII	HAPPY	FEAR	HAPPY	0.831	1	M20HA_9192	NIMH-ChEFS
50.528	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.656	1	F18FA_6243	NIMH-ChEFS
53.606	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.848	1	M18HS_8848	NIMH-ChEFS
57.188	1	3	Incongruent	pCI	FEAR	HAPPY	FEAR	0.846	1	M14FS_7958	NIMH-ChEFS
61.269	1	4	Incongruent	pII	HAPPY	FEAR	HAPPY	0.855	1	F39HA_9433	NIMH-ChEFS
66.349	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.855	1	M10_FA_6823	NIMH-ChEFS
69.431	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.608	1	F12HS_5000	NIMH-ChEFS
74.008	1	2.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.801	1	M17FA_8799	NIMH-ChEFS
77.589	1	3	Incongruent	pII	FEAR	HAPPY	FEAR	0.99	1	F2FS_3470	NIMH-ChEFS
81.67	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.599	1	M14HA_7913	NIMH-ChEFS
86.749	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.805	1	F7HA_3985	NIMH-ChEFS
90.826	1	2.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.613	1	M2FS_4636	NIMH-ChEFS
94.402	1	3.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.512	1	F18HS_6186	NIMH-ChEFS
98.98	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.599	1	F39FA_9489	NIMH-ChEFS
102.05	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.589	1	M2HS_4493	NIMH-ChEFS
107.126	1	2.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.738	1	F1HA_3424	NIMH-ChEFS
110.709	1	3.5	Incongruent	pII	FEAR	HAPPY	FEAR	1.05	1	M6FA__5449	NIMH-ChEFS
115.285	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.684	1	M19FS_9117	NIMH-ChEFS
118.363	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.561	1	F35HS_8418	NIMH-ChEFS
122.442	1	2.5	Incongruent	pCI	FEAR	HAPPY	FEAR	0.662	1	F16FS_5978	NIMH-ChEFS
126.02	1	2	Incongruent	pII	FEAR	HAPPY	HAPPY	0.929	0	M1FA_4336	NIMH-ChEFS
129.101	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.693	1	M9HA_6057	NIMH-ChEFS
134.179	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.755	1	F4FA_3712	NIMH-ChEFS
138.255	1	3.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	1.029	1	M15HS_8316	NIMH-ChEFS
