onset	duration	trial_type	trial_type_2	response_time	identifier	database
0.055	4	Congruent	-	0.929	M9FS_6104	DEFSS
5.135	2.5	Congruent	-	0.632	F13HA_5265	DEFSS
8.709	3.5	Incongruent	pCI	0.635	M4HA_4877	DEFSS
13.273	2	Incongruent	pII	0.681	F7FS_4016	DEFSS
16.323	3	Congruent	-	0.555	F30HS_8495	DEFSS
20.393	2.5	Congruent	-	0.712	M4FA_4941	DEFSS
23.939	2	Incongruent	pCI	0.684	F32FA_8053	DEFSS
27.009	4	Incongruent	pII	0.782	M10HS_6767	DEFSS
32.077	3	Congruent	-	0.633	F23HA_7156	DEFSS
36.145	3.5	Congruent	-	0.598	F13FS_5292	DEFSS
40.715	2.5	Incongruent	pCI	0.568	F4HS_3664	DEFSS
44.259	3	Incongruent	pII	0.512	M20HA_9192	DEFSS
48.302	3.5	Congruent	-	0.622	F18FA_6243	DEFSS
52.873	2	Congruent	-	0.461	M18HS_8848	DEFSS
55.943	4	Incongruent	pCI	0.625	M14FS_7958	DEFSS
61.013	4	Incongruent	pII	0.462	F39HA_9433	DEFSS
66.08	3.5	Congruent	-	0.496	M10_FA_6823	DEFSS
70.648	2	Congruent	-	0.513	F12HS_5000	DEFSS
73.692	2.5	Incongruent	pCI	0.64	M17FA_8799	DEFSS
77.262	3	Incongruent	pII	0.508	F2FS_3470	DEFSS
81.308	3	Congruent	-	0.505	M14HA_7913	DEFSS
85.356	2	Congruent	-	0.757	F7HA_3985	DEFSS
88.404	2.5	Incongruent	pCI	0.666	M2FS_4636	DEFSS
91.949	4	Incongruent	pII	0.497	F18HS_6186	DEFSS
97.016	3.5	Congruent	-	0.56	F39FA_9489	DEFSS
101.587	4	Congruent	-	0.61	M2HS_4493	DEFSS
106.655	3	Incongruent	pCI	0.563	F1HA_3424	DEFSS
110.724	3.5	Incongruent	pII	0.691	M6FA__5449	DEFSS
115.288	2.5	Congruent	-	0.621	M19FS_9117	DEFSS
118.857	2	Congruent	-	0.385	F35HS_8418	DEFSS
121.927	4	Incongruent	pCI	0.663	F16FS_5978	DEFSS
126.996	3	Incongruent	pII	0.479	M1FA_4336	DEFSS
131.044	2	Congruent	-	0.653	M9HA_6057	DEFSS
134.094	2.5	Congruent	-	0.527	F4FA_3712	DEFSS
137.662	3.5	Incongruent	pCI	0.724	M15HS_8316	DEFSS
142.231	2	Incongruent	pII	0.791	F21FS_6587	DEFSS
145.299	3.5	Congruent	-	0.704	F19HA_6311	DEFSS
149.864	4	Congruent	-	0.706	M10_4FS_6817	DEFSS
154.933	3	Incongruent	pCI	0.659	F2HS_3448	DEFSS
159.004	2.5	Incongruent	pII	0.58	F10HA_4379	DEFSS
162.575	3.5	Congruent	-	0.574	M14FA_7960	DEFSS
167.144	4	Congruent	-	0.643	F30FA_8552	DEFSS
172.187	2.5	Incongruent	pCI	0.718	M8HA_5828	DEFSS
175.759	2	Incongruent	pII	0.812	F35FS_8451	DEFSS
178.807	3	Congruent	-	0.595	M1HS_4301	DEFSS
182.873	3.5	Congruent	-	0.556	F37FA_9020	DEFSS
187.42	2	Incongruent	pCI	0.891	M11FS_6953	DEFSS
190.465	4	Incongruent	pII	1.138	F34HA_8219	DEFSS
195.533	3	Congruent	-	0.609	F10FS_4426	DEFSS
199.605	2.5	Congruent	-	0.46	M16HS_8633	DEFSS
203.176	3.5	Incongruent	pCI	0.734	M5HA_5140	DEFSS
207.744	2	Incongruent	pII	0.721	F12FA_5062	DEFSS
210.812	2.5	Congruent	-	0.853	F16HS_5924	DEFSS
214.353	4	Congruent	-	0.611	M2FA_4644	DEFSS
219.408	3	Incongruent	pCI	0.651	M16FS_8676	DEFSS
223.482	3	Incongruent	pII	0.981	F6HA_3882	DEFSS
227.528	2.5	Congruent	-	0.582	F19FS_6344	DEFSS
231.096	4	Congruent	-	0.428	M8FA_5885	DEFSS
236.163	3.5	Incongruent	pCI	0.662	F32HS_7996	DEFSS
240.732	2	Incongruent	pII	0.584	M19HA_9066	DEFSS
243.801	4	Congruent	-	0.671	M3FS_4775	DEFSS
248.846	3	Congruent	-	0.68	F3HA_3545	DEFSS
