onset	duration	trial_type	trial_type_2	response_time	identifier	database
0.071	3.5	Congruent	-	0.638	M9FS_6104	DEFSS
4.632	2	Congruent	-	0.442	F13HA_5265	DEFSS
7.684	2.5	Incongruent	pCI	1.015	M4HA_4877	DEFSS
11.28	3	Incongruent	pII	0.769	F7FS_4016	DEFSS
15.359	4	Congruent	-	0.585	F30HS_8495	DEFSS
20.436	3	Congruent	-	0.453	M4FA_4941	DEFSS
24.515	4	Incongruent	pCI	0.649	F32FA_8053	DEFSS
29.592	3.5	Incongruent	pII	0.732	M10HS_6767	DEFSS
34.169	2.5	Congruent	-	0.59	F23HA_7156	DEFSS
37.746	2	Congruent	-	0.778	F13FS_5292	DEFSS
40.824	2	Incongruent	pCI	0.655	F4HS_3664	DEFSS
43.897	3	Incongruent	pII	0.722	M20HA_9192	DEFSS
47.976	4	Congruent	-	0.753	F18FA_6243	DEFSS
53.054	2.5	Congruent	-	0.815	M18HS_8848	DEFSS
56.633	3.5	Incongruent	pCI	0.881	M14FS_7958	DEFSS
61.21	3	Incongruent	pII	0.654	F39HA_9433	DEFSS
65.285	4	Congruent	-	0.939	M10_FA_6823	DEFSS
70.363	2	Congruent	-	0.641	F12HS_5000	DEFSS
73.437	2.5	Incongruent	pCI	0.757	M17FA_8799	DEFSS
77.016	3.5	Incongruent	pII	0.893	F2FS_3470	DEFSS
81.595	2	Congruent	-	0.794	M14HA_7913	DEFSS
84.672	3	Congruent	-	1.249	F7HA_3985	DEFSS
88.749	2.5	Incongruent	pCI	0.922	M2FS_4636	DEFSS
92.33	4	Incongruent	pII	1.421	F18HS_6186	DEFSS
97.406	3.5	Congruent	-	0.625	F39FA_9489	DEFSS
101.984	4	Congruent	-	0.577	M2HS_4493	DEFSS
107.063	2	Incongruent	pCI	0.773	F1HA_3424	DEFSS
110.138	2.5	Incongruent	pII	0.973	M6FA__5449	DEFSS
113.709	3.5	Congruent	-	0.652	M19FS_9117	DEFSS
118.286	3	Congruent	-	0.6	F35HS_8418	DEFSS
122.365	3.5	Incongruent	pCI	0.856	F16FS_5978	DEFSS
126.926	4	Incongruent	pII	0.885	M1FA_4336	DEFSS
131.974	2.5	Congruent	-	0.562	M9HA_6057	DEFSS
135.551	2	Congruent	-	0.54	F4FA_3712	DEFSS
138.624	3	Incongruent	pCI	0.762	M15HS_8316	DEFSS
142.698	2.5	Incongruent	pII	0.733	F21FS_6587	DEFSS
146.277	3.5	Congruent	-	0.624	F19HA_6311	DEFSS
150.855	2	Congruent	-	0.676	M10_4FS_6817	DEFSS
153.932	4	Incongruent	pCI	0.664	F2HS_3448	DEFSS
159.007	3	Incongruent	pII	0.829	F10HA_4379	DEFSS
163.085	2	Congruent	-	0.916	M14FA_7960	DEFSS
166.159	4	Congruent	-	0.797	F30FA_8552	DEFSS
171.231	3.5	Incongruent	pCI	1.055	M8HA_5828	DEFSS
175.809	3	Incongruent	pII	0.847	F35FS_8451	DEFSS
179.888	2.5	Congruent	-	0.723	M1HS_4301	DEFSS
183.462	3	Congruent	-	0.714	F37FA_9020	DEFSS
187.538	2	Incongruent	pCI	0.778	M11FS_6953	DEFSS
190.616	3.5	Incongruent	pII	0.9	F34HA_8219	DEFSS
195.194	4	Congruent	-	0.732	F10FS_4426	DEFSS
200.268	2.5	Congruent	-	0.723	M16HS_8633	DEFSS
203.845	2	Incongruent	pCI	1.691	M5HA_5140	DEFSS
206.922	4	Incongruent	pII	1.464	F12FA_5062	DEFSS
212.002	3.5	Congruent	-	0.679	F16HS_5924	DEFSS
216.578	3	Congruent	-	1.013	M2FA_4644	DEFSS
220.647	2.5	Incongruent	pCI	0.699	M16FS_8676	DEFSS
224.225	3.5	Incongruent	pII	0.596	F6HA_3882	DEFSS
228.803	2	Congruent	-	0.688	F19FS_6344	DEFSS
231.878	2.5	Congruent	-	0.843	M8FA_5885	DEFSS
235.454	4	Incongruent	pCI	0.702	F32HS_7996	DEFSS
240.533	3	Incongruent	pII	0.973	M19HA_9066	DEFSS
244.609	4	Congruent	-	1.517	M3FS_4775	DEFSS
249.682	2	Congruent	-	0.629	F3HA_3545	DEFSS
252.76	2.5	Incongruent	pCI	0.831	M9FA_6121	DEFSS
256.341	3.5	Incongruent	pII	1	F14FA_5638	DEFSS
260.92	3	Congruent	-	0.741	M6HS_5354	DEFSS
264.997	2	Congruent	-	0.684	F21HS_6544	DEFSS
268.075	3.5	Incongruent	pCI	1.776	M17FS_8783	DEFSS
272.65	3	Incongruent	pII	0.631	F37HA_8965	DEFSS
276.729	2.5	Congruent	-	1.357	M12HA_7030	DEFSS
280.31	4	Congruent	-	0.881	F31FS_7861	DEFSS
285.389	4	Incongruent	pCI	0.732	F3FA_3605	DEFSS
290.468	3	Incongruent	pII	1.193	M3HS_4695	DEFSS
294.543	3.5	Congruent	-	1.053	M11FA_6969	DEFSS
299.122	2.5	Congruent	-	0.934	F14HS_5590	DEFSS
302.7	2	Incongruent	pCI	0.836	M12FS_7070	DEFSS
305.782	2	Incongruent	pII	0.794	F6FS_3906	DEFSS
308.859	3	Congruent	-	0.782	M7HA_5500	DEFSS
312.941	2.5	Congruent	-	1.215	F23FA_7228	DEFSS
316.523	4	Incongruent	pCI	0.993	F31HA_8583	DEFSS
321.601	3.5	Incongruent	pII	0.83	M11HS_6885	DEFSS
326.181	3.5	Congruent	-	0.74	M3FA_4789	DEFSS
330.758	2	Congruent	-	1.003	F34FS_8257	DEFSS
333.837	2.5	Incongruent	pCI	1.414	M17HS_8732	DEFSS
337.385	3	Incongruent	pII	0.891	F7FA_4040	DEFSS
341.463	4	Congruent	-	0.838	F10HS_4372	DEFSS
