onset	duration	interstimulus_interval	trial_type	trial_type_2	target_condition	distractor	response	response_time	correct	identifier	database
0.054	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.665	1	M9FS_6104	NIMH-ChEFS
4.134	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.392	1	F13HA_5265	NIMH-ChEFS
9.21	1	2.5	Incongruent	pCI	HAPPY	FEAR	FEAR	0.719	0	M4HA_4877	NIMH-ChEFS
12.796	1	2	Incongruent	pII	FEAR	HAPPY	FEAR	0.444	1	F7FS_4016	NIMH-ChEFS
15.871	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.6	1	F30HS_8495	NIMH-ChEFS
20.434	1	2	Congruent	n/a	FEAR	FEAR	FEAR	0.736	1	M4FA_4941	NIMH-ChEFS
23.502	1	3.5	Incongruent	pCI	FEAR	HAPPY	FEAR	1	1	F32FA_8053	NIMH-ChEFS
28.047	1	3	Incongruent	pII	HAPPY	FEAR	FEAR	0.744	0	M10HS_6767	NIMH-ChEFS
32.097	1	4	Congruent	n/a	HAPPY	HAPPY	HAPPY	1.19	1	F23HA_7156	NIMH-ChEFS
37.163	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.572	1	F13FS_5292	NIMH-ChEFS
40.731	1	3.5	Incongruent	pCI	HAPPY	FEAR	FEAR	0.706	0	F4HS_3664	NIMH-ChEFS
45.3	1	2	Incongruent	pII	HAPPY	FEAR	HAPPY	0.689	1	M20HA_9192	NIMH-ChEFS
48.367	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.521	1	F18FA_6243	NIMH-ChEFS
51.934	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.573	1	M18HS_8848	NIMH-ChEFS
56.002	1	4	Incongruent	pCI	FEAR	HAPPY	FEAR	0.637	1	M14FS_7958	NIMH-ChEFS
61.067	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.706	1	F39HA_9433	NIMH-ChEFS
65.114	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.727	1	M10_FA_6823	NIMH-ChEFS
70.185	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.703	1	F12HS_5000	NIMH-ChEFS
74.753	1	2.5	Incongruent	pCI	FEAR	HAPPY	HAPPY	0.633	0	M17FA_8799	NIMH-ChEFS
78.323	1	2	Incongruent	pII	FEAR	HAPPY	HAPPY	0.889	0	F2FS_3470	NIMH-ChEFS
81.392	1	2	Congruent	n/a	HAPPY	HAPPY	FEAR	0.713	0	M14HA_7913	NIMH-ChEFS
84.458	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	1.037	1	F7HA_3985	NIMH-ChEFS
88.528	1	4	Incongruent	pCI	FEAR	HAPPY	FEAR	0.603	1	M2FS_4636	NIMH-ChEFS
93.596	1	2.5	Incongruent	pII	HAPPY	FEAR	HAPPY	0.652	1	F18HS_6186	NIMH-ChEFS
97.141	1	3.5	Congruent	n/a	FEAR	FEAR	FEAR	0.61	1	F39FA_9489	NIMH-ChEFS
101.709	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.613	1	M2HS_4493	NIMH-ChEFS
105.778	1	4	Incongruent	pCI	HAPPY	FEAR	FEAR	0.741	0	F1HA_3424	NIMH-ChEFS
110.846	1	2	Incongruent	pII	FEAR	HAPPY	FEAR	0.514	1	M6FA__5449	NIMH-ChEFS
113.913	1	2.5	Congruent	n/a	FEAR	FEAR	HAPPY	0.667	0	M19FS_9117	NIMH-ChEFS
117.482	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.729	1	F35HS_8418	NIMH-ChEFS
122.051	1	2	Incongruent	pCI	FEAR	HAPPY	HAPPY	0.757	0	F16FS_5978	NIMH-ChEFS
125.104	1	3	Incongruent	pII	FEAR	HAPPY	FEAR	0.682	1	M1FA_4336	NIMH-ChEFS
129.152	1	2.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.371	1	M9HA_6057	NIMH-ChEFS
132.721	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.356	1	F4FA_3712	NIMH-ChEFS
137.787	1	3.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.415	1	M15HS_8316	NIMH-ChEFS
142.355	1	4	Incongruent	pII	FEAR	HAPPY	FEAR	0.591	1	F21FS_6587	NIMH-ChEFS
147.424	1	2	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.657	1	F19HA_6311	NIMH-ChEFS
150.491	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.739	1	M10_4FS_6817	NIMH-ChEFS
154.057	1	3.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.53	1	F2HS_3448	NIMH-ChEFS
158.624	1	3	Incongruent	pII	HAPPY	FEAR	HAPPY	0.645	1	F10HA_4379	NIMH-ChEFS
162.692	1	3.5	Congruent	n/a	FEAR	FEAR	HAPPY	0.657	0	M14FA_7960	NIMH-ChEFS
167.259	1	4	Congruent	n/a	FEAR	FEAR	HAPPY	0.771	0	F30FA_8552	NIMH-ChEFS
172.326	1	2.5	Incongruent	pCI	HAPPY	FEAR	HAPPY	0.677	1	M8HA_5828	NIMH-ChEFS
175.892	1	2	Incongruent	pII	FEAR	HAPPY	FEAR	0.6	1	F35FS_8451	NIMH-ChEFS
178.938	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.843	1	M1HS_4301	NIMH-ChEFS
183.007	1	2.5	Congruent	n/a	FEAR	FEAR	FEAR	0.583	1	F37FA_9020	NIMH-ChEFS
186.578	1	3.5	Incongruent	pCI	FEAR	HAPPY	HAPPY	0.627	0	M11FS_6953	NIMH-ChEFS
191.12	1	2	Incongruent	pII	HAPPY	FEAR	HAPPY	0.716	1	F34HA_8219	NIMH-ChEFS
194.167	1	4	Congruent	n/a	FEAR	FEAR	FEAR	0.872	1	F10FS_4426	NIMH-ChEFS
199.234	1	3	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.762	1	M16HS_8633	NIMH-ChEFS
203.299	1	2	Incongruent	pCI	HAPPY	FEAR	FEAR	0.888	0	M5HA_5140	NIMH-ChEFS
206.368	1	4	Incongruent	pII	FEAR	HAPPY	HAPPY	0.714	0	F12FA_5062	NIMH-ChEFS
211.439	1	3.5	Congruent	n/a	HAPPY	HAPPY	HAPPY	0.725	1	F16HS_5924	NIMH-ChEFS
215.986	1	3	Congruent	n/a	FEAR	FEAR	FEAR	0.573	1	M2FA_4644	NIMH-ChEFS
220.054	1	2.5	Incongruent	pCI	FEAR	HAPPY	HAPPY	0.643	0	M16FS_8676	NIMH-ChEFS
