onset	duration	trial_type	trial_type_2	response_time	identifier	database
0.054	3.5	Congruent	-	1.048	M9FS_6104	DEFSS
4.634	2	Congruent	-	0.7	F13HA_5265	DEFSS
7.708	2.5	Incongruent	pCI	0.796	M4HA_4877	DEFSS
11.294	3	Incongruent	pII	0.665	F7FS_4016	DEFSS
15.367	4	Congruent	-	0.59	F30HS_8495	DEFSS
20.434	3	Congruent	-	0.66	M4FA_4941	DEFSS
24.479	4	Incongruent	pCI	0.796	F32FA_8053	DEFSS
29.526	3.5	Incongruent	pII	0.491	M10HS_6767	DEFSS
34.097	2.5	Congruent	-	0.739	F23HA_7156	DEFSS
37.666	2	Congruent	-	0.793	F13FS_5292	DEFSS
40.732	2	Incongruent	pCI	0.633	F4HS_3664	DEFSS
43.799	3	Incongruent	pII	0.985	M20HA_9192	DEFSS
47.844	4	Congruent	-	0.652	F18FA_6243	DEFSS
52.891	2.5	Congruent	-	0.521	M18HS_8848	DEFSS
56.458	3.5	Incongruent	pCI	0.651	M14FS_7958	DEFSS
61.007	3	Incongruent	pII	0.575	F39HA_9433	DEFSS
65.051	4	Congruent	-	0.54	M10_FA_6823	DEFSS
70.117	2	Congruent	-	0.575	F12HS_5000	DEFSS
73.159	2.5	Incongruent	pCI	0.89	M17FA_8799	DEFSS
76.731	3.5	Incongruent	pII	0.907	F2FS_3470	DEFSS
81.303	2	Congruent	-	0.621	M14HA_7913	DEFSS
84.373	3	Congruent	-	0.765	F7HA_3985	DEFSS
88.44	2.5	Incongruent	pCI	0.494	M2FS_4636	DEFSS
92.007	4	Incongruent	pII	0.696	F18HS_6186	DEFSS
97.075	3.5	Congruent	-	0.703	F39FA_9489	DEFSS
101.643	4	Congruent	-	0.584	M2HS_4493	DEFSS
106.71	2	Incongruent	pCI	0.638	F1HA_3424	DEFSS
109.759	2.5	Incongruent	pII	0.773	M6FA__5449	DEFSS
113.304	3.5	Congruent	-	1.148	M19FS_9117	DEFSS
117.876	3	Congruent	-	0.533	F35HS_8418	DEFSS
121.918	3.5	Incongruent	pCI	0.517	F16FS_5978	DEFSS
126.487	4	Incongruent	pII	0.837	M1FA_4336	DEFSS
131.555	2.5	Congruent	-	0.612	M9HA_6057	DEFSS
135.123	2	Congruent	-	0.645	F4FA_3712	DEFSS
138.19	3	Incongruent	pCI	1.986	M15HS_8316	DEFSS
142.26	2.5	Incongruent	pII	0.648	F21FS_6587	DEFSS
145.832	3.5	Congruent	-	0.513	F19HA_6311	DEFSS
150.402	2	Congruent	-	0.606	M10_4FS_6817	DEFSS
153.473	4	Incongruent	pCI	1.083	F2HS_3448	DEFSS
158.542	3	Incongruent	pII	1.149	F10HA_4379	DEFSS
162.609	2	Congruent	-	0.539	M14FA_7960	DEFSS
165.677	4	Congruent	-	0.632	F30FA_8552	DEFSS
170.743	3.5	Incongruent	pCI	0.471	M8HA_5828	DEFSS
175.313	3	Incongruent	pII	0.634	F35FS_8451	DEFSS
179.382	2.5	Congruent	-	0.963	M1HS_4301	DEFSS
182.926	3	Congruent	-	0.919	F37FA_9020	DEFSS
186.972	2	Incongruent	pCI	0.824	M11FS_6953	DEFSS
190.018	3.5	Incongruent	pII	0.691	F34HA_8219	DEFSS
194.588	4	Congruent	-	0.614	F10FS_4426	DEFSS
199.658	2.5	Congruent	-	0.871	M16HS_8633	DEFSS
203.225	2	Incongruent	pCI	0.949	M5HA_5140	DEFSS
206.297	4	Incongruent	pII	0.802	F12FA_5062	DEFSS
211.366	3.5	Congruent	-	0.572	F16HS_5924	DEFSS
215.907	3	Congruent	-	0.585	M2FA_4644	DEFSS
219.956	2.5	Incongruent	pCI	0.879	M16FS_8676	DEFSS
223.522	3.5	Incongruent	pII	0.725	F6HA_3882	DEFSS
228.068	2	Congruent	-	0.664	F19FS_6344	DEFSS
231.134	2.5	Congruent	-	0.946	M8FA_5885	DEFSS
234.701	4	Incongruent	pCI	0.586	F32HS_7996	DEFSS
239.764	3	Incongruent	pII	0.992	M19HA_9066	DEFSS
243.815	4	Congruent	-	0.516	M3FS_4775	DEFSS
248.883	2	Congruent	-	0.632	F3HA_3545	DEFSS
251.926	2.5	Incongruent	pCI	0.762	M9FA_6121	DEFSS
255.494	3.5	Incongruent	pII	0.746	F14FA_5638	DEFSS
260.038	3	Congruent	-	0.637	M6HS_5354	DEFSS
264.108	2	Congruent	-	0.584	F21HS_6544	DEFSS
267.176	3.5	Incongruent	pCI	0.911	M17FS_8783	DEFSS
271.745	3	Incongruent	pII	0.761	F37HA_8965	DEFSS
275.814	2.5	Congruent	-	1.09	M12HA_7030	DEFSS
279.378	4	Congruent	-	0.947	F31FS_7861	DEFSS
284.447	4	Incongruent	pCI	0.973	F3FA_3605	DEFSS
289.518	3	Incongruent	pII	0.958	M3HS_4695	DEFSS
293.588	3.5	Congruent	-	1.657	M11FA_6969	DEFSS
298.156	2.5	Congruent	-	0.632	F14HS_5590	DEFSS
301.702	2	Incongruent	pCI	0.96	M12FS_7070	DEFSS
