onset	duration	trial_type	trial_type_2	response_time	identifier	database
0.062	3.5	Congruent	-	1.227	M9FS_6104	DEFSS
4.648	4	Congruent	-	0.536	F13HA_5265	DEFSS
9.729	2	Incongruent	pCI	1.1	M4HA_4877	DEFSS
12.828	2.5	Incongruent	pII	0.626	F7FS_4016	DEFSS
16.404	3	Congruent	-	0.72	F30HS_8495	DEFSS
20.477	4	Congruent	-	0.842	M4FA_4941	DEFSS
25.548	2	Incongruent	pCI	0.766	F32FA_8053	DEFSS
28.606	3.5	Incongruent	pII	1.093	M10HS_6767	DEFSS
33.181	2.5	Congruent	-	0.998	F23HA_7156	DEFSS
36.752	3	Congruent	-	0.742	F13FS_5292	DEFSS
40.826	4	Incongruent	pCI	0.683	F4HS_3664	DEFSS
45.899	3	Incongruent	pII	1.035	M20HA_9192	DEFSS
49.969	2.5	Congruent	-	0.745	F18FA_6243	DEFSS
53.541	3.5	Congruent	-	0.773	M18HS_8848	DEFSS
58.119	2	Incongruent	pCI	0.865	M14FS_7958	DEFSS
61.195	4	Incongruent	pII	0.879	F39HA_9433	DEFSS
66.268	2.5	Congruent	-	0.636	M10_FA_6823	DEFSS
69.842	3.5	Congruent	-	0.882	F12HS_5000	DEFSS
74.415	2	Incongruent	pCI	0.784	M17FA_8799	DEFSS
77.49	3	Incongruent	pII	0.884	F2FS_3470	DEFSS
81.567	2.5	Congruent	-	1.037	M14HA_7913	DEFSS
85.141	2	Congruent	-	0.768	F7HA_3985	DEFSS
88.217	4	Incongruent	pCI	1.172	M2FS_4636	DEFSS
93.286	3	Incongruent	pII	-0.099	F18HS_6186	DEFSS
97.328	3.5	Congruent	-	0.671	F39FA_9489	DEFSS
101.895	2	Congruent	-	0.469	M2HS_4493	DEFSS
104.972	3	Incongruent	pCI	1.247	F1HA_3424	DEFSS
109.052	3.5	Incongruent	pII	0.902	M6FA__5449	DEFSS
113.621	2.5	Congruent	-	0.783	M19FS_9117	DEFSS
117.186	4	Congruent	-	0.563	F35HS_8418	DEFSS
122.231	3	Incongruent	pCI	1.063	F16FS_5978	DEFSS
126.306	4	Incongruent	pII	0.863	M1FA_4336	DEFSS
131.38	3.5	Congruent	-	0.999	M9HA_6057	DEFSS
135.949	2.5	Congruent	-	0.85	F4FA_3712	DEFSS
139.522	2	Incongruent	pCI	0.797	M15HS_8316	DEFSS
142.591	2	Incongruent	pII	-0.099	F21FS_6587	DEFSS
145.638	4	Congruent	-	1.216	F19HA_6311	DEFSS
150.698	3.5	Congruent	-	0.751	M10_4FS_6817	DEFSS
155.274	3	Incongruent	pCI	0.54	F2HS_3448	DEFSS
159.345	2.5	Incongruent	pII	0.704	F10HA_4379	DEFSS
162.917	4	Congruent	-	0.472	M14FA_7960	DEFSS
167.995	3	Congruent	-	0.894	F30FA_8552	DEFSS
172.067	3.5	Incongruent	pCI	0.902	M8HA_5828	DEFSS
176.638	2	Incongruent	pII	0.771	F35FS_8451	DEFSS
179.704	2.5	Congruent	-	0.7	M1HS_4301	DEFSS
183.277	2.5	Congruent	-	0.742	F37FA_9020	DEFSS
186.849	3.5	Incongruent	pCI	-0.099	M11FS_6953	DEFSS
191.391	3	Incongruent	pII	0.713	F34HA_8219	DEFSS
195.462	4	Congruent	-	0.677	F10FS_4426	DEFSS
200.533	2	Congruent	-	0.656	M16HS_8633	DEFSS
203.608	3	Incongruent	pCI	0.691	M5HA_5140	DEFSS
207.682	2	Incongruent	pII	0.797	F12FA_5062	DEFSS
210.756	3.5	Congruent	-	0.718	F16HS_5924	DEFSS
215.325	4	Congruent	-	0.569	M2FA_4644	DEFSS
220.397	2.5	Incongruent	pCI	0.672	M16FS_8676	DEFSS
