onset	duration	trial_type	trial_type_2	response_time	identifier	database
0.055	3.5	Congruent	-	0.981	M9FS_6104	DEFSS
4.633	2	Congruent	-	0.591	F13HA_5265	DEFSS
7.71	2.5	Incongruent	pCI	1.016	M4HA_4877	DEFSS
11.272	3	Incongruent	pII	0.572	F7FS_4016	DEFSS
15.343	4	Congruent	-	0.687	F30HS_8495	DEFSS
20.385	3	Congruent	-	0.895	M4FA_4941	DEFSS
24.432	4	Incongruent	pCI	0.731	F32FA_8053	DEFSS
29.478	3.5	Incongruent	pII	0.74	M10HS_6767	DEFSS
34.049	2.5	Congruent	-	0.828	F23HA_7156	DEFSS
37.617	2	Congruent	-	0.667	F13FS_5292	DEFSS
40.664	2	Incongruent	pCI	0.827	F4HS_3664	DEFSS
43.727	3	Incongruent	pII	0.847	M20HA_9192	DEFSS
47.794	4	Congruent	-	0.623	F18FA_6243	DEFSS
52.861	2.5	Congruent	-	0.723	M18HS_8848	DEFSS
56.405	3.5	Incongruent	pCI	0.922	M14FS_7958	DEFSS
60.97	3	Incongruent	pII	0.797	F39HA_9433	DEFSS
65.04	4	Congruent	-	0.364	M10_FA_6823	DEFSS
70.108	2	Congruent	-	0.628	F12HS_5000	DEFSS
73.179	2.5	Incongruent	pCI	0.833	M17FA_8799	DEFSS
76.751	3.5	Incongruent	pII	0.619	F2FS_3470	DEFSS
81.299	2	Congruent	-	0.804	M14HA_7913	DEFSS
84.349	3	Congruent	-	1.016	F7HA_3985	DEFSS
88.417	2.5	Incongruent	pCI	0.999	M2FS_4636	DEFSS
91.984	4	Incongruent	pII	0.695	F18HS_6186	DEFSS
97.052	3.5	Congruent	-	-0.099	F39FA_9489	DEFSS
101.597	4	Congruent	-	0.673	M2HS_4493	DEFSS
106.663	2	Incongruent	pCI	0.919	F1HA_3424	DEFSS
109.73	2.5	Incongruent	pII	0.906	M6FA__5449	DEFSS
113.297	3.5	Congruent	-	0.789	M19FS_9117	DEFSS
117.866	3	Congruent	-	0.579	F35HS_8418	DEFSS
121.933	3.5	Incongruent	pCI	0.876	F16FS_5978	DEFSS
126.5	4	Incongruent	pII	0.89	M1FA_4336	DEFSS
131.543	2.5	Congruent	-	0.9	M9HA_6057	DEFSS
135.112	2	Congruent	-	0.476	F4FA_3712	DEFSS
138.179	3	Incongruent	pCI	0.827	M15HS_8316	DEFSS
142.247	2.5	Incongruent	pII	0.658	F21FS_6587	DEFSS
145.818	3.5	Congruent	-	0.597	F19HA_6311	DEFSS
150.388	2	Congruent	-	0.561	M10_4FS_6817	DEFSS
153.457	4	Incongruent	pCI	0.832	F2HS_3448	DEFSS
158.527	3	Incongruent	pII	0.87	F10HA_4379	DEFSS
