onset	duration	trial_type	trial_type_2	response_time	identifier	database
0.055	3	Congruent	-	1.226	M9FS_6104	DEFSS
4.116	4	Congruent	-	0.548	F13HA_5265	DEFSS
9.173	2.5	Incongruent	pCI	0.587	M4HA_4877	DEFSS
12.737	2	Incongruent	pII	0.767	F7FS_4016	DEFSS
15.79	3.5	Congruent	-	0.673	F30HS_8495	DEFSS
20.339	2	Congruent	-	0.575	M4FA_4941	DEFSS
23.389	3.5	Incongruent	pCI	0.926	F32FA_8053	DEFSS
27.938	3	Incongruent	pII	0.69	M10HS_6767	DEFSS
31.989	4	Congruent	-	0.968	F23HA_7156	DEFSS
37.036	2.5	Congruent	-	0.91	F13FS_5292	DEFSS
40.583	3.5	Incongruent	pCI	0.777	F4HS_3664	DEFSS
45.13	2	Incongruent	pII	1.206	M20HA_9192	DEFSS
48.176	2.5	Congruent	-	0.698	F18FA_6243	DEFSS
51.73	3	Congruent	-	0.513	M18HS_8848	DEFSS
55.775	4	Incongruent	pCI	0.803	M14FS_7958	DEFSS
60.822	3	Incongruent	pII	0.609	F39HA_9433	DEFSS
64.869	4	Congruent	-	1.046	M10_FA_6823	DEFSS
69.919	3.5	Congruent	-	0.639	F12HS_5000	DEFSS
74.468	2.5	Incongruent	pCI	0.827	M17FA_8799	DEFSS
78.017	2	Incongruent	pII	0.883	F2FS_3470	DEFSS
81.066	2	Congruent	-	0.512	M14HA_7913	DEFSS
84.115	3	Congruent	-	0.695	F7HA_3985	DEFSS
88.159	4	Incongruent	pCI	0.852	M2FS_4636	DEFSS
93.204	2.5	Incongruent	pII	0.671	F18HS_6186	DEFSS
96.751	3.5	Congruent	-	0.726	F39FA_9489	DEFSS
101.3	3	Congruent	-	0.596	M2HS_4493	DEFSS
105.346	4	Incongruent	pCI	0.838	F1HA_3424	DEFSS
110.398	2	Incongruent	pII	1.024	M6FA__5449	DEFSS
113.445	2.5	Congruent	-	0.846	M19FS_9117	DEFSS
116.995	3.5	Congruent	-	0.625	F35HS_8418	DEFSS
121.544	2	Incongruent	pCI	0.841	F16FS_5978	DEFSS
124.592	3	Incongruent	pII	1.122	M1FA_4336	DEFSS
128.642	2.5	Congruent	-	0.734	M9HA_6057	DEFSS
132.191	4	Congruent	-	0.614	F4FA_3712	DEFSS
137.239	3.5	Incongruent	pCI	1.22	M15HS_8316	DEFSS
141.787	4	Incongruent	pII	0.808	F21FS_6587	DEFSS
146.836	2	Congruent	-	0.565	F19HA_6311	DEFSS
149.883	2.5	Congruent	-	0.732	M10_4FS_6817	DEFSS
153.431	3.5	Incongruent	pCI	1.217	F2HS_3448	DEFSS
157.979	3	Incongruent	pII	3.83	F10HA_4379	DEFSS
162.026	3.5	Congruent	-	0.635	M14FA_7960	DEFSS
